# Архангельск / Ветер / 0-6ч, 6-24ч, 1-2 дня, 2-3 дня / Apple Погода
# n=205, MAE=0.678, RMSE=0.955, bias=+0.497
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (0.955/1.171)^2 = 0.3348  (RMSE_персистентности по 205 пар(ам))
# persistence = последнее показание станции на (valid_time − 24ч), т.е. «то же время суток вчера», а не «на момент забора прогноза»
# «Общий» = объединённый пул пар из периодов: 0-6ч, 6-24ч, 1-2 дня, 2-3 дня - метрика посчитана заново по всему пулу, а не усреднена по периодам
#
bucket,fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
0-6ч,2026-08-06T11:30:42Z,2026-08-06T12:00:00Z,0.5,2.1,1.0,3.0,1.1,1.1
0-6ч,2026-08-06T11:30:42Z,2026-08-06T15:00:00Z,3.5,1.422,1.0,2.0,0.422,0.422
0-6ч,2026-08-06T11:36:01Z,2026-08-06T12:00:00Z,0.4,2.1,1.0,3.0,1.1,1.1
0-6ч,2026-08-06T11:36:01Z,2026-08-06T15:00:00Z,3.4,1.422,1.0,2.0,0.422,0.422
0-6ч,2026-08-06T11:44:08Z,2026-08-06T12:00:00Z,0.3,2.1,1.0,3.0,1.1,1.1
0-6ч,2026-08-06T11:44:08Z,2026-08-06T15:00:00Z,3.3,1.422,1.0,2.0,0.422,0.422
0-6ч,2026-08-07T01:31:32Z,2026-08-07T03:00:00Z,1.5,4.233,3.0,0.0,1.233,1.233
0-6ч,2026-08-07T01:31:32Z,2026-08-07T06:00:00Z,4.5,3.506,3.0,1.0,0.506,0.506
0-6ч,2026-08-07T05:36:00Z,2026-08-07T06:00:00Z,0.4,3.517,3.0,1.0,0.517,0.517
0-6ч,2026-08-07T05:36:00Z,2026-08-07T09:00:00Z,3.4,3.772,1.0,1.0,2.772,2.772
0-6ч,2026-08-07T06:18:59Z,2026-08-07T09:00:00Z,2.7,3.433,1.0,1.0,2.433,2.433
0-6ч,2026-08-07T06:18:59Z,2026-08-07T12:00:00Z,5.7,3.611,1.0,1.0,2.611,2.611
0-6ч,2026-08-07T07:13:52Z,2026-08-07T09:00:00Z,1.8,3.236,1.0,1.0,2.236,2.236
0-6ч,2026-08-07T07:13:52Z,2026-08-07T12:00:00Z,4.8,3.406,1.0,1.0,2.406,2.406
0-6ч,2026-08-07T10:39:14Z,2026-08-07T12:00:00Z,1.3,3.506,1.0,1.0,2.506,2.506
0-6ч,2026-08-07T10:39:14Z,2026-08-07T15:00:00Z,4.3,1.775,1.0,1.0,0.775,0.775
0-6ч,2026-08-07T16:51:54Z,2026-08-07T18:00:00Z,1.1,1.144,1.0,1.0,0.144,0.144
0-6ч,2026-08-07T16:51:54Z,2026-08-07T21:00:00Z,4.1,1.569,1.0,1.0,0.569,0.569
0-6ч,2026-08-07T22:45:57Z,2026-08-08T00:00:00Z,1.2,1.108,1.0,1.0,0.108,0.108
0-6ч,2026-08-07T22:45:57Z,2026-08-08T03:00:00Z,4.2,1.239,1.0,3.0,0.239,0.239
0-6ч,2026-08-07T23:19:23Z,2026-08-08T00:00:00Z,0.7,1.106,1.0,1.0,0.106,0.106
0-6ч,2026-08-07T23:19:23Z,2026-08-08T03:00:00Z,3.7,1.042,1.0,3.0,0.042,0.042
0-6ч,2026-08-08T04:50:53Z,2026-08-08T06:00:00Z,1.2,1.428,1.0,3.0,0.428,0.428
0-6ч,2026-08-08T04:50:53Z,2026-08-08T09:00:00Z,4.2,1.864,1.0,1.0,0.864,0.864
0-6ч,2026-08-08T10:18:13Z,2026-08-08T12:00:00Z,1.7,1.425,2.0,1.0,-0.575,0.575
0-6ч,2026-08-08T10:18:13Z,2026-08-08T15:00:00Z,4.7,1.406,1.0,1.0,0.406,0.406
0-6ч,2026-08-08T22:37:20Z,2026-08-09T00:00:00Z,1.4,2.086,2.0,1.0,0.086,0.086
0-6ч,2026-08-08T22:37:20Z,2026-08-09T03:00:00Z,4.4,2.561,2.0,1.0,0.561,0.561
0-6ч,2026-08-09T04:59:03Z,2026-08-09T06:00:00Z,1.0,3.306,2.0,1.0,1.306,1.306
0-6ч,2026-08-09T04:59:03Z,2026-08-09T09:00:00Z,4.0,3.825,3.0,1.0,0.825,0.825
6-24ч,2026-08-06T11:30:42Z,2026-08-06T18:00:00Z,6.5,1.272,1.0,1.0,0.272,0.272
6-24ч,2026-08-06T11:30:42Z,2026-08-06T21:00:00Z,9.5,2.094,1.0,2.0,1.094,1.094
6-24ч,2026-08-06T11:30:42Z,2026-08-07T00:00:00Z,12.5,3.225,1.0,2.0,2.225,2.225
6-24ч,2026-08-06T11:30:42Z,2026-08-07T03:00:00Z,15.5,3.689,3.0,0.0,0.689,0.689
6-24ч,2026-08-06T11:30:42Z,2026-08-07T06:00:00Z,18.5,2.528,3.0,1.0,-0.472,0.472
6-24ч,2026-08-06T11:30:42Z,2026-08-07T09:00:00Z,21.5,3.883,1.0,1.0,2.883,2.883
6-24ч,2026-08-06T11:36:01Z,2026-08-06T18:00:00Z,6.4,1.272,1.0,1.0,0.272,0.272
6-24ч,2026-08-06T11:36:01Z,2026-08-06T21:00:00Z,9.4,2.094,1.0,2.0,1.094,1.094
6-24ч,2026-08-06T11:36:01Z,2026-08-07T00:00:00Z,12.4,3.225,1.0,2.0,2.225,2.225
6-24ч,2026-08-06T11:36:01Z,2026-08-07T03:00:00Z,15.4,3.689,3.0,0.0,0.689,0.689
6-24ч,2026-08-06T11:36:01Z,2026-08-07T06:00:00Z,18.4,2.528,3.0,1.0,-0.472,0.472
6-24ч,2026-08-06T11:36:01Z,2026-08-07T09:00:00Z,21.4,3.883,1.0,1.0,2.883,2.883
6-24ч,2026-08-06T11:44:08Z,2026-08-06T18:00:00Z,6.3,1.272,1.0,1.0,0.272,0.272
6-24ч,2026-08-06T11:44:08Z,2026-08-06T21:00:00Z,9.3,2.094,1.0,2.0,1.094,1.094
6-24ч,2026-08-06T11:44:08Z,2026-08-07T00:00:00Z,12.3,3.225,1.0,2.0,2.225,2.225
6-24ч,2026-08-06T11:44:08Z,2026-08-07T03:00:00Z,15.3,3.689,3.0,0.0,0.689,0.689
6-24ч,2026-08-06T11:44:08Z,2026-08-07T06:00:00Z,18.3,2.528,3.0,1.0,-0.472,0.472
6-24ч,2026-08-06T11:44:08Z,2026-08-07T09:00:00Z,21.3,3.883,1.0,1.0,2.883,2.883
6-24ч,2026-08-07T01:31:32Z,2026-08-07T09:00:00Z,7.5,4.308,1.0,1.0,3.308,3.308
6-24ч,2026-08-07T01:31:32Z,2026-08-07T12:00:00Z,10.5,3.811,1.0,1.0,2.811,2.811
6-24ч,2026-08-07T01:31:32Z,2026-08-07T15:00:00Z,13.5,1.917,1.0,1.0,0.917,0.917
6-24ч,2026-08-07T01:31:32Z,2026-08-07T18:00:00Z,16.5,1.178,1.0,1.0,0.178,0.178
6-24ч,2026-08-07T01:31:32Z,2026-08-07T21:00:00Z,19.5,1.283,1.0,1.0,0.283,0.283
6-24ч,2026-08-07T01:31:32Z,2026-08-08T00:00:00Z,22.5,1.722,1.0,1.0,0.722,0.722
6-24ч,2026-08-07T05:36:00Z,2026-08-07T12:00:00Z,6.4,3.686,1.0,1.0,2.686,2.686
6-24ч,2026-08-07T05:36:00Z,2026-08-07T15:00:00Z,9.4,1.808,1.0,1.0,0.808,0.808
6-24ч,2026-08-07T05:36:00Z,2026-08-07T18:00:00Z,12.4,1.061,1.0,1.0,0.061,0.061
6-24ч,2026-08-07T05:36:00Z,2026-08-07T21:00:00Z,15.4,1.308,1.0,1.0,0.308,0.308
6-24ч,2026-08-07T05:36:00Z,2026-08-08T00:00:00Z,18.4,1.681,1.0,1.0,0.681,0.681
6-24ч,2026-08-07T05:36:00Z,2026-08-08T03:00:00Z,21.4,1.903,1.0,3.0,0.903,0.903
6-24ч,2026-08-07T06:18:59Z,2026-08-07T15:00:00Z,8.7,1.647,1.0,1.0,0.647,0.647
6-24ч,2026-08-07T06:18:59Z,2026-08-07T18:00:00Z,11.7,1.092,1.0,1.0,0.092,0.092
6-24ч,2026-08-07T06:18:59Z,2026-08-07T21:00:00Z,14.7,1.286,1.0,1.0,0.286,0.286
6-24ч,2026-08-07T06:18:59Z,2026-08-08T00:00:00Z,17.7,1.683,1.0,1.0,0.683,0.683
6-24ч,2026-08-07T06:18:59Z,2026-08-08T03:00:00Z,20.7,1.95,1.0,3.0,0.95,0.95
6-24ч,2026-08-07T06:18:59Z,2026-08-08T06:00:00Z,23.7,1.814,1.0,3.0,0.814,0.814
6-24ч,2026-08-07T07:13:52Z,2026-08-07T15:00:00Z,7.8,1.583,1.0,1.0,0.583,0.583
6-24ч,2026-08-07T07:13:52Z,2026-08-07T18:00:00Z,10.8,1.353,1.0,1.0,0.353,0.353
6-24ч,2026-08-07T07:13:52Z,2026-08-07T21:00:00Z,13.8,1.275,1.0,1.0,0.275,0.275
6-24ч,2026-08-07T07:13:52Z,2026-08-08T00:00:00Z,16.8,1.039,1.0,1.0,0.039,0.039
6-24ч,2026-08-07T07:13:52Z,2026-08-08T03:00:00Z,19.8,1.717,1.0,3.0,0.717,0.717
6-24ч,2026-08-07T07:13:52Z,2026-08-08T06:00:00Z,22.8,1.858,1.0,3.0,0.858,0.858
6-24ч,2026-08-07T10:39:14Z,2026-08-07T18:00:00Z,7.3,1.417,1.0,1.0,0.417,0.417
6-24ч,2026-08-07T10:39:14Z,2026-08-07T21:00:00Z,10.3,1.178,1.0,1.0,0.178,0.178
6-24ч,2026-08-07T10:39:14Z,2026-08-08T00:00:00Z,13.3,1.083,1.0,1.0,0.083,0.083
6-24ч,2026-08-07T10:39:14Z,2026-08-08T03:00:00Z,16.3,1.508,1.0,3.0,0.508,0.508
6-24ч,2026-08-07T10:39:14Z,2026-08-08T06:00:00Z,19.3,1.681,1.0,3.0,0.681,0.681
6-24ч,2026-08-07T10:39:14Z,2026-08-08T09:00:00Z,22.3,2.072,1.0,1.0,1.072,1.072
6-24ч,2026-08-07T16:51:54Z,2026-08-08T00:00:00Z,7.1,1.089,1.0,1.0,0.089,0.089
6-24ч,2026-08-07T16:51:54Z,2026-08-08T03:00:00Z,10.1,0.739,1.0,3.0,-0.261,0.261
6-24ч,2026-08-07T16:51:54Z,2026-08-08T06:00:00Z,13.1,1.131,1.0,3.0,0.131,0.131
6-24ч,2026-08-07T16:51:54Z,2026-08-08T09:00:00Z,16.1,2.494,1.0,1.0,1.494,1.494
6-24ч,2026-08-07T16:51:54Z,2026-08-08T12:00:00Z,19.1,1.303,2.0,1.0,-0.697,0.697
6-24ч,2026-08-07T16:51:54Z,2026-08-08T15:00:00Z,22.1,1.278,1.0,1.0,0.278,0.278
6-24ч,2026-08-07T22:45:57Z,2026-08-08T06:00:00Z,7.2,1.2,1.0,3.0,0.2,0.2
6-24ч,2026-08-07T22:45:57Z,2026-08-08T09:00:00Z,10.2,1.661,1.0,1.0,0.661,0.661
6-24ч,2026-08-07T22:45:57Z,2026-08-08T12:00:00Z,13.2,1.608,2.0,1.0,-0.392,0.392
6-24ч,2026-08-07T22:45:57Z,2026-08-08T15:00:00Z,16.2,1.231,1.0,1.0,0.231,0.231
6-24ч,2026-08-07T22:45:57Z,2026-08-08T18:00:00Z,19.2,1.119,1.0,1.0,0.119,0.119
6-24ч,2026-08-07T22:45:57Z,2026-08-08T21:00:00Z,22.2,1.161,2.0,1.0,-0.839,0.839
6-24ч,2026-08-07T23:19:23Z,2026-08-08T06:00:00Z,6.7,1.192,1.0,3.0,0.192,0.192
6-24ч,2026-08-07T23:19:23Z,2026-08-08T09:00:00Z,9.7,1.533,1.0,1.0,0.533,0.533
6-24ч,2026-08-07T23:19:23Z,2026-08-08T12:00:00Z,12.7,1.367,2.0,1.0,-0.633,0.633
6-24ч,2026-08-07T23:19:23Z,2026-08-08T15:00:00Z,15.7,1.103,1.0,1.0,0.103,0.103
6-24ч,2026-08-07T23:19:23Z,2026-08-08T18:00:00Z,18.7,0.958,1.0,1.0,-0.042,0.042
6-24ч,2026-08-07T23:19:23Z,2026-08-08T21:00:00Z,21.7,1.097,2.0,1.0,-0.903,0.903
6-24ч,2026-08-08T04:50:53Z,2026-08-08T12:00:00Z,7.2,0.497,2.0,1.0,-1.503,1.503
6-24ч,2026-08-08T04:50:53Z,2026-08-08T15:00:00Z,10.2,1.206,1.0,1.0,0.206,0.206
6-24ч,2026-08-08T04:50:53Z,2026-08-08T18:00:00Z,13.2,1.008,1.0,1.0,0.008,0.008
6-24ч,2026-08-08T04:50:53Z,2026-08-08T21:00:00Z,16.2,1.628,2.0,1.0,-0.372,0.372
6-24ч,2026-08-08T04:50:53Z,2026-08-09T00:00:00Z,19.2,1.647,2.0,1.0,-0.353,0.353
6-24ч,2026-08-08T04:50:53Z,2026-08-09T03:00:00Z,22.2,2.125,2.0,1.0,0.125,0.125
6-24ч,2026-08-08T10:18:13Z,2026-08-08T18:00:00Z,7.7,0.956,1.0,1.0,-0.044,0.044
6-24ч,2026-08-08T10:18:13Z,2026-08-08T21:00:00Z,10.7,1.189,2.0,1.0,-0.811,0.811
6-24ч,2026-08-08T10:18:13Z,2026-08-09T00:00:00Z,13.7,2.231,2.0,1.0,0.231,0.231
6-24ч,2026-08-08T10:18:13Z,2026-08-09T03:00:00Z,16.7,2.389,2.0,1.0,0.389,0.389
6-24ч,2026-08-08T10:18:13Z,2026-08-09T06:00:00Z,19.7,3.142,2.0,1.0,1.142,1.142
6-24ч,2026-08-08T10:18:13Z,2026-08-09T09:00:00Z,22.7,3.625,3.0,1.0,0.625,0.625
6-24ч,2026-08-08T22:37:20Z,2026-08-09T06:00:00Z,7.4,3.361,2.0,1.0,1.361,1.361
6-24ч,2026-08-08T22:37:20Z,2026-08-09T09:00:00Z,10.4,3.533,3.0,1.0,0.533,0.533
1-2 дня,2026-08-06T11:36:01Z,2026-08-07T12:00:00Z,24.4,3.047,1.0,1.0,2.047,2.047
1-2 дня,2026-08-06T11:36:01Z,2026-08-07T15:00:00Z,27.4,1.683,1.0,1.0,0.683,0.683
1-2 дня,2026-08-06T11:36:01Z,2026-08-07T18:00:00Z,30.4,2.203,1.0,1.0,1.203,1.203
1-2 дня,2026-08-06T11:36:01Z,2026-08-07T21:00:00Z,33.4,1.731,1.0,1.0,0.731,0.731
1-2 дня,2026-08-06T11:36:01Z,2026-08-08T00:00:00Z,36.4,1.283,1.0,1.0,0.283,0.283
1-2 дня,2026-08-06T11:36:01Z,2026-08-08T03:00:00Z,39.4,1.167,1.0,3.0,0.167,0.167
1-2 дня,2026-08-06T11:36:01Z,2026-08-08T06:00:00Z,42.4,1.108,1.0,3.0,0.108,0.108
1-2 дня,2026-08-06T11:36:01Z,2026-08-08T09:00:00Z,45.4,1.458,1.0,1.0,0.458,0.458
1-2 дня,2026-08-06T11:44:08Z,2026-08-07T12:00:00Z,24.3,3.047,1.0,1.0,2.047,2.047
1-2 дня,2026-08-06T11:44:08Z,2026-08-07T15:00:00Z,27.3,1.683,1.0,1.0,0.683,0.683
1-2 дня,2026-08-06T11:44:08Z,2026-08-07T18:00:00Z,30.3,2.203,1.0,1.0,1.203,1.203
1-2 дня,2026-08-06T11:44:08Z,2026-08-07T21:00:00Z,33.3,1.731,1.0,1.0,0.731,0.731
1-2 дня,2026-08-06T11:44:08Z,2026-08-08T00:00:00Z,36.3,1.283,1.0,1.0,0.283,0.283
1-2 дня,2026-08-06T11:44:08Z,2026-08-08T03:00:00Z,39.3,1.167,1.0,3.0,0.167,0.167
1-2 дня,2026-08-06T11:44:08Z,2026-08-08T06:00:00Z,42.3,1.108,1.0,3.0,0.108,0.108
1-2 дня,2026-08-06T11:44:08Z,2026-08-08T09:00:00Z,45.3,1.458,1.0,1.0,0.458,0.458
1-2 дня,2026-08-07T01:31:32Z,2026-08-08T03:00:00Z,25.5,1.808,1.0,3.0,0.808,0.808
1-2 дня,2026-08-07T01:31:32Z,2026-08-08T06:00:00Z,28.5,1.85,1.0,3.0,0.85,0.85
1-2 дня,2026-08-07T01:31:32Z,2026-08-08T09:00:00Z,31.5,1.75,1.0,1.0,0.75,0.75
1-2 дня,2026-08-07T01:31:32Z,2026-08-08T12:00:00Z,34.5,1.789,2.0,1.0,-0.211,0.211
1-2 дня,2026-08-07T01:31:32Z,2026-08-08T15:00:00Z,37.5,1.997,1.0,1.0,0.997,0.997
1-2 дня,2026-08-07T01:31:32Z,2026-08-08T18:00:00Z,40.5,1.989,1.0,1.0,0.989,0.989
1-2 дня,2026-08-07T01:31:32Z,2026-08-08T21:00:00Z,43.5,2.453,2.0,1.0,0.453,0.453
1-2 дня,2026-08-07T01:31:32Z,2026-08-09T00:00:00Z,46.5,2.497,2.0,1.0,0.497,0.497
1-2 дня,2026-08-07T05:36:00Z,2026-08-08T06:00:00Z,24.4,1.958,1.0,3.0,0.958,0.958
1-2 дня,2026-08-07T05:36:00Z,2026-08-08T09:00:00Z,27.4,2.019,1.0,1.0,1.019,1.019
1-2 дня,2026-08-07T05:36:00Z,2026-08-08T12:00:00Z,30.4,1.947,2.0,1.0,-0.053,0.053
1-2 дня,2026-08-07T05:36:00Z,2026-08-08T15:00:00Z,33.4,2.417,1.0,1.0,1.417,1.417
1-2 дня,2026-08-07T05:36:00Z,2026-08-08T18:00:00Z,36.4,2.308,1.0,1.0,1.308,1.308
1-2 дня,2026-08-07T05:36:00Z,2026-08-08T21:00:00Z,39.4,2.306,2.0,1.0,0.306,0.306
1-2 дня,2026-08-07T05:36:00Z,2026-08-09T00:00:00Z,42.4,2.142,2.0,1.0,0.142,0.142
1-2 дня,2026-08-07T05:36:00Z,2026-08-09T03:00:00Z,45.4,1.611,2.0,1.0,-0.389,0.389
1-2 дня,2026-08-07T06:18:59Z,2026-08-08T09:00:00Z,26.7,2.039,1.0,1.0,1.039,1.039
1-2 дня,2026-08-07T06:18:59Z,2026-08-08T12:00:00Z,29.7,1.872,2.0,1.0,-0.128,0.128
1-2 дня,2026-08-07T06:18:59Z,2026-08-08T15:00:00Z,32.7,2.011,1.0,1.0,1.011,1.011
1-2 дня,2026-08-07T06:18:59Z,2026-08-08T18:00:00Z,35.7,2.039,1.0,1.0,1.039,1.039
1-2 дня,2026-08-07T06:18:59Z,2026-08-08T21:00:00Z,38.7,2.097,2.0,1.0,0.097,0.097
1-2 дня,2026-08-07T06:18:59Z,2026-08-09T00:00:00Z,41.7,1.883,2.0,1.0,-0.117,0.117
1-2 дня,2026-08-07T06:18:59Z,2026-08-09T03:00:00Z,44.7,1.761,2.0,1.0,-0.239,0.239
1-2 дня,2026-08-07T06:18:59Z,2026-08-09T06:00:00Z,47.7,2.35,2.0,1.0,0.35,0.35
1-2 дня,2026-08-07T07:13:52Z,2026-08-08T09:00:00Z,25.8,2.392,1.0,1.0,1.392,1.392
1-2 дня,2026-08-07T07:13:52Z,2026-08-08T12:00:00Z,28.8,2.072,2.0,1.0,0.072,0.072
1-2 дня,2026-08-07T07:13:52Z,2026-08-08T15:00:00Z,31.8,1.872,1.0,1.0,0.872,0.872
1-2 дня,2026-08-07T07:13:52Z,2026-08-08T18:00:00Z,34.8,2.197,1.0,1.0,1.197,1.197
1-2 дня,2026-08-07T07:13:52Z,2026-08-08T21:00:00Z,37.8,2.211,2.0,1.0,0.211,0.211
1-2 дня,2026-08-07T07:13:52Z,2026-08-09T00:00:00Z,40.8,1.711,2.0,1.0,-0.289,0.289
1-2 дня,2026-08-07T07:13:52Z,2026-08-09T03:00:00Z,43.8,1.997,2.0,1.0,-0.003,0.003
1-2 дня,2026-08-07T07:13:52Z,2026-08-09T06:00:00Z,46.8,1.578,2.0,1.0,-0.422,0.422
1-2 дня,2026-08-07T10:39:14Z,2026-08-08T12:00:00Z,25.3,1.658,2.0,1.0,-0.342,0.342
1-2 дня,2026-08-07T10:39:14Z,2026-08-08T15:00:00Z,28.3,1.478,1.0,1.0,0.478,0.478
1-2 дня,2026-08-07T10:39:14Z,2026-08-08T18:00:00Z,31.3,1.628,1.0,1.0,0.628,0.628
1-2 дня,2026-08-07T10:39:14Z,2026-08-08T21:00:00Z,34.3,2.192,2.0,1.0,0.192,0.192
1-2 дня,2026-08-07T10:39:14Z,2026-08-09T00:00:00Z,37.3,1.833,2.0,1.0,-0.167,0.167
1-2 дня,2026-08-07T10:39:14Z,2026-08-09T03:00:00Z,40.3,2.033,2.0,1.0,0.033,0.033
1-2 дня,2026-08-07T10:39:14Z,2026-08-09T06:00:00Z,43.3,1.833,2.0,1.0,-0.167,0.167
1-2 дня,2026-08-07T10:39:14Z,2026-08-09T09:00:00Z,46.3,1.911,3.0,1.0,-1.089,1.089
