# Нови-Сад / Облачность / 0-6ч / ECMWF AIFS
# n=297, MAE=15.695, RMSE=24.297, bias=-2.224
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (24.297/29.472)^2 = 0.3203  (RMSE_персистентности по 297 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-06T10:00:00Z,0.2,16.0,0.0,0.0,16.0,16.0
2026-08-06T09:50:07Z,2026-08-06T11:00:00Z,1.2,20.0,12.5,0.0,7.5,7.5
2026-08-06T09:50:07Z,2026-08-06T12:00:00Z,2.2,23.0,25.0,0.0,-2.0,2.0
2026-08-06T09:50:07Z,2026-08-06T13:00:00Z,3.2,24.0,50.0,0.0,-26.0,26.0
2026-08-06T09:50:07Z,2026-08-06T14:00:00Z,4.2,24.0,62.5,12.5,-38.5,38.5
2026-08-06T09:50:07Z,2026-08-06T15:00:00Z,5.2,23.0,87.5,37.5,-64.5,64.5
2026-08-06T09:59:18Z,2026-08-06T10:00:00Z,0.0,16.0,0.0,0.0,16.0,16.0
2026-08-06T09:59:18Z,2026-08-06T11:00:00Z,1.0,20.0,12.5,0.0,7.5,7.5
2026-08-06T09:59:18Z,2026-08-06T12:00:00Z,2.0,23.0,25.0,0.0,-2.0,2.0
2026-08-06T09:59:18Z,2026-08-06T13:00:00Z,3.0,24.0,50.0,0.0,-26.0,26.0
2026-08-06T09:59:18Z,2026-08-06T14:00:00Z,4.0,24.0,62.5,12.5,-38.5,38.5
2026-08-06T09:59:18Z,2026-08-06T15:00:00Z,5.0,23.0,87.5,37.5,-64.5,64.5
2026-08-06T10:08:26Z,2026-08-06T11:00:00Z,0.9,20.0,12.5,0.0,7.5,7.5
2026-08-06T10:08:26Z,2026-08-06T12:00:00Z,1.9,23.0,25.0,0.0,-2.0,2.0
