# Нови-Сад / Облачность / 0-6ч / Яндекс.Погода
# n=16, MAE=20.625, RMSE=25.875, bias=+4.375
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (25.875/41.340)^2 = 0.6082  (RMSE_персистентности по 16 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-16T07:21:44Z,2026-08-16T13:00:00Z,5.6,5.0,0.0,0.0,5.0,5.0
2026-08-16T10:09:47Z,2026-08-16T13:00:00Z,2.8,5.0,0.0,0.0,5.0,5.0
2026-08-17T04:35:30Z,2026-08-17T07:00:00Z,2.4,25.0,0.0,0.0,25.0,25.0
2026-08-17T10:18:11Z,2026-08-17T13:00:00Z,2.7,55.0,37.5,0.0,17.5,17.5
2026-08-18T04:30:05Z,2026-08-18T07:00:00Z,2.5,95.0,87.5,0.0,7.5,7.5
2026-08-18T10:14:55Z,2026-08-18T13:00:00Z,2.8,55.0,75.0,37.5,-20.0,20.0
2026-08-19T04:31:14Z,2026-08-19T07:00:00Z,2.5,55.0,87.5,87.5,-32.5,32.5
2026-08-19T10:14:48Z,2026-08-19T13:00:00Z,2.8,25.0,0.0,75.0,25.0,25.0
2026-08-20T04:31:56Z,2026-08-20T07:00:00Z,2.5,55.0,12.5,87.5,42.5,42.5
2026-08-20T10:16:10Z,2026-08-20T13:00:00Z,2.7,25.0,25.0,0.0,0.0,0.0
2026-08-21T04:32:20Z,2026-08-21T07:00:00Z,2.5,55.0,25.0,12.5,30.0,30.0
2026-08-21T10:16:50Z,2026-08-21T13:00:00Z,2.7,55.0,12.5,25.0,42.5,42.5
2026-08-22T04:26:43Z,2026-08-22T07:00:00Z,2.6,25.0,25.0,25.0,0.0,0.0
2026-08-22T10:09:41Z,2026-08-22T13:00:00Z,2.8,25.0,25.0,12.5,0.0,0.0
2026-08-23T04:31:06Z,2026-08-23T07:00:00Z,2.5,55.0,87.5,25.0,-32.5,32.5
2026-08-23T10:10:14Z,2026-08-23T13:00:00Z,2.8,5.0,50.0,25.0,-45.0,45.0
