# Нови-Сад / Облачность / 1-2 дня / ICON (Германия)
# n=425, MAE=27.440, RMSE=44.678, bias=+19.741
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (44.678/24.117)^2 = -2.4321  (RMSE_персистентности по 425 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-07T10:00:00Z,24.2,84.0,0.0,0.0,84.0,84.0
2026-08-06T09:50:07Z,2026-08-07T11:00:00Z,25.2,86.0,0.0,12.5,86.0,86.0
2026-08-06T09:50:07Z,2026-08-07T12:00:00Z,26.2,100.0,0.0,25.0,100.0,100.0
2026-08-06T09:50:07Z,2026-08-07T13:00:00Z,27.2,91.0,12.5,50.0,78.5,78.5
2026-08-06T09:50:07Z,2026-08-07T14:00:00Z,28.2,89.0,25.0,62.5,64.0,64.0
2026-08-06T09:50:07Z,2026-08-07T15:00:00Z,29.2,99.0,25.0,87.5,74.0,74.0
2026-08-06T09:50:07Z,2026-08-07T16:00:00Z,30.2,7.0,37.5,87.5,-30.5,30.5
2026-08-06T09:50:07Z,2026-08-07T17:00:00Z,31.2,100.0,12.5,87.5,87.5,87.5
2026-08-06T09:50:07Z,2026-08-07T18:00:00Z,32.2,5.0,75.0,75.0,-70.0,70.0
2026-08-06T09:50:07Z,2026-08-08T06:00:00Z,44.2,100.0,0.0,12.5,100.0,100.0
2026-08-06T09:50:07Z,2026-08-08T07:00:00Z,45.2,100.0,0.0,0.0,100.0,100.0
2026-08-06T09:50:07Z,2026-08-08T08:00:00Z,46.2,100.0,0.0,0.0,100.0,100.0
2026-08-06T09:50:07Z,2026-08-08T09:00:00Z,47.2,100.0,0.0,0.0,100.0,100.0
2026-08-06T09:59:18Z,2026-08-07T10:00:00Z,24.0,84.0,0.0,0.0,84.0,84.0
2026-08-06T09:59:18Z,2026-08-07T11:00:00Z,25.0,86.0,0.0,12.5,86.0,86.0
2026-08-06T09:59:18Z,2026-08-07T12:00:00Z,26.0,100.0,0.0,25.0,100.0,100.0
2026-08-06T09:59:18Z,2026-08-07T13:00:00Z,27.0,91.0,12.5,50.0,78.5,78.5
2026-08-06T09:59:18Z,2026-08-07T14:00:00Z,28.0,89.0,25.0,62.5,64.0,64.0
2026-08-06T09:59:18Z,2026-08-07T15:00:00Z,29.0,99.0,25.0,87.5,74.0,74.0
2026-08-06T09:59:18Z,2026-08-07T16:00:00Z,30.0,7.0,37.5,87.5,-30.5,30.5
2026-08-06T09:59:18Z,2026-08-07T17:00:00Z,31.0,100.0,12.5,87.5,87.5,87.5
2026-08-06T09:59:18Z,2026-08-07T18:00:00Z,32.0,5.0,75.0,75.0,-70.0,70.0
2026-08-06T09:59:18Z,2026-08-08T06:00:00Z,44.0,100.0,0.0,12.5,100.0,100.0
2026-08-06T09:59:18Z,2026-08-08T07:00:00Z,45.0,100.0,0.0,0.0,100.0,100.0
2026-08-06T09:59:18Z,2026-08-08T08:00:00Z,46.0,100.0,0.0,0.0,100.0,100.0
2026-08-06T09:59:18Z,2026-08-08T09:00:00Z,47.0,100.0,0.0,0.0,100.0,100.0
2026-08-06T10:08:26Z,2026-08-07T11:00:00Z,24.9,86.0,0.0,12.5,86.0,86.0
2026-08-06T10:08:26Z,2026-08-07T12:00:00Z,25.9,100.0,0.0,25.0,100.0,100.0
2026-08-06T10:08:26Z,2026-08-07T13:00:00Z,26.9,91.0,12.5,50.0,78.5,78.5
2026-08-06T10:08:26Z,2026-08-07T14:00:00Z,27.9,89.0,25.0,62.5,64.0,64.0
2026-08-06T10:08:26Z,2026-08-07T15:00:00Z,28.9,99.0,25.0,87.5,74.0,74.0
2026-08-06T10:08:26Z,2026-08-07T16:00:00Z,29.9,7.0,37.5,87.5,-30.5,30.5
