# Нови-Сад / Облачность / 2-3 дня / ICON (Германия)
# n=1113, MAE=20.399, RMSE=30.647, bias=+10.738
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (30.647/33.142)^2 = 0.1449  (RMSE_персистентности по 1113 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-08T10:00:00Z,48.2,40.0,0.0,0.0,40.0,40.0
2026-08-06T09:50:07Z,2026-08-08T11:00:00Z,49.2,21.0,12.5,0.0,8.5,8.5
2026-08-06T09:50:07Z,2026-08-08T12:00:00Z,50.2,43.0,12.5,0.0,30.5,30.5
2026-08-06T09:50:07Z,2026-08-08T13:00:00Z,51.2,31.0,12.5,12.5,18.5,18.5
2026-08-06T09:50:07Z,2026-08-08T14:00:00Z,52.2,66.0,12.5,25.0,53.5,53.5
2026-08-06T09:50:07Z,2026-08-08T15:00:00Z,53.2,49.0,12.5,25.0,36.5,36.5
2026-08-06T09:50:07Z,2026-08-08T16:00:00Z,54.2,40.0,0.0,37.5,40.0,40.0
2026-08-06T09:50:07Z,2026-08-08T17:00:00Z,55.2,46.0,0.0,12.5,46.0,46.0
2026-08-06T09:50:07Z,2026-08-08T18:00:00Z,56.2,33.0,0.0,75.0,33.0,33.0
2026-08-06T09:50:07Z,2026-08-09T06:00:00Z,68.2,16.0,0.0,0.0,16.0,16.0
2026-08-06T09:50:07Z,2026-08-09T07:00:00Z,69.2,34.0,0.0,0.0,34.0,34.0
2026-08-06T09:50:07Z,2026-08-09T08:00:00Z,70.2,31.0,0.0,0.0,31.0,31.0
2026-08-06T09:50:07Z,2026-08-09T09:00:00Z,71.2,0.0,0.0,0.0,0.0,0.0
2026-08-06T09:59:18Z,2026-08-08T10:00:00Z,48.0,40.0,0.0,0.0,40.0,40.0
2026-08-06T09:59:18Z,2026-08-08T11:00:00Z,49.0,21.0,12.5,0.0,8.5,8.5
2026-08-06T09:59:18Z,2026-08-08T12:00:00Z,50.0,43.0,12.5,0.0,30.5,30.5
2026-08-06T09:59:18Z,2026-08-08T13:00:00Z,51.0,31.0,12.5,12.5,18.5,18.5
2026-08-06T09:59:18Z,2026-08-08T14:00:00Z,52.0,66.0,12.5,25.0,53.5,53.5
2026-08-06T09:59:18Z,2026-08-08T15:00:00Z,53.0,49.0,12.5,25.0,36.5,36.5
2026-08-06T09:59:18Z,2026-08-08T16:00:00Z,54.0,40.0,0.0,37.5,40.0,40.0
2026-08-06T09:59:18Z,2026-08-08T17:00:00Z,55.0,46.0,0.0,12.5,46.0,46.0
2026-08-06T09:59:18Z,2026-08-08T18:00:00Z,56.0,33.0,0.0,75.0,33.0,33.0
2026-08-06T09:59:18Z,2026-08-09T06:00:00Z,68.0,16.0,0.0,0.0,16.0,16.0
2026-08-06T09:59:18Z,2026-08-09T07:00:00Z,69.0,34.0,0.0,0.0,34.0,34.0
2026-08-06T09:59:18Z,2026-08-09T08:00:00Z,70.0,31.0,0.0,0.0,31.0,31.0
2026-08-06T09:59:18Z,2026-08-09T09:00:00Z,71.0,0.0,0.0,0.0,0.0,0.0
2026-08-06T10:08:26Z,2026-08-08T11:00:00Z,48.9,21.0,12.5,0.0,8.5,8.5
2026-08-06T10:08:26Z,2026-08-08T12:00:00Z,49.9,43.0,12.5,0.0,30.5,30.5
2026-08-06T10:08:26Z,2026-08-08T13:00:00Z,50.9,31.0,12.5,12.5,18.5,18.5
2026-08-06T10:08:26Z,2026-08-08T14:00:00Z,51.9,66.0,12.5,25.0,53.5,53.5
2026-08-06T10:08:26Z,2026-08-08T15:00:00Z,52.9,49.0,12.5,25.0,36.5,36.5
2026-08-06T10:08:26Z,2026-08-08T16:00:00Z,53.9,40.0,0.0,37.5,40.0,40.0
2026-08-06T10:08:26Z,2026-08-08T17:00:00Z,54.9,46.0,0.0,12.5,46.0,46.0
2026-08-06T10:08:26Z,2026-08-08T18:00:00Z,55.9,33.0,0.0,75.0,33.0,33.0
2026-08-06T10:08:26Z,2026-08-09T06:00:00Z,67.9,16.0,0.0,0.0,16.0,16.0
2026-08-06T10:08:26Z,2026-08-09T07:00:00Z,68.9,34.0,0.0,0.0,34.0,34.0
2026-08-06T10:08:26Z,2026-08-09T08:00:00Z,69.9,31.0,0.0,0.0,31.0,31.0
2026-08-06T10:08:26Z,2026-08-09T09:00:00Z,70.9,0.0,0.0,0.0,0.0,0.0
2026-08-06T10:08:26Z,2026-08-09T10:00:00Z,71.9,3.0,0.0,0.0,3.0,3.0
2026-08-06T10:47:54Z,2026-08-08T11:00:00Z,48.2,21.0,12.5,0.0,8.5,8.5
2026-08-06T10:47:54Z,2026-08-08T12:00:00Z,49.2,43.0,12.5,0.0,30.5,30.5
2026-08-06T10:47:54Z,2026-08-08T13:00:00Z,50.2,31.0,12.5,12.5,18.5,18.5
2026-08-06T10:47:54Z,2026-08-08T14:00:00Z,51.2,66.0,12.5,25.0,53.5,53.5
2026-08-06T10:47:54Z,2026-08-08T15:00:00Z,52.2,49.0,12.5,25.0,36.5,36.5
2026-08-06T10:47:54Z,2026-08-08T16:00:00Z,53.2,40.0,0.0,37.5,40.0,40.0
2026-08-06T10:47:54Z,2026-08-08T17:00:00Z,54.2,46.0,0.0,12.5,46.0,46.0
2026-08-06T10:47:54Z,2026-08-08T18:00:00Z,55.2,33.0,0.0,75.0,33.0,33.0
2026-08-06T10:47:54Z,2026-08-09T06:00:00Z,67.2,16.0,0.0,0.0,16.0,16.0
2026-08-06T10:47:54Z,2026-08-09T07:00:00Z,68.2,34.0,0.0,0.0,34.0,34.0
2026-08-06T10:47:54Z,2026-08-09T08:00:00Z,69.2,31.0,0.0,0.0,31.0,31.0
2026-08-06T10:47:54Z,2026-08-09T09:00:00Z,70.2,0.0,0.0,0.0,0.0,0.0
2026-08-06T10:47:54Z,2026-08-09T10:00:00Z,71.2,3.0,0.0,0.0,3.0,3.0
2026-08-06T11:30:42Z,2026-08-08T12:00:00Z,48.5,43.0,12.5,0.0,30.5,30.5
2026-08-06T11:30:42Z,2026-08-08T13:00:00Z,49.5,31.0,12.5,12.5,18.5,18.5
2026-08-06T11:30:42Z,2026-08-08T14:00:00Z,50.5,66.0,12.5,25.0,53.5,53.5
2026-08-06T11:30:42Z,2026-08-08T15:00:00Z,51.5,49.0,12.5,25.0,36.5,36.5
2026-08-06T11:30:42Z,2026-08-08T16:00:00Z,52.5,40.0,0.0,37.5,40.0,40.0
2026-08-06T11:30:42Z,2026-08-08T17:00:00Z,53.5,46.0,0.0,12.5,46.0,46.0
2026-08-06T11:30:42Z,2026-08-08T18:00:00Z,54.5,33.0,0.0,75.0,33.0,33.0
