# Нови-Сад / Облачность / 2-3 дня / Tomorrow.io
# n=29, MAE=3.745, RMSE=10.073, bias=+2.559
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (10.073/44.770)^2 = 0.9494  (RMSE_персистентности по 29 пар(ам))
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T11:44:08Z,2026-08-08T12:00:00Z,48.3,7.81,12.5,12.5,-4.69,4.69
2026-08-06T11:44:08Z,2026-08-08T13:00:00Z,49.3,5.47,12.5,12.5,-7.03,7.03
2026-08-06T11:44:08Z,2026-08-08T14:00:00Z,50.3,7.81,12.5,12.5,-4.69,4.69
2026-08-06T11:44:08Z,2026-08-08T15:00:00Z,51.3,11.72,12.5,12.5,-0.78,0.78
2026-08-06T11:44:08Z,2026-08-08T16:00:00Z,52.3,32.03,0.0,12.5,32.03,32.03
2026-08-06T11:44:08Z,2026-08-08T17:00:00Z,53.3,35.16,0.0,12.5,35.16,35.16
2026-08-06T11:44:08Z,2026-08-08T18:00:00Z,54.3,24.22,0.0,12.5,24.22,24.22
2026-08-06T11:44:08Z,2026-08-09T06:00:00Z,66.3,0.0,0.0,12.5,0.0,0.0
2026-08-06T11:44:08Z,2026-08-09T07:00:00Z,67.3,0.0,0.0,12.5,0.0,0.0
2026-08-06T11:44:08Z,2026-08-09T08:00:00Z,68.3,0.0,0.0,12.5,0.0,0.0
2026-08-06T11:44:08Z,2026-08-09T09:00:00Z,69.3,0.0,0.0,12.5,0.0,0.0
2026-08-06T11:44:08Z,2026-08-09T10:00:00Z,70.3,0.0,0.0,12.5,0.0,0.0
2026-08-07T01:31:32Z,2026-08-09T06:00:00Z,52.5,0.0,0.0,75.0,0.0,0.0
2026-08-07T01:31:32Z,2026-08-09T07:00:00Z,53.5,0.0,0.0,75.0,0.0,0.0
2026-08-07T01:31:32Z,2026-08-09T08:00:00Z,54.5,0.0,0.0,75.0,0.0,0.0
2026-08-07T01:31:32Z,2026-08-09T09:00:00Z,55.5,0.0,0.0,75.0,0.0,0.0
2026-08-07T01:31:32Z,2026-08-09T10:00:00Z,56.5,0.0,0.0,75.0,0.0,0.0
2026-08-07T05:36:00Z,2026-08-09T06:00:00Z,48.4,0.0,0.0,75.0,0.0,0.0
2026-08-07T05:36:00Z,2026-08-09T07:00:00Z,49.4,0.0,0.0,75.0,0.0,0.0
2026-08-07T05:36:00Z,2026-08-09T08:00:00Z,50.4,0.0,0.0,75.0,0.0,0.0
2026-08-07T05:36:00Z,2026-08-09T09:00:00Z,51.4,0.0,0.0,75.0,0.0,0.0
2026-08-07T05:36:00Z,2026-08-09T10:00:00Z,52.4,0.0,0.0,75.0,0.0,0.0
2026-08-07T06:18:59Z,2026-08-09T07:00:00Z,48.7,0.0,0.0,12.5,0.0,0.0
2026-08-07T06:18:59Z,2026-08-09T08:00:00Z,49.7,0.0,0.0,12.5,0.0,0.0
2026-08-07T06:18:59Z,2026-08-09T09:00:00Z,50.7,0.0,0.0,12.5,0.0,0.0
2026-08-07T06:18:59Z,2026-08-09T10:00:00Z,51.7,0.0,0.0,12.5,0.0,0.0
2026-08-07T07:13:52Z,2026-08-09T08:00:00Z,48.8,0.0,0.0,0.0,0.0,0.0
2026-08-07T07:13:52Z,2026-08-09T09:00:00Z,49.8,0.0,0.0,0.0,0.0,0.0
2026-08-07T07:13:52Z,2026-08-09T10:00:00Z,50.8,0.0,0.0,0.0,0.0,0.0
