# Нови-Сад / Облачность / 2-3 дня / WeatherAPI.com
# n=561, MAE=18.504, RMSE=31.002, bias=+0.889
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (31.002/27.055)^2 = -0.3131  (RMSE_персистентности по 561 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T10:47:54Z,2026-08-08T11:00:00Z,48.2,12.0,12.5,0.0,-0.5,0.5
2026-08-06T10:47:54Z,2026-08-08T12:00:00Z,49.2,14.0,12.5,0.0,1.5,1.5
2026-08-06T10:47:54Z,2026-08-08T13:00:00Z,50.2,6.0,12.5,12.5,-6.5,6.5
2026-08-06T10:47:54Z,2026-08-08T14:00:00Z,51.2,6.0,12.5,25.0,-6.5,6.5
2026-08-06T10:47:54Z,2026-08-08T15:00:00Z,52.2,8.0,12.5,25.0,-4.5,4.5
2026-08-06T10:47:54Z,2026-08-08T16:00:00Z,53.2,32.0,0.0,37.5,32.0,32.0
2026-08-06T10:47:54Z,2026-08-08T17:00:00Z,54.2,33.0,0.0,12.5,33.0,33.0
2026-08-06T10:47:54Z,2026-08-08T18:00:00Z,55.2,45.0,0.0,75.0,45.0,45.0
2026-08-06T11:30:42Z,2026-08-08T12:00:00Z,48.5,14.0,12.5,0.0,1.5,1.5
2026-08-06T11:30:42Z,2026-08-08T13:00:00Z,49.5,6.0,12.5,12.5,-6.5,6.5
2026-08-06T11:30:42Z,2026-08-08T14:00:00Z,50.5,6.0,12.5,25.0,-6.5,6.5
2026-08-06T11:30:42Z,2026-08-08T15:00:00Z,51.5,8.0,12.5,25.0,-4.5,4.5
2026-08-06T11:30:42Z,2026-08-08T16:00:00Z,52.5,32.0,0.0,37.5,32.0,32.0
2026-08-06T11:30:42Z,2026-08-08T17:00:00Z,53.5,33.0,0.0,12.5,33.0,33.0
2026-08-06T11:30:42Z,2026-08-08T18:00:00Z,54.5,45.0,0.0,75.0,45.0,45.0
2026-08-06T11:36:01Z,2026-08-08T12:00:00Z,48.4,14.0,12.5,0.0,1.5,1.5
2026-08-06T11:36:01Z,2026-08-08T13:00:00Z,49.4,6.0,12.5,12.5,-6.5,6.5
2026-08-06T11:36:01Z,2026-08-08T14:00:00Z,50.4,6.0,12.5,25.0,-6.5,6.5
2026-08-06T11:36:01Z,2026-08-08T15:00:00Z,51.4,8.0,12.5,25.0,-4.5,4.5
2026-08-06T11:36:01Z,2026-08-08T16:00:00Z,52.4,32.0,0.0,37.5,32.0,32.0
