# Нови-Сад / Облачность / 3-5 дней / ECMWF AIFS
# n=283, MAE=6.138, RMSE=7.296, bias=+5.304
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (7.296/5.460)^2 = -0.7853  (RMSE_персистентности по 283 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-09T10:00:00Z,72.2,5.0,0.0,0.0,5.0,5.0
2026-08-06T09:50:07Z,2026-08-09T11:00:00Z,73.2,6.0,0.0,12.5,6.0,6.0
2026-08-06T09:50:07Z,2026-08-09T12:00:00Z,74.2,6.0,12.5,12.5,-6.5,6.5
2026-08-06T09:50:07Z,2026-08-09T13:00:00Z,75.2,5.0,12.5,12.5,-7.5,7.5
2026-08-06T09:50:07Z,2026-08-09T14:00:00Z,76.2,4.0,0.0,12.5,4.0,4.0
2026-08-06T09:50:07Z,2026-08-09T15:00:00Z,77.2,3.0,0.0,12.5,3.0,3.0
2026-08-06T09:50:07Z,2026-08-09T16:00:00Z,78.2,2.0,0.0,0.0,2.0,2.0
2026-08-06T09:50:07Z,2026-08-09T17:00:00Z,79.2,1.0,0.0,0.0,1.0,1.0
2026-08-06T09:50:07Z,2026-08-09T18:00:00Z,80.2,0.0,0.0,0.0,0.0,0.0
2026-08-06T09:50:07Z,2026-08-10T06:00:00Z,92.2,0.0,0.0,0.0,0.0,0.0
2026-08-06T09:50:07Z,2026-08-10T07:00:00Z,93.2,2.0,0.0,0.0,2.0,2.0
2026-08-06T09:50:07Z,2026-08-10T08:00:00Z,94.2,4.0,0.0,0.0,4.0,4.0
2026-08-06T09:50:07Z,2026-08-10T09:00:00Z,95.2,7.0,0.0,0.0,7.0,7.0
2026-08-06T09:50:07Z,2026-08-10T10:00:00Z,96.2,10.0,0.0,0.0,10.0,10.0
2026-08-06T09:50:07Z,2026-08-10T11:00:00Z,97.2,12.0,12.5,0.0,-0.5,0.5
2026-08-06T09:50:07Z,2026-08-10T12:00:00Z,98.2,13.0,0.0,12.5,13.0,13.0
2026-08-06T09:50:07Z,2026-08-10T13:00:00Z,99.2,13.0,0.0,12.5,13.0,13.0
2026-08-06T09:50:07Z,2026-08-10T14:00:00Z,100.2,11.0,0.0,0.0,11.0,11.0
2026-08-06T09:50:07Z,2026-08-10T15:00:00Z,101.2,9.0,0.0,0.0,9.0,9.0
2026-08-06T09:50:07Z,2026-08-10T16:00:00Z,102.2,7.0,0.0,0.0,7.0,7.0
2026-08-06T09:50:07Z,2026-08-10T17:00:00Z,103.2,5.0,0.0,0.0,5.0,5.0
2026-08-06T09:50:07Z,2026-08-10T18:00:00Z,104.2,4.0,0.0,0.0,4.0,4.0
2026-08-06T09:50:07Z,2026-08-11T06:00:00Z,116.2,4.0,0.0,0.0,4.0,4.0
2026-08-06T09:50:07Z,2026-08-11T07:00:00Z,117.2,6.0,0.0,0.0,6.0,6.0
2026-08-06T09:50:07Z,2026-08-11T08:00:00Z,118.2,9.0,0.0,0.0,9.0,9.0
2026-08-06T09:50:07Z,2026-08-11T09:00:00Z,119.2,13.0,0.0,0.0,13.0,13.0
2026-08-06T09:59:18Z,2026-08-09T10:00:00Z,72.0,5.0,0.0,0.0,5.0,5.0
2026-08-06T09:59:18Z,2026-08-09T11:00:00Z,73.0,6.0,0.0,12.5,6.0,6.0
2026-08-06T09:59:18Z,2026-08-09T12:00:00Z,74.0,6.0,12.5,12.5,-6.5,6.5
2026-08-06T09:59:18Z,2026-08-09T13:00:00Z,75.0,5.0,12.5,12.5,-7.5,7.5
2026-08-06T09:59:18Z,2026-08-09T14:00:00Z,76.0,4.0,0.0,12.5,4.0,4.0
2026-08-06T09:59:18Z,2026-08-09T15:00:00Z,77.0,3.0,0.0,12.5,3.0,3.0
2026-08-06T09:59:18Z,2026-08-09T16:00:00Z,78.0,2.0,0.0,0.0,2.0,2.0
