# Нови-Сад / Облачность / 5-10 дней / Yr (Норвегия)
# n=23, MAE=28.365, RMSE=45.195, bias=-28.087
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (45.195/39.096)^2 = -0.3363  (RMSE_персистентности по 23 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-11T12:00:00Z,122.2,0.8,0.0,0.0,0.8,0.8
2026-08-06T09:50:07Z,2026-08-11T18:00:00Z,128.2,0.0,0.0,0.0,0.0,0.0
2026-08-06T09:50:07Z,2026-08-12T06:00:00Z,140.2,0.0,75.0,0.0,-75.0,75.0
2026-08-06T09:59:18Z,2026-08-11T12:00:00Z,122.0,0.8,0.0,0.0,0.8,0.8
2026-08-06T09:59:18Z,2026-08-11T18:00:00Z,128.0,0.0,0.0,0.0,0.0,0.0
2026-08-06T09:59:18Z,2026-08-12T06:00:00Z,140.0,0.0,75.0,0.0,-75.0,75.0
2026-08-06T10:08:26Z,2026-08-11T12:00:00Z,121.9,0.8,0.0,0.0,0.8,0.8
2026-08-06T10:08:26Z,2026-08-11T18:00:00Z,127.9,0.0,0.0,0.0,0.0,0.0
2026-08-06T10:08:26Z,2026-08-12T06:00:00Z,139.9,0.0,75.0,0.0,-75.0,75.0
2026-08-06T10:47:54Z,2026-08-11T12:00:00Z,121.2,0.8,0.0,0.0,0.8,0.8
2026-08-06T10:47:54Z,2026-08-11T18:00:00Z,127.2,0.0,0.0,0.0,0.0,0.0
2026-08-06T10:47:54Z,2026-08-12T06:00:00Z,139.2,0.0,75.0,0.0,-75.0,75.0
2026-08-06T11:30:42Z,2026-08-11T12:00:00Z,120.5,0.0,0.0,12.5,0.0,0.0
2026-08-06T11:30:42Z,2026-08-11T18:00:00Z,126.5,0.0,0.0,12.5,0.0,0.0
2026-08-06T11:30:42Z,2026-08-12T06:00:00Z,138.5,8.6,75.0,12.5,-66.4,66.4
2026-08-06T11:36:01Z,2026-08-11T12:00:00Z,120.4,0.0,0.0,12.5,0.0,0.0
2026-08-06T11:36:01Z,2026-08-11T18:00:00Z,126.4,0.0,0.0,12.5,0.0,0.0
2026-08-06T11:36:01Z,2026-08-12T06:00:00Z,138.4,8.6,75.0,12.5,-66.4,66.4
2026-08-06T11:44:08Z,2026-08-11T12:00:00Z,120.3,0.0,0.0,12.5,0.0,0.0
2026-08-06T11:44:08Z,2026-08-11T18:00:00Z,126.3,0.0,0.0,12.5,0.0,0.0
2026-08-06T11:44:08Z,2026-08-12T06:00:00Z,138.3,8.6,75.0,12.5,-66.4,66.4
2026-08-07T01:31:32Z,2026-08-12T06:00:00Z,124.5,0.0,75.0,75.0,-75.0,75.0
2026-08-07T05:36:00Z,2026-08-12T06:00:00Z,120.4,0.0,75.0,75.0,-75.0,75.0
