# Нови-Сад / Облачность / 5-10 дней / ECMWF AIFS
# n=285, MAE=20.825, RMSE=25.360, bias=+9.905
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (25.360/35.285)^2 = 0.4834  (RMSE_персистентности по 285 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-11T10:00:00Z,120.2,16.0,0.0,0.0,16.0,16.0
2026-08-06T09:50:07Z,2026-08-11T11:00:00Z,121.2,19.0,0.0,0.0,19.0,19.0
2026-08-06T09:50:07Z,2026-08-11T12:00:00Z,122.2,21.0,0.0,0.0,21.0,21.0
2026-08-06T09:50:07Z,2026-08-11T13:00:00Z,123.2,22.0,0.0,0.0,22.0,22.0
2026-08-06T09:50:07Z,2026-08-11T14:00:00Z,124.2,22.0,0.0,0.0,22.0,22.0
2026-08-06T09:50:07Z,2026-08-11T15:00:00Z,125.2,21.0,0.0,0.0,21.0,21.0
2026-08-06T09:50:07Z,2026-08-11T16:00:00Z,126.2,20.0,0.0,0.0,20.0,20.0
2026-08-06T09:50:07Z,2026-08-11T17:00:00Z,127.2,20.0,0.0,0.0,20.0,20.0
2026-08-06T09:50:07Z,2026-08-11T18:00:00Z,128.2,19.0,0.0,0.0,19.0,19.0
2026-08-06T09:50:07Z,2026-08-12T06:00:00Z,140.2,14.0,75.0,0.0,-61.0,61.0
2026-08-06T09:50:07Z,2026-08-12T07:00:00Z,141.2,17.0,75.0,0.0,-58.0,58.0
2026-08-06T09:50:07Z,2026-08-12T08:00:00Z,142.2,20.0,50.0,0.0,-30.0,30.0
2026-08-06T09:50:07Z,2026-08-12T09:00:00Z,143.2,25.0,25.0,0.0,0.0,0.0
2026-08-06T09:50:07Z,2026-08-12T10:00:00Z,144.2,30.0,25.0,0.0,5.0,5.0
2026-08-06T09:50:07Z,2026-08-12T11:00:00Z,145.2,34.0,12.5,0.0,21.5,21.5
2026-08-06T09:50:07Z,2026-08-12T12:00:00Z,146.2,36.0,12.5,0.0,23.5,23.5
2026-08-06T09:50:07Z,2026-08-12T13:00:00Z,147.2,37.0,0.0,0.0,37.0,37.0
2026-08-06T09:50:07Z,2026-08-12T14:00:00Z,148.2,37.0,0.0,0.0,37.0,37.0
2026-08-06T09:50:07Z,2026-08-12T15:00:00Z,149.2,36.0,0.0,0.0,36.0,36.0
2026-08-06T09:50:07Z,2026-08-12T16:00:00Z,150.2,34.0,0.0,0.0,34.0,34.0
2026-08-06T09:50:07Z,2026-08-12T17:00:00Z,151.2,32.0,0.0,0.0,32.0,32.0
2026-08-06T09:50:07Z,2026-08-12T18:00:00Z,152.2,31.0,0.0,0.0,31.0,31.0
2026-08-06T09:50:07Z,2026-08-13T06:00:00Z,164.2,10.0,0.0,0.0,10.0,10.0
2026-08-06T09:50:07Z,2026-08-13T07:00:00Z,165.2,11.0,0.0,0.0,11.0,11.0
2026-08-06T09:50:07Z,2026-08-13T08:00:00Z,166.2,14.0,0.0,0.0,14.0,14.0
2026-08-06T09:50:07Z,2026-08-13T09:00:00Z,167.2,18.0,0.0,0.0,18.0,18.0
2026-08-06T09:50:07Z,2026-08-13T10:00:00Z,168.2,22.0,0.0,0.0,22.0,22.0
2026-08-06T09:59:18Z,2026-08-11T10:00:00Z,120.0,16.0,0.0,0.0,16.0,16.0
2026-08-06T09:59:18Z,2026-08-11T11:00:00Z,121.0,19.0,0.0,0.0,19.0,19.0
2026-08-06T09:59:18Z,2026-08-11T12:00:00Z,122.0,21.0,0.0,0.0,21.0,21.0
2026-08-06T09:59:18Z,2026-08-11T13:00:00Z,123.0,22.0,0.0,0.0,22.0,22.0
2026-08-06T09:59:18Z,2026-08-11T14:00:00Z,124.0,22.0,0.0,0.0,22.0,22.0
2026-08-06T09:59:18Z,2026-08-11T15:00:00Z,125.0,21.0,0.0,0.0,21.0,21.0
2026-08-06T09:59:18Z,2026-08-11T16:00:00Z,126.0,20.0,0.0,0.0,20.0,20.0
2026-08-06T09:59:18Z,2026-08-11T17:00:00Z,127.0,20.0,0.0,0.0,20.0,20.0
