# Нови-Сад / Облачность / 5-10 дней / ICON (Германия)
# n=2123, MAE=22.583, RMSE=33.424, bias=+3.176
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (33.424/35.738)^2 = 0.1253  (RMSE_персистентности по 2123 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-11T10:00:00Z,120.2,1.0,0.0,0.0,1.0,1.0
2026-08-06T09:50:07Z,2026-08-11T11:00:00Z,121.2,2.0,0.0,12.5,2.0,2.0
2026-08-06T09:50:07Z,2026-08-11T12:00:00Z,122.2,3.0,0.0,0.0,3.0,3.0
2026-08-06T09:50:07Z,2026-08-11T13:00:00Z,123.2,12.0,0.0,0.0,12.0,12.0
2026-08-06T09:50:07Z,2026-08-11T14:00:00Z,124.2,20.0,0.0,0.0,20.0,20.0
2026-08-06T09:50:07Z,2026-08-11T15:00:00Z,125.2,29.0,0.0,0.0,29.0,29.0
2026-08-06T09:50:07Z,2026-08-11T16:00:00Z,126.2,19.0,0.0,0.0,19.0,19.0
2026-08-06T09:50:07Z,2026-08-11T17:00:00Z,127.2,10.0,0.0,0.0,10.0,10.0
2026-08-06T09:50:07Z,2026-08-11T18:00:00Z,128.2,0.0,0.0,0.0,0.0,0.0
2026-08-06T09:50:07Z,2026-08-12T06:00:00Z,140.2,0.0,75.0,0.0,-75.0,75.0
2026-08-06T09:50:07Z,2026-08-12T07:00:00Z,141.2,0.0,75.0,0.0,-75.0,75.0
2026-08-06T09:50:07Z,2026-08-12T08:00:00Z,142.2,0.0,50.0,0.0,-50.0,50.0
2026-08-06T09:50:07Z,2026-08-12T09:00:00Z,143.2,0.0,25.0,0.0,-25.0,25.0
2026-08-06T09:50:07Z,2026-08-12T10:00:00Z,144.2,9.0,25.0,0.0,-16.0,16.0
2026-08-06T09:50:07Z,2026-08-12T11:00:00Z,145.2,17.0,12.5,0.0,4.5,4.5
2026-08-06T09:50:07Z,2026-08-12T12:00:00Z,146.2,26.0,12.5,0.0,13.5,13.5
2026-08-06T09:50:07Z,2026-08-12T13:00:00Z,147.2,19.0,0.0,0.0,19.0,19.0
2026-08-06T09:50:07Z,2026-08-12T14:00:00Z,148.2,13.0,0.0,0.0,13.0,13.0
2026-08-06T09:50:07Z,2026-08-12T15:00:00Z,149.2,6.0,0.0,0.0,6.0,6.0
2026-08-06T09:50:07Z,2026-08-12T16:00:00Z,150.2,4.0,0.0,0.0,4.0,4.0
2026-08-06T09:50:07Z,2026-08-12T17:00:00Z,151.2,2.0,0.0,0.0,2.0,2.0
2026-08-06T09:50:07Z,2026-08-12T18:00:00Z,152.2,0.0,0.0,0.0,0.0,0.0
2026-08-06T09:50:07Z,2026-08-13T06:00:00Z,164.2,0.0,0.0,75.0,0.0,0.0
2026-08-06T09:50:07Z,2026-08-13T07:00:00Z,165.2,0.0,0.0,75.0,0.0,0.0
2026-08-06T09:50:07Z,2026-08-13T08:00:00Z,166.2,0.0,0.0,50.0,0.0,0.0
2026-08-06T09:50:07Z,2026-08-13T09:00:00Z,167.2,0.0,0.0,25.0,0.0,0.0
2026-08-06T09:50:07Z,2026-08-13T10:00:00Z,168.2,0.0,0.0,25.0,0.0,0.0
2026-08-06T09:50:07Z,2026-08-13T11:00:00Z,169.2,0.0,0.0,12.5,0.0,0.0
2026-08-06T09:50:07Z,2026-08-13T12:00:00Z,170.2,0.0,0.0,12.5,0.0,0.0
2026-08-06T09:59:18Z,2026-08-11T10:00:00Z,120.0,1.0,0.0,0.0,1.0,1.0
2026-08-06T09:59:18Z,2026-08-11T11:00:00Z,121.0,2.0,0.0,12.5,2.0,2.0
2026-08-06T09:59:18Z,2026-08-11T12:00:00Z,122.0,3.0,0.0,0.0,3.0,3.0
2026-08-06T09:59:18Z,2026-08-11T13:00:00Z,123.0,12.0,0.0,0.0,12.0,12.0
2026-08-06T09:59:18Z,2026-08-11T14:00:00Z,124.0,20.0,0.0,0.0,20.0,20.0
2026-08-06T09:59:18Z,2026-08-11T15:00:00Z,125.0,29.0,0.0,0.0,29.0,29.0
2026-08-06T09:59:18Z,2026-08-11T16:00:00Z,126.0,19.0,0.0,0.0,19.0,19.0
2026-08-06T09:59:18Z,2026-08-11T17:00:00Z,127.0,10.0,0.0,0.0,10.0,10.0
2026-08-06T09:59:18Z,2026-08-11T18:00:00Z,128.0,0.0,0.0,0.0,0.0,0.0
2026-08-06T09:59:18Z,2026-08-12T06:00:00Z,140.0,0.0,75.0,0.0,-75.0,75.0
2026-08-06T09:59:18Z,2026-08-12T07:00:00Z,141.0,0.0,75.0,0.0,-75.0,75.0
2026-08-06T09:59:18Z,2026-08-12T08:00:00Z,142.0,0.0,50.0,0.0,-50.0,50.0
2026-08-06T09:59:18Z,2026-08-12T09:00:00Z,143.0,0.0,25.0,0.0,-25.0,25.0
2026-08-06T09:59:18Z,2026-08-12T10:00:00Z,144.0,9.0,25.0,0.0,-16.0,16.0
2026-08-06T09:59:18Z,2026-08-12T11:00:00Z,145.0,17.0,12.5,0.0,4.5,4.5
2026-08-06T09:59:18Z,2026-08-12T12:00:00Z,146.0,26.0,12.5,0.0,13.5,13.5
2026-08-06T09:59:18Z,2026-08-12T13:00:00Z,147.0,19.0,0.0,0.0,19.0,19.0
2026-08-06T09:59:18Z,2026-08-12T14:00:00Z,148.0,13.0,0.0,0.0,13.0,13.0
2026-08-06T09:59:18Z,2026-08-12T15:00:00Z,149.0,6.0,0.0,0.0,6.0,6.0
2026-08-06T09:59:18Z,2026-08-12T16:00:00Z,150.0,4.0,0.0,0.0,4.0,4.0
2026-08-06T09:59:18Z,2026-08-12T17:00:00Z,151.0,2.0,0.0,0.0,2.0,2.0
2026-08-06T09:59:18Z,2026-08-12T18:00:00Z,152.0,0.0,0.0,0.0,0.0,0.0
2026-08-06T09:59:18Z,2026-08-13T06:00:00Z,164.0,0.0,0.0,75.0,0.0,0.0
2026-08-06T09:59:18Z,2026-08-13T07:00:00Z,165.0,0.0,0.0,75.0,0.0,0.0
