# Нови-Сад / Облачность / 5-10 дней / Apple Погода
# n=544, MAE=9.223, RMSE=14.463, bias=-0.962
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (14.463/23.709)^2 = 0.6279  (RMSE_персистентности по 544 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T11:36:01Z,2026-08-11T12:00:00Z,120.4,17.0,0.0,0.0,17.0,17.0
2026-08-06T11:36:01Z,2026-08-11T13:00:00Z,121.4,19.0,0.0,0.0,19.0,19.0
2026-08-06T11:36:01Z,2026-08-11T14:00:00Z,122.4,19.0,0.0,0.0,19.0,19.0
2026-08-06T11:36:01Z,2026-08-11T15:00:00Z,123.4,17.0,0.0,0.0,17.0,17.0
2026-08-06T11:36:01Z,2026-08-11T16:00:00Z,124.4,13.0,0.0,0.0,13.0,13.0
2026-08-06T11:36:01Z,2026-08-11T17:00:00Z,125.4,8.0,0.0,0.0,8.0,8.0
2026-08-06T11:36:01Z,2026-08-11T18:00:00Z,126.4,4.0,0.0,0.0,4.0,4.0
2026-08-06T11:36:01Z,2026-08-12T06:00:00Z,138.4,3.0,75.0,0.0,-72.0,72.0
2026-08-06T11:36:01Z,2026-08-12T07:00:00Z,139.4,4.0,75.0,0.0,-71.0,71.0
2026-08-06T11:36:01Z,2026-08-12T08:00:00Z,140.4,4.0,50.0,0.0,-46.0,46.0
2026-08-06T11:36:01Z,2026-08-12T09:00:00Z,141.4,4.0,25.0,0.0,-21.0,21.0
2026-08-06T11:36:01Z,2026-08-12T10:00:00Z,142.4,6.0,25.0,0.0,-19.0,19.0
2026-08-06T11:36:01Z,2026-08-12T11:00:00Z,143.4,8.0,12.5,0.0,-4.5,4.5
2026-08-06T11:36:01Z,2026-08-12T12:00:00Z,144.4,9.0,12.5,0.0,-3.5,3.5
2026-08-06T11:36:01Z,2026-08-12T13:00:00Z,145.4,10.0,0.0,0.0,10.0,10.0
2026-08-06T11:36:01Z,2026-08-12T14:00:00Z,146.4,10.0,0.0,0.0,10.0,10.0
2026-08-06T11:36:01Z,2026-08-12T15:00:00Z,147.4,11.0,0.0,0.0,11.0,11.0
2026-08-06T11:36:01Z,2026-08-12T16:00:00Z,148.4,12.0,0.0,0.0,12.0,12.0
2026-08-06T11:36:01Z,2026-08-12T17:00:00Z,149.4,13.0,0.0,0.0,13.0,13.0
2026-08-06T11:36:01Z,2026-08-12T18:00:00Z,150.4,13.0,0.0,0.0,13.0,13.0
2026-08-06T11:36:01Z,2026-08-13T06:00:00Z,162.4,2.0,0.0,75.0,2.0,2.0
2026-08-06T11:36:01Z,2026-08-13T07:00:00Z,163.4,3.0,0.0,75.0,3.0,3.0
2026-08-06T11:36:01Z,2026-08-13T08:00:00Z,164.4,3.0,0.0,50.0,3.0,3.0
2026-08-06T11:36:01Z,2026-08-13T09:00:00Z,165.4,4.0,0.0,25.0,4.0,4.0
2026-08-06T11:36:01Z,2026-08-13T10:00:00Z,166.4,5.0,0.0,25.0,5.0,5.0
2026-08-06T11:36:01Z,2026-08-13T11:00:00Z,167.4,6.0,0.0,12.5,6.0,6.0
2026-08-06T11:36:01Z,2026-08-13T12:00:00Z,168.4,6.0,0.0,12.5,6.0,6.0
2026-08-06T11:36:01Z,2026-08-13T13:00:00Z,169.4,9.0,0.0,0.0,9.0,9.0
2026-08-06T11:36:01Z,2026-08-13T14:00:00Z,170.4,9.0,0.0,0.0,9.0,9.0
2026-08-06T11:36:01Z,2026-08-13T15:00:00Z,171.4,10.0,0.0,0.0,10.0,10.0
2026-08-06T11:36:01Z,2026-08-13T16:00:00Z,172.4,10.0,0.0,0.0,10.0,10.0
2026-08-06T11:36:01Z,2026-08-13T17:00:00Z,173.4,10.0,0.0,0.0,10.0,10.0
2026-08-06T11:36:01Z,2026-08-13T18:00:00Z,174.4,9.0,0.0,0.0,9.0,9.0
2026-08-06T11:36:01Z,2026-08-14T06:00:00Z,186.4,3.0,0.0,0.0,3.0,3.0
2026-08-06T11:36:01Z,2026-08-14T07:00:00Z,187.4,2.0,0.0,0.0,2.0,2.0
2026-08-06T11:36:01Z,2026-08-14T08:00:00Z,188.4,1.0,0.0,0.0,1.0,1.0
2026-08-06T11:36:01Z,2026-08-14T09:00:00Z,189.4,1.0,0.0,0.0,1.0,1.0
2026-08-06T11:36:01Z,2026-08-14T10:00:00Z,190.4,0.0,0.0,0.0,0.0,0.0
2026-08-06T11:36:01Z,2026-08-14T11:00:00Z,191.4,0.0,25.0,0.0,-25.0,25.0
2026-08-06T11:36:01Z,2026-08-14T12:00:00Z,192.4,0.0,25.0,0.0,-25.0,25.0
2026-08-06T11:36:01Z,2026-08-14T13:00:00Z,193.4,1.0,25.0,0.0,-24.0,24.0
2026-08-06T11:36:01Z,2026-08-14T14:00:00Z,194.4,3.0,25.0,0.0,-22.0,22.0
2026-08-06T11:36:01Z,2026-08-14T15:00:00Z,195.4,4.0,12.5,0.0,-8.5,8.5
2026-08-06T11:36:01Z,2026-08-14T16:00:00Z,196.4,5.0,12.5,0.0,-7.5,7.5
2026-08-06T11:36:01Z,2026-08-14T17:00:00Z,197.4,5.0,12.5,0.0,-7.5,7.5
2026-08-06T11:36:01Z,2026-08-14T18:00:00Z,198.4,5.0,25.0,0.0,-20.0,20.0
2026-08-06T11:36:01Z,2026-08-15T06:00:00Z,210.4,2.0,0.0,0.0,2.0,2.0
2026-08-06T11:36:01Z,2026-08-15T07:00:00Z,211.4,3.0,0.0,0.0,3.0,3.0
2026-08-06T11:36:01Z,2026-08-15T08:00:00Z,212.4,5.0,0.0,0.0,5.0,5.0
2026-08-06T11:36:01Z,2026-08-15T09:00:00Z,213.4,8.0,0.0,0.0,8.0,8.0
2026-08-06T11:44:08Z,2026-08-11T12:00:00Z,120.3,18.0,0.0,0.0,18.0,18.0
2026-08-06T11:44:08Z,2026-08-11T13:00:00Z,121.3,19.0,0.0,0.0,19.0,19.0
2026-08-06T11:44:08Z,2026-08-11T14:00:00Z,122.3,19.0,0.0,0.0,19.0,19.0
2026-08-06T11:44:08Z,2026-08-11T15:00:00Z,123.3,17.0,0.0,0.0,17.0,17.0
2026-08-06T11:44:08Z,2026-08-11T16:00:00Z,124.3,13.0,0.0,0.0,13.0,13.0
