# Нови-Сад / Облачность / 6-24ч / ECMWF AIFS
# n=193, MAE=16.666, RMSE=23.601, bias=+4.666
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (23.601/24.143)^2 = 0.0445  (RMSE_персистентности по 193 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-06T16:00:00Z,6.2,22.0,87.5,50.0,-65.5,65.5
2026-08-06T09:50:07Z,2026-08-06T17:00:00Z,7.2,21.0,87.5,50.0,-66.5,66.5
2026-08-06T09:50:07Z,2026-08-06T18:00:00Z,8.2,20.0,75.0,50.0,-55.0,55.0
2026-08-06T09:50:07Z,2026-08-07T06:00:00Z,20.2,17.0,12.5,0.0,4.5,4.5
2026-08-06T09:50:07Z,2026-08-07T07:00:00Z,21.2,18.0,0.0,0.0,18.0,18.0
2026-08-06T09:50:07Z,2026-08-07T08:00:00Z,22.2,20.0,0.0,0.0,20.0,20.0
2026-08-06T09:50:07Z,2026-08-07T09:00:00Z,23.2,22.0,0.0,0.0,22.0,22.0
2026-08-06T09:59:18Z,2026-08-06T16:00:00Z,6.0,22.0,87.5,50.0,-65.5,65.5
2026-08-06T09:59:18Z,2026-08-06T17:00:00Z,7.0,21.0,87.5,50.0,-66.5,66.5
2026-08-06T09:59:18Z,2026-08-06T18:00:00Z,8.0,20.0,75.0,50.0,-55.0,55.0
2026-08-06T09:59:18Z,2026-08-07T06:00:00Z,20.0,17.0,12.5,0.0,4.5,4.5
2026-08-06T09:59:18Z,2026-08-07T07:00:00Z,21.0,18.0,0.0,0.0,18.0,18.0
2026-08-06T09:59:18Z,2026-08-07T08:00:00Z,22.0,20.0,0.0,0.0,20.0,20.0
2026-08-06T09:59:18Z,2026-08-07T09:00:00Z,23.0,22.0,0.0,0.0,22.0,22.0
2026-08-06T10:08:26Z,2026-08-06T17:00:00Z,6.9,21.0,87.5,50.0,-66.5,66.5
2026-08-06T10:08:26Z,2026-08-06T18:00:00Z,7.9,20.0,75.0,50.0,-55.0,55.0
2026-08-06T10:08:26Z,2026-08-07T06:00:00Z,19.9,17.0,12.5,0.0,4.5,4.5
2026-08-06T10:08:26Z,2026-08-07T07:00:00Z,20.9,18.0,0.0,0.0,18.0,18.0
2026-08-06T10:08:26Z,2026-08-07T08:00:00Z,21.9,20.0,0.0,0.0,20.0,20.0
2026-08-06T10:08:26Z,2026-08-07T09:00:00Z,22.9,22.0,0.0,0.0,22.0,22.0
2026-08-06T10:08:26Z,2026-08-07T10:00:00Z,23.9,24.0,0.0,0.0,24.0,24.0
2026-08-06T10:47:54Z,2026-08-06T17:00:00Z,6.2,21.0,87.5,50.0,-66.5,66.5
2026-08-06T10:47:54Z,2026-08-06T18:00:00Z,7.2,20.0,75.0,50.0,-55.0,55.0
2026-08-06T10:47:54Z,2026-08-07T06:00:00Z,19.2,17.0,12.5,0.0,4.5,4.5
2026-08-06T10:47:54Z,2026-08-07T07:00:00Z,20.2,18.0,0.0,0.0,18.0,18.0
2026-08-06T10:47:54Z,2026-08-07T08:00:00Z,21.2,20.0,0.0,0.0,20.0,20.0
2026-08-06T10:47:54Z,2026-08-07T09:00:00Z,22.2,22.0,0.0,0.0,22.0,22.0
2026-08-06T10:47:54Z,2026-08-07T10:00:00Z,23.2,24.0,0.0,0.0,24.0,24.0
2026-08-06T11:30:42Z,2026-08-06T18:00:00Z,6.5,20.0,75.0,50.0,-55.0,55.0
2026-08-06T11:30:42Z,2026-08-07T06:00:00Z,18.5,17.0,12.5,0.0,4.5,4.5
2026-08-06T11:30:42Z,2026-08-07T07:00:00Z,19.5,18.0,0.0,0.0,18.0,18.0
2026-08-06T11:30:42Z,2026-08-07T08:00:00Z,20.5,20.0,0.0,0.0,20.0,20.0
2026-08-06T11:30:42Z,2026-08-07T09:00:00Z,21.5,22.0,0.0,0.0,22.0,22.0
2026-08-06T11:30:42Z,2026-08-07T10:00:00Z,22.5,24.0,0.0,0.0,24.0,24.0
2026-08-06T11:30:42Z,2026-08-07T11:00:00Z,23.5,25.0,0.0,12.5,25.0,25.0
2026-08-06T11:36:01Z,2026-08-06T18:00:00Z,6.4,20.0,75.0,50.0,-55.0,55.0
2026-08-06T11:36:01Z,2026-08-07T06:00:00Z,18.4,17.0,12.5,0.0,4.5,4.5
2026-08-06T11:36:01Z,2026-08-07T07:00:00Z,19.4,18.0,0.0,0.0,18.0,18.0
2026-08-06T11:36:01Z,2026-08-07T08:00:00Z,20.4,20.0,0.0,0.0,20.0,20.0
2026-08-06T11:36:01Z,2026-08-07T09:00:00Z,21.4,22.0,0.0,0.0,22.0,22.0
2026-08-06T11:36:01Z,2026-08-07T10:00:00Z,22.4,24.0,0.0,0.0,24.0,24.0
2026-08-06T11:36:01Z,2026-08-07T11:00:00Z,23.4,25.0,0.0,12.5,25.0,25.0
2026-08-06T11:44:08Z,2026-08-06T18:00:00Z,6.3,20.0,75.0,50.0,-55.0,55.0
2026-08-06T11:44:08Z,2026-08-07T06:00:00Z,18.3,15.0,12.5,0.0,2.5,2.5
2026-08-06T11:44:08Z,2026-08-07T07:00:00Z,19.3,16.0,0.0,0.0,16.0,16.0
2026-08-06T11:44:08Z,2026-08-07T08:00:00Z,20.3,18.0,0.0,0.0,18.0,18.0
2026-08-06T11:44:08Z,2026-08-07T09:00:00Z,21.3,20.0,0.0,0.0,20.0,20.0
2026-08-06T11:44:08Z,2026-08-07T10:00:00Z,22.3,22.0,0.0,0.0,22.0,22.0
2026-08-06T11:44:08Z,2026-08-07T11:00:00Z,23.3,24.0,0.0,12.5,24.0,24.0
2026-08-07T01:31:32Z,2026-08-07T08:00:00Z,6.5,12.0,0.0,0.0,12.0,12.0
2026-08-07T01:31:32Z,2026-08-07T09:00:00Z,7.5,17.0,0.0,0.0,17.0,17.0
2026-08-07T01:31:32Z,2026-08-07T10:00:00Z,8.5,21.0,0.0,0.0,21.0,21.0
2026-08-07T01:31:32Z,2026-08-07T11:00:00Z,9.5,25.0,0.0,12.5,25.0,25.0
2026-08-07T01:31:32Z,2026-08-07T12:00:00Z,10.5,27.0,0.0,25.0,27.0,27.0
2026-08-07T01:31:32Z,2026-08-07T13:00:00Z,11.5,28.0,12.5,50.0,15.5,15.5
2026-08-07T01:31:32Z,2026-08-07T14:00:00Z,12.5,27.0,25.0,62.5,2.0,2.0
2026-08-07T01:31:32Z,2026-08-07T15:00:00Z,13.5,26.0,25.0,87.5,1.0,1.0
2026-08-07T01:31:32Z,2026-08-07T16:00:00Z,14.5,25.0,37.5,87.5,-12.5,12.5
2026-08-07T01:31:32Z,2026-08-07T17:00:00Z,15.5,23.0,12.5,87.5,10.5,10.5
2026-08-07T01:31:32Z,2026-08-07T18:00:00Z,16.5,22.0,75.0,75.0,-53.0,53.0
2026-08-07T05:36:00Z,2026-08-07T12:00:00Z,6.4,27.0,0.0,25.0,27.0,27.0
2026-08-07T05:36:00Z,2026-08-07T13:00:00Z,7.4,28.0,12.5,50.0,15.5,15.5
2026-08-07T05:36:00Z,2026-08-07T14:00:00Z,8.4,27.0,25.0,62.5,2.0,2.0
2026-08-07T05:36:00Z,2026-08-07T15:00:00Z,9.4,26.0,25.0,87.5,1.0,1.0
2026-08-07T05:36:00Z,2026-08-07T16:00:00Z,10.4,25.0,37.5,87.5,-12.5,12.5
2026-08-07T05:36:00Z,2026-08-07T17:00:00Z,11.4,23.0,12.5,87.5,10.5,10.5
2026-08-07T05:36:00Z,2026-08-07T18:00:00Z,12.4,22.0,75.0,75.0,-53.0,53.0
2026-08-07T06:18:59Z,2026-08-07T13:00:00Z,6.7,24.0,12.5,50.0,11.5,11.5
2026-08-07T06:18:59Z,2026-08-07T14:00:00Z,7.7,24.0,25.0,62.5,-1.0,1.0
2026-08-07T06:18:59Z,2026-08-07T15:00:00Z,8.7,23.0,25.0,87.5,-2.0,2.0
2026-08-07T06:18:59Z,2026-08-07T16:00:00Z,9.7,22.0,37.5,87.5,-15.5,15.5
2026-08-07T06:18:59Z,2026-08-07T17:00:00Z,10.7,20.0,12.5,87.5,7.5,7.5
2026-08-07T06:18:59Z,2026-08-07T18:00:00Z,11.7,19.0,75.0,75.0,-56.0,56.0
2026-08-07T06:18:59Z,2026-08-08T06:00:00Z,23.7,12.0,0.0,12.5,12.0,12.0
2026-08-07T07:13:52Z,2026-08-07T14:00:00Z,6.8,24.0,25.0,62.5,-1.0,1.0
2026-08-07T07:13:52Z,2026-08-07T15:00:00Z,7.8,23.0,25.0,87.5,-2.0,2.0
2026-08-07T07:13:52Z,2026-08-07T16:00:00Z,8.8,22.0,37.5,87.5,-15.5,15.5
2026-08-07T07:13:52Z,2026-08-07T17:00:00Z,9.8,20.0,12.5,87.5,7.5,7.5
2026-08-07T07:13:52Z,2026-08-07T18:00:00Z,10.8,19.0,75.0,75.0,-56.0,56.0
2026-08-07T07:13:52Z,2026-08-08T06:00:00Z,22.8,12.0,0.0,12.5,12.0,12.0
2026-08-07T07:13:52Z,2026-08-08T07:00:00Z,23.8,15.0,0.0,0.0,15.0,15.0
2026-08-07T10:39:14Z,2026-08-07T17:00:00Z,6.3,20.0,12.5,87.5,7.5,7.5
2026-08-07T10:39:14Z,2026-08-07T18:00:00Z,7.3,19.0,75.0,75.0,-56.0,56.0
2026-08-07T10:39:14Z,2026-08-08T06:00:00Z,19.3,12.0,0.0,12.5,12.0,12.0
2026-08-07T10:39:14Z,2026-08-08T07:00:00Z,20.3,15.0,0.0,0.0,15.0,15.0
2026-08-07T10:39:14Z,2026-08-08T08:00:00Z,21.3,19.0,0.0,0.0,19.0,19.0
2026-08-07T10:39:14Z,2026-08-08T09:00:00Z,22.3,24.0,0.0,0.0,24.0,24.0
2026-08-07T10:39:14Z,2026-08-08T10:00:00Z,23.3,29.0,0.0,0.0,29.0,29.0
2026-08-07T16:51:54Z,2026-08-08T06:00:00Z,13.1,15.0,0.0,12.5,15.0,15.0
2026-08-07T16:51:54Z,2026-08-08T07:00:00Z,14.1,18.0,0.0,0.0,18.0,18.0
2026-08-07T16:51:54Z,2026-08-08T08:00:00Z,15.1,22.0,0.0,0.0,22.0,22.0
2026-08-07T16:51:54Z,2026-08-08T09:00:00Z,16.1,26.0,0.0,0.0,26.0,26.0
2026-08-07T16:51:54Z,2026-08-08T10:00:00Z,17.1,30.0,0.0,0.0,30.0,30.0
2026-08-07T16:51:54Z,2026-08-08T11:00:00Z,18.1,34.0,12.5,0.0,21.5,21.5
2026-08-07T16:51:54Z,2026-08-08T12:00:00Z,19.1,37.0,12.5,0.0,24.5,24.5
2026-08-07T16:51:54Z,2026-08-08T13:00:00Z,20.1,39.0,12.5,12.5,26.5,26.5
2026-08-07T16:51:54Z,2026-08-08T14:00:00Z,21.1,40.0,12.5,25.0,27.5,27.5
2026-08-07T16:51:54Z,2026-08-08T15:00:00Z,22.1,41.0,12.5,25.0,28.5,28.5
2026-08-07T16:51:54Z,2026-08-08T16:00:00Z,23.1,42.0,0.0,37.5,42.0,42.0
2026-08-07T22:45:57Z,2026-08-08T06:00:00Z,7.2,15.0,0.0,12.5,15.0,15.0
2026-08-07T22:45:57Z,2026-08-08T07:00:00Z,8.2,17.0,0.0,0.0,17.0,17.0
2026-08-07T22:45:57Z,2026-08-08T08:00:00Z,9.2,20.0,0.0,0.0,20.0,20.0
2026-08-07T22:45:57Z,2026-08-08T09:00:00Z,10.2,23.0,0.0,0.0,23.0,23.0
2026-08-07T22:45:57Z,2026-08-08T10:00:00Z,11.2,26.0,0.0,0.0,26.0,26.0
2026-08-07T22:45:57Z,2026-08-08T11:00:00Z,12.2,28.0,12.5,0.0,15.5,15.5
2026-08-07T22:45:57Z,2026-08-08T12:00:00Z,13.2,30.0,12.5,0.0,17.5,17.5
2026-08-07T22:45:57Z,2026-08-08T13:00:00Z,14.2,31.0,12.5,12.5,18.5,18.5
2026-08-07T22:45:57Z,2026-08-08T14:00:00Z,15.2,31.0,12.5,25.0,18.5,18.5
2026-08-07T22:45:57Z,2026-08-08T15:00:00Z,16.2,30.0,12.5,25.0,17.5,17.5
2026-08-07T22:45:57Z,2026-08-08T16:00:00Z,17.2,30.0,0.0,37.5,30.0,30.0
2026-08-07T22:45:57Z,2026-08-08T17:00:00Z,18.2,28.0,0.0,12.5,28.0,28.0
2026-08-07T22:45:57Z,2026-08-08T18:00:00Z,19.2,26.0,0.0,75.0,26.0,26.0
2026-08-07T23:19:23Z,2026-08-08T06:00:00Z,6.7,15.0,0.0,12.5,15.0,15.0
2026-08-07T23:19:23Z,2026-08-08T07:00:00Z,7.7,17.0,0.0,0.0,17.0,17.0
2026-08-07T23:19:23Z,2026-08-08T08:00:00Z,8.7,20.0,0.0,0.0,20.0,20.0
2026-08-07T23:19:23Z,2026-08-08T09:00:00Z,9.7,23.0,0.0,0.0,23.0,23.0
2026-08-07T23:19:23Z,2026-08-08T10:00:00Z,10.7,26.0,0.0,0.0,26.0,26.0
2026-08-07T23:19:23Z,2026-08-08T11:00:00Z,11.7,28.0,12.5,0.0,15.5,15.5
2026-08-07T23:19:23Z,2026-08-08T12:00:00Z,12.7,30.0,12.5,0.0,17.5,17.5
2026-08-07T23:19:23Z,2026-08-08T13:00:00Z,13.7,31.0,12.5,12.5,18.5,18.5
2026-08-07T23:19:23Z,2026-08-08T14:00:00Z,14.7,31.0,12.5,25.0,18.5,18.5
2026-08-07T23:19:23Z,2026-08-08T15:00:00Z,15.7,30.0,12.5,25.0,17.5,17.5
2026-08-07T23:19:23Z,2026-08-08T16:00:00Z,16.7,30.0,0.0,37.5,30.0,30.0
2026-08-07T23:19:23Z,2026-08-08T17:00:00Z,17.7,28.0,0.0,12.5,28.0,28.0
2026-08-07T23:19:23Z,2026-08-08T18:00:00Z,18.7,26.0,0.0,75.0,26.0,26.0
2026-08-08T04:50:53Z,2026-08-08T11:00:00Z,6.2,32.0,12.5,0.0,19.5,19.5
2026-08-08T04:50:53Z,2026-08-08T12:00:00Z,7.2,34.0,12.5,0.0,21.5,21.5
2026-08-08T04:50:53Z,2026-08-08T13:00:00Z,8.2,34.0,12.5,12.5,21.5,21.5
2026-08-08T04:50:53Z,2026-08-08T14:00:00Z,9.2,33.0,12.5,25.0,20.5,20.5
2026-08-08T04:50:53Z,2026-08-08T15:00:00Z,10.2,31.0,12.5,25.0,18.5,18.5
2026-08-08T04:50:53Z,2026-08-08T16:00:00Z,11.2,28.0,0.0,37.5,28.0,28.0
2026-08-08T04:50:53Z,2026-08-08T17:00:00Z,12.2,25.0,0.0,12.5,25.0,25.0
2026-08-08T04:50:53Z,2026-08-08T18:00:00Z,13.2,22.0,0.0,75.0,22.0,22.0
2026-08-08T10:18:13Z,2026-08-08T17:00:00Z,6.7,17.0,0.0,12.5,17.0,17.0
2026-08-08T10:18:13Z,2026-08-08T18:00:00Z,7.7,13.0,0.0,75.0,13.0,13.0
2026-08-08T10:18:13Z,2026-08-09T06:00:00Z,19.7,0.0,0.0,0.0,0.0,0.0
2026-08-08T10:18:13Z,2026-08-09T07:00:00Z,20.7,1.0,0.0,0.0,1.0,1.0
2026-08-08T10:18:13Z,2026-08-09T08:00:00Z,21.7,2.0,0.0,0.0,2.0,2.0
2026-08-08T10:18:13Z,2026-08-09T09:00:00Z,22.7,3.0,0.0,0.0,3.0,3.0
2026-08-08T10:18:13Z,2026-08-09T10:00:00Z,23.7,4.0,0.0,0.0,4.0,4.0
2026-08-08T22:37:20Z,2026-08-09T06:00:00Z,7.4,0.0,0.0,0.0,0.0,0.0
2026-08-08T22:37:20Z,2026-08-09T07:00:00Z,8.4,0.0,0.0,0.0,0.0,0.0
2026-08-08T22:37:20Z,2026-08-09T08:00:00Z,9.4,1.0,0.0,0.0,1.0,1.0
2026-08-08T22:37:20Z,2026-08-09T09:00:00Z,10.4,2.0,0.0,0.0,2.0,2.0
2026-08-08T22:37:20Z,2026-08-09T10:00:00Z,11.4,2.0,0.0,0.0,2.0,2.0
2026-08-08T22:37:20Z,2026-08-09T11:00:00Z,12.4,3.0,0.0,12.5,3.0,3.0
2026-08-08T22:37:20Z,2026-08-09T12:00:00Z,13.4,3.0,12.5,12.5,-9.5,9.5
2026-08-08T22:37:20Z,2026-08-09T13:00:00Z,14.4,3.0,12.5,12.5,-9.5,9.5
2026-08-08T22:37:20Z,2026-08-09T14:00:00Z,15.4,2.0,0.0,12.5,2.0,2.0
2026-08-08T22:37:20Z,2026-08-09T15:00:00Z,16.4,2.0,0.0,12.5,2.0,2.0
2026-08-08T22:37:20Z,2026-08-09T16:00:00Z,17.4,1.0,0.0,0.0,1.0,1.0
2026-08-08T22:37:20Z,2026-08-09T17:00:00Z,18.4,0.0,0.0,0.0,0.0,0.0
2026-08-08T22:37:20Z,2026-08-09T18:00:00Z,19.4,0.0,0.0,0.0,0.0,0.0
2026-08-09T04:59:03Z,2026-08-09T11:00:00Z,6.0,2.0,0.0,12.5,2.0,2.0
2026-08-09T04:59:03Z,2026-08-09T12:00:00Z,7.0,2.0,12.5,12.5,-10.5,10.5
2026-08-09T04:59:03Z,2026-08-09T13:00:00Z,8.0,2.0,12.5,12.5,-10.5,10.5
2026-08-09T04:59:03Z,2026-08-09T14:00:00Z,9.0,2.0,0.0,12.5,2.0,2.0
2026-08-09T04:59:03Z,2026-08-09T15:00:00Z,10.0,1.0,0.0,12.5,1.0,1.0
2026-08-09T04:59:03Z,2026-08-09T16:00:00Z,11.0,1.0,0.0,0.0,1.0,1.0
2026-08-09T04:59:03Z,2026-08-09T17:00:00Z,12.0,0.0,0.0,0.0,0.0,0.0
2026-08-09T04:59:03Z,2026-08-09T18:00:00Z,13.0,0.0,0.0,0.0,0.0,0.0
2026-08-09T10:19:29Z,2026-08-09T17:00:00Z,6.7,0.0,0.0,0.0,0.0,0.0
2026-08-09T10:19:29Z,2026-08-09T18:00:00Z,7.7,0.0,0.0,0.0,0.0,0.0
2026-08-09T10:19:29Z,2026-08-10T06:00:00Z,19.7,0.0,0.0,0.0,0.0,0.0
2026-08-09T10:19:29Z,2026-08-10T07:00:00Z,20.7,0.0,0.0,0.0,0.0,0.0
2026-08-09T10:19:29Z,2026-08-10T08:00:00Z,21.7,0.0,0.0,0.0,0.0,0.0
2026-08-09T10:19:29Z,2026-08-10T09:00:00Z,22.7,1.0,0.0,0.0,1.0,1.0
2026-08-09T10:19:29Z,2026-08-10T10:00:00Z,23.7,1.0,0.0,0.0,1.0,1.0
2026-08-09T12:41:38Z,2026-08-10T06:00:00Z,17.3,0.0,0.0,0.0,0.0,0.0
2026-08-09T12:41:38Z,2026-08-10T07:00:00Z,18.3,0.0,0.0,0.0,0.0,0.0
2026-08-09T12:41:38Z,2026-08-10T08:00:00Z,19.3,0.0,0.0,0.0,0.0,0.0
2026-08-09T12:41:38Z,2026-08-10T09:00:00Z,20.3,0.0,0.0,0.0,0.0,0.0
2026-08-09T12:41:38Z,2026-08-10T10:00:00Z,21.3,0.0,0.0,0.0,0.0,0.0
2026-08-09T12:45:53Z,2026-08-10T06:00:00Z,17.2,0.0,0.0,0.0,0.0,0.0
2026-08-09T12:45:53Z,2026-08-10T07:00:00Z,18.2,0.0,0.0,0.0,0.0,0.0
2026-08-09T12:45:53Z,2026-08-10T08:00:00Z,19.2,0.0,0.0,0.0,0.0,0.0
2026-08-09T12:45:53Z,2026-08-10T09:00:00Z,20.2,0.0,0.0,0.0,0.0,0.0
2026-08-09T12:45:53Z,2026-08-10T10:00:00Z,21.2,0.0,0.0,0.0,0.0,0.0
2026-08-09T12:48:15Z,2026-08-10T06:00:00Z,17.2,0.0,0.0,0.0,0.0,0.0
2026-08-09T12:48:15Z,2026-08-10T07:00:00Z,18.2,0.0,0.0,0.0,0.0,0.0
2026-08-09T12:48:15Z,2026-08-10T08:00:00Z,19.2,0.0,0.0,0.0,0.0,0.0
2026-08-09T12:48:15Z,2026-08-10T09:00:00Z,20.2,0.0,0.0,0.0,0.0,0.0
2026-08-09T12:48:15Z,2026-08-10T10:00:00Z,21.2,0.0,0.0,0.0,0.0,0.0
2026-08-09T16:31:44Z,2026-08-10T06:00:00Z,13.5,0.0,0.0,0.0,0.0,0.0
2026-08-09T16:31:44Z,2026-08-10T07:00:00Z,14.5,0.0,0.0,0.0,0.0,0.0
2026-08-09T16:31:44Z,2026-08-10T08:00:00Z,15.5,0.0,0.0,0.0,0.0,0.0
2026-08-09T16:31:44Z,2026-08-10T09:00:00Z,16.5,0.0,0.0,0.0,0.0,0.0
2026-08-09T16:31:44Z,2026-08-10T10:00:00Z,17.5,0.0,0.0,0.0,0.0,0.0
2026-08-09T22:39:09Z,2026-08-10T06:00:00Z,7.3,0.0,0.0,0.0,0.0,0.0
2026-08-09T22:39:09Z,2026-08-10T07:00:00Z,8.3,0.0,0.0,0.0,0.0,0.0
2026-08-09T22:39:09Z,2026-08-10T08:00:00Z,9.3,0.0,0.0,0.0,0.0,0.0
2026-08-09T22:39:09Z,2026-08-10T09:00:00Z,10.3,0.0,0.0,0.0,0.0,0.0
2026-08-09T22:39:09Z,2026-08-10T10:00:00Z,11.3,0.0,0.0,0.0,0.0,0.0
