# Нови-Сад / Облачность / 6-24ч / OpenWeatherMap
# n=47, MAE=22.564, RMSE=27.771, bias=+11.053
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (27.771/30.564)^2 = 0.1744  (RMSE_персистентности по 47 пар(ам))
# persistence = последнее показание станции на (valid_time − 24ч), т.е. «то же время суток вчера», а не «на момент забора прогноза»
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T11:30:42Z,2026-08-06T18:00:00Z,6.5,28.0,75.0,50.0,-47.0,47.0
2026-08-06T11:30:42Z,2026-08-07T06:00:00Z,18.5,36.0,12.5,0.0,23.5,23.5
2026-08-06T11:30:42Z,2026-08-07T09:00:00Z,21.5,10.0,0.0,0.0,10.0,10.0
2026-08-06T11:36:01Z,2026-08-06T18:00:00Z,6.4,28.0,75.0,50.0,-47.0,47.0
2026-08-06T11:36:01Z,2026-08-07T06:00:00Z,18.4,36.0,12.5,0.0,23.5,23.5
2026-08-06T11:36:01Z,2026-08-07T09:00:00Z,21.4,10.0,0.0,0.0,10.0,10.0
2026-08-06T11:44:08Z,2026-08-06T18:00:00Z,6.3,28.0,75.0,50.0,-47.0,47.0
2026-08-06T11:44:08Z,2026-08-07T06:00:00Z,18.3,36.0,12.5,0.0,23.5,23.5
2026-08-06T11:44:08Z,2026-08-07T09:00:00Z,21.3,10.0,0.0,0.0,10.0,10.0
2026-08-07T01:31:32Z,2026-08-07T09:00:00Z,7.5,46.0,0.0,0.0,46.0,46.0
2026-08-07T01:31:32Z,2026-08-07T12:00:00Z,10.5,43.0,0.0,25.0,43.0,43.0
2026-08-07T01:31:32Z,2026-08-07T15:00:00Z,13.5,75.0,25.0,87.5,50.0,50.0
2026-08-07T01:31:32Z,2026-08-07T18:00:00Z,16.5,63.0,75.0,75.0,-12.0,12.0
2026-08-07T05:36:00Z,2026-08-07T12:00:00Z,6.4,37.0,0.0,25.0,37.0,37.0
2026-08-07T05:36:00Z,2026-08-07T15:00:00Z,9.4,75.0,25.0,87.5,50.0,50.0
2026-08-07T05:36:00Z,2026-08-07T18:00:00Z,12.4,63.0,75.0,75.0,-12.0,12.0
2026-08-07T06:18:59Z,2026-08-07T15:00:00Z,8.7,75.0,25.0,87.5,50.0,50.0
2026-08-07T06:18:59Z,2026-08-07T18:00:00Z,11.7,63.0,75.0,75.0,-12.0,12.0
2026-08-07T06:18:59Z,2026-08-08T06:00:00Z,23.7,4.0,0.0,12.5,4.0,4.0
2026-08-07T07:13:52Z,2026-08-07T15:00:00Z,7.8,39.0,25.0,87.5,14.0,14.0
2026-08-07T07:13:52Z,2026-08-07T18:00:00Z,10.8,35.0,75.0,75.0,-40.0,40.0
2026-08-07T07:13:52Z,2026-08-08T06:00:00Z,22.8,29.0,0.0,12.5,29.0,29.0
2026-08-07T10:39:14Z,2026-08-07T18:00:00Z,7.3,25.0,75.0,75.0,-50.0,50.0
2026-08-07T10:39:14Z,2026-08-08T06:00:00Z,19.3,29.0,0.0,12.5,29.0,29.0
2026-08-07T10:39:14Z,2026-08-08T09:00:00Z,22.3,1.0,0.0,0.0,1.0,1.0
2026-08-07T16:51:54Z,2026-08-08T06:00:00Z,13.1,36.0,0.0,12.5,36.0,36.0
2026-08-07T16:51:54Z,2026-08-08T09:00:00Z,16.1,5.0,0.0,0.0,5.0,5.0
2026-08-07T16:51:54Z,2026-08-08T12:00:00Z,19.1,46.0,12.5,0.0,33.5,33.5
2026-08-07T16:51:54Z,2026-08-08T15:00:00Z,22.1,22.0,12.5,25.0,9.5,9.5
2026-08-07T22:45:57Z,2026-08-08T06:00:00Z,7.2,23.0,0.0,12.5,23.0,23.0
2026-08-07T22:45:57Z,2026-08-08T09:00:00Z,10.2,19.0,0.0,0.0,19.0,19.0
2026-08-07T22:45:57Z,2026-08-08T12:00:00Z,13.2,36.0,12.5,0.0,23.5,23.5
2026-08-07T22:45:57Z,2026-08-08T15:00:00Z,16.2,40.0,12.5,25.0,27.5,27.5
2026-08-07T22:45:57Z,2026-08-08T18:00:00Z,19.2,26.0,0.0,75.0,26.0,26.0
2026-08-07T23:19:23Z,2026-08-08T06:00:00Z,6.7,23.0,0.0,12.5,23.0,23.0
2026-08-07T23:19:23Z,2026-08-08T09:00:00Z,9.7,19.0,0.0,0.0,19.0,19.0
2026-08-07T23:19:23Z,2026-08-08T12:00:00Z,12.7,36.0,12.5,0.0,23.5,23.5
2026-08-07T23:19:23Z,2026-08-08T15:00:00Z,15.7,40.0,12.5,25.0,27.5,27.5
2026-08-07T23:19:23Z,2026-08-08T18:00:00Z,18.7,26.0,0.0,75.0,26.0,26.0
2026-08-08T04:50:53Z,2026-08-08T12:00:00Z,7.2,9.0,12.5,0.0,-3.5,3.5
2026-08-08T04:50:53Z,2026-08-08T15:00:00Z,10.2,13.0,12.5,25.0,0.5,0.5
2026-08-08T04:50:53Z,2026-08-08T18:00:00Z,13.2,10.0,0.0,75.0,10.0,10.0
2026-08-08T10:18:13Z,2026-08-08T18:00:00Z,7.7,2.0,0.0,75.0,2.0,2.0
2026-08-08T10:18:13Z,2026-08-09T06:00:00Z,19.7,0.0,0.0,0.0,0.0,0.0
2026-08-08T10:18:13Z,2026-08-09T09:00:00Z,22.7,0.0,0.0,0.0,0.0,0.0
2026-08-08T22:37:20Z,2026-08-09T06:00:00Z,7.4,2.0,0.0,0.0,2.0,2.0
2026-08-08T22:37:20Z,2026-08-09T09:00:00Z,10.4,0.0,0.0,0.0,0.0,0.0
