# Нови-Сад / Осадки / Общий (среднее по: 6-24ч, 2-3 дня) / WeatherAPI.com
# среднее CSI = 0.0000, всего пар = 36
#
bucket,fetched_at,valid_time,lead_hours,forecast,observed,error
6-24ч,2026-08-06T10:47:54Z,2026-08-06T18:00:00Z,7.2,0.0,0.3,-0.3
6-24ч,2026-08-06T11:30:42Z,2026-08-06T18:00:00Z,6.5,0.0,0.3,-0.3
6-24ч,2026-08-06T11:36:01Z,2026-08-06T18:00:00Z,6.4,0.0,0.3,-0.3
6-24ч,2026-08-06T11:44:08Z,2026-08-06T18:00:00Z,6.3,0.0,0.3,-0.3
6-24ч,2026-08-06T10:47:54Z,2026-08-07T06:00:00Z,19.2,0.0,0.0,0.0
6-24ч,2026-08-06T11:30:42Z,2026-08-07T06:00:00Z,18.5,0.0,0.0,0.0
6-24ч,2026-08-06T11:36:01Z,2026-08-07T06:00:00Z,18.4,0.0,0.0,0.0
6-24ч,2026-08-06T11:44:08Z,2026-08-07T06:00:00Z,18.3,0.0,0.0,0.0
6-24ч,2026-08-07T01:31:32Z,2026-08-07T18:00:00Z,16.5,0.0,0.0,0.0
6-24ч,2026-08-07T05:36:00Z,2026-08-07T18:00:00Z,12.4,0.03,0.0,0.03
6-24ч,2026-08-07T06:18:59Z,2026-08-07T18:00:00Z,11.7,0.03,0.0,0.03
6-24ч,2026-08-07T07:13:52Z,2026-08-07T18:00:00Z,10.8,0.03,0.0,0.03
6-24ч,2026-08-07T10:39:14Z,2026-08-07T18:00:00Z,7.3,0.1,0.0,0.1
6-24ч,2026-08-07T06:18:59Z,2026-08-08T06:00:00Z,23.7,0.0,0.0,0.0
6-24ч,2026-08-07T07:13:52Z,2026-08-08T06:00:00Z,22.8,0.0,0.0,0.0
6-24ч,2026-08-07T10:39:14Z,2026-08-08T06:00:00Z,19.3,0.01,0.0,0.01
6-24ч,2026-08-07T16:51:54Z,2026-08-08T06:00:00Z,13.1,0.0,0.0,0.0
6-24ч,2026-08-07T16:51:54Z,2026-08-08T12:00:00Z,19.1,0.0,0.0,0.0
6-24ч,2026-08-07T22:45:57Z,2026-08-08T12:00:00Z,13.2,0.0,0.0,0.0
6-24ч,2026-08-07T23:19:23Z,2026-08-08T12:00:00Z,12.7,0.0,0.0,0.0
6-24ч,2026-08-08T04:50:53Z,2026-08-08T12:00:00Z,7.2,0.0,0.0,0.0
6-24ч,2026-08-07T22:45:57Z,2026-08-08T18:00:00Z,19.2,0.0,0.0,0.0
6-24ч,2026-08-07T23:19:23Z,2026-08-08T18:00:00Z,18.7,0.0,0.0,0.0
6-24ч,2026-08-08T04:50:53Z,2026-08-08T18:00:00Z,13.2,0.0,0.0,0.0
6-24ч,2026-08-08T10:18:13Z,2026-08-08T18:00:00Z,7.7,0.0,0.0,0.0
6-24ч,2026-08-08T10:18:13Z,2026-08-09T06:00:00Z,19.7,0.0,0.0,0.0
2-3 дня,2026-08-06T10:47:54Z,2026-08-08T12:00:00Z,49.2,0.0,0.0,0.0
2-3 дня,2026-08-06T11:30:42Z,2026-08-08T12:00:00Z,48.5,0.0,0.0,0.0
2-3 дня,2026-08-06T11:36:01Z,2026-08-08T12:00:00Z,48.4,0.0,0.0,0.0
2-3 дня,2026-08-06T11:44:08Z,2026-08-08T12:00:00Z,48.3,0.0,0.0,0.0
2-3 дня,2026-08-06T10:47:54Z,2026-08-08T18:00:00Z,55.2,0.0,0.0,0.0
2-3 дня,2026-08-06T11:30:42Z,2026-08-08T18:00:00Z,54.5,0.0,0.0,0.0
2-3 дня,2026-08-06T11:36:01Z,2026-08-08T18:00:00Z,54.4,0.0,0.0,0.0
2-3 дня,2026-08-06T11:44:08Z,2026-08-08T18:00:00Z,54.3,0.0,0.0,0.0
2-3 дня,2026-08-07T01:31:32Z,2026-08-09T06:00:00Z,52.5,0.2,0.0,0.2
2-3 дня,2026-08-07T05:36:00Z,2026-08-09T06:00:00Z,48.4,0.0,0.0,0.0
