# Нови-Сад / Температура / 0-6ч / OpenWeatherMap
# n=112, MAE=1.803, RMSE=2.341, bias=-1.138
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (2.341/2.473)^2 = 0.1037  (RMSE_персистентности по 112 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T11:30:42Z,2026-08-06T12:00:00Z,0.5,38.62,37.5,37.1,1.12,1.12
2026-08-06T11:30:42Z,2026-08-06T15:00:00Z,3.5,38.48,36.8,38.0,1.68,1.68
2026-08-06T11:36:01Z,2026-08-06T12:00:00Z,0.4,38.64,37.5,37.1,1.14,1.14
2026-08-06T11:36:01Z,2026-08-06T15:00:00Z,3.4,38.49,36.8,38.0,1.69,1.69
2026-08-06T11:44:08Z,2026-08-06T12:00:00Z,0.3,38.64,37.5,37.1,1.14,1.14
2026-08-06T11:44:08Z,2026-08-06T15:00:00Z,3.3,38.49,36.8,38.0,1.69,1.69
2026-08-07T01:31:32Z,2026-08-07T03:00:00Z,1.5,22.8,24.6,27.2,-1.8,1.8
2026-08-07T01:31:32Z,2026-08-07T06:00:00Z,4.5,24.03,27.0,29.0,-2.97,2.97
2026-08-07T05:36:00Z,2026-08-07T06:00:00Z,0.4,26.29,27.0,29.0,-0.71,0.71
2026-08-07T05:36:00Z,2026-08-07T09:00:00Z,3.4,28.62,33.0,35.7,-4.38,4.38
2026-08-07T06:18:59Z,2026-08-07T09:00:00Z,2.7,29.01,33.0,35.7,-3.99,3.99
2026-08-07T06:18:59Z,2026-08-07T12:00:00Z,5.7,33.76,36.6,37.5,-2.84,2.84
2026-08-07T07:13:52Z,2026-08-07T09:00:00Z,1.8,29.51,33.0,35.7,-3.49,3.49
2026-08-07T07:13:52Z,2026-08-07T12:00:00Z,4.8,34.2,36.6,37.5,-2.4,2.4
2026-08-07T10:39:14Z,2026-08-07T12:00:00Z,1.3,36.81,36.6,37.5,0.21,0.21
2026-08-07T10:39:14Z,2026-08-07T15:00:00Z,4.3,36.25,36.4,36.8,-0.15,0.15
2026-08-07T16:51:54Z,2026-08-07T18:00:00Z,1.1,30.41,32.0,30.4,-1.59,1.59
2026-08-07T16:51:54Z,2026-08-07T21:00:00Z,4.1,28.96,27.2,27.6,1.76,1.76
2026-08-07T22:45:57Z,2026-08-08T00:00:00Z,1.2,21.78,25.6,25.6,-3.82,3.82
2026-08-07T22:45:57Z,2026-08-08T03:00:00Z,4.2,20.79,21.4,24.6,-0.61,0.61
2026-08-07T23:19:23Z,2026-08-08T00:00:00Z,0.7,21.72,25.6,25.6,-3.88,3.88
2026-08-07T23:19:23Z,2026-08-08T03:00:00Z,3.7,20.75,21.4,24.6,-0.65,0.65
