# Нови-Сад / Температура / 1-2 дня / GEM (Канада)
# n=1019, MAE=1.633, RMSE=2.220, bias=-0.674
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (2.220/2.352)^2 = 0.1090  (RMSE_персистентности по 1019 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-07T10:00:00Z,24.2,31.8,35.0,37.2,-3.2,3.2
2026-08-06T09:50:07Z,2026-08-07T11:00:00Z,25.2,33.2,35.9,37.6,-2.7,2.7
2026-08-06T09:50:07Z,2026-08-07T12:00:00Z,26.2,34.5,36.6,37.5,-2.1,2.1
2026-08-06T09:50:07Z,2026-08-07T13:00:00Z,27.2,35.3,36.9,38.3,-1.6,1.6
2026-08-06T09:50:07Z,2026-08-07T14:00:00Z,28.2,35.5,37.2,38.0,-1.7,1.7
2026-08-06T09:50:07Z,2026-08-07T15:00:00Z,29.2,35.7,36.4,36.8,-0.7,0.7
2026-08-06T09:50:07Z,2026-08-07T16:00:00Z,30.2,35.6,34.4,30.8,1.2,1.2
2026-08-06T09:50:07Z,2026-08-07T17:00:00Z,31.2,33.3,34.2,31.2,-0.9,0.9
2026-08-06T09:50:07Z,2026-08-07T18:00:00Z,32.2,30.0,32.0,30.4,-2.0,2.0
2026-08-06T09:50:07Z,2026-08-07T19:00:00Z,33.2,28.4,29.3,28.6,-0.9,0.9
2026-08-06T09:50:07Z,2026-08-07T20:00:00Z,34.2,27.3,28.2,28.8,-0.9,0.9
2026-08-06T09:50:07Z,2026-08-07T21:00:00Z,35.2,26.4,27.2,27.6,-0.8,0.8
2026-08-06T09:50:07Z,2026-08-07T22:00:00Z,36.2,26.2,27.1,27.1,-0.9,0.9
2026-08-06T09:50:07Z,2026-08-07T23:00:00Z,37.2,25.9,25.7,26.3,0.2,0.2
2026-08-06T09:50:07Z,2026-08-08T00:00:00Z,38.2,25.3,25.6,25.6,-0.3,0.3
2026-08-06T09:50:07Z,2026-08-08T01:00:00Z,39.2,24.8,25.1,25.3,-0.3,0.3
2026-08-06T09:50:07Z,2026-08-08T02:00:00Z,40.2,24.4,23.0,24.8,1.4,1.4
2026-08-06T09:50:07Z,2026-08-08T03:00:00Z,41.2,23.9,21.4,24.6,2.5,2.5
2026-08-06T09:50:07Z,2026-08-08T04:00:00Z,42.2,23.6,21.2,24.9,2.4,2.4
2026-08-06T09:50:07Z,2026-08-08T05:00:00Z,43.2,24.5,21.7,26.1,2.8,2.8
2026-08-06T09:50:07Z,2026-08-08T06:00:00Z,44.2,26.2,22.6,27.0,3.6,3.6
2026-08-06T09:50:07Z,2026-08-08T07:00:00Z,45.2,28.0,24.4,28.0,3.6,3.6
2026-08-06T09:50:07Z,2026-08-08T08:00:00Z,46.2,29.9,25.6,30.5,4.3,4.3
2026-08-06T09:50:07Z,2026-08-08T09:00:00Z,47.2,31.4,28.1,33.0,3.3,3.3
2026-08-06T09:59:18Z,2026-08-07T10:00:00Z,24.0,31.8,35.0,37.2,-3.2,3.2
2026-08-06T09:59:18Z,2026-08-07T11:00:00Z,25.0,33.2,35.9,37.6,-2.7,2.7
2026-08-06T09:59:18Z,2026-08-07T12:00:00Z,26.0,34.5,36.6,37.5,-2.1,2.1
2026-08-06T09:59:18Z,2026-08-07T13:00:00Z,27.0,35.3,36.9,38.3,-1.6,1.6
2026-08-06T09:59:18Z,2026-08-07T14:00:00Z,28.0,35.5,37.2,38.0,-1.7,1.7
2026-08-06T09:59:18Z,2026-08-07T15:00:00Z,29.0,35.7,36.4,36.8,-0.7,0.7
2026-08-06T09:59:18Z,2026-08-07T16:00:00Z,30.0,35.6,34.4,30.8,1.2,1.2
2026-08-06T09:59:18Z,2026-08-07T17:00:00Z,31.0,33.3,34.2,31.2,-0.9,0.9
2026-08-06T09:59:18Z,2026-08-07T18:00:00Z,32.0,30.0,32.0,30.4,-2.0,2.0
2026-08-06T09:59:18Z,2026-08-07T19:00:00Z,33.0,28.4,29.3,28.6,-0.9,0.9
2026-08-06T09:59:18Z,2026-08-07T20:00:00Z,34.0,27.3,28.2,28.8,-0.9,0.9
2026-08-06T09:59:18Z,2026-08-07T21:00:00Z,35.0,26.4,27.2,27.6,-0.8,0.8
2026-08-06T09:59:18Z,2026-08-07T22:00:00Z,36.0,26.2,27.1,27.1,-0.9,0.9
2026-08-06T09:59:18Z,2026-08-07T23:00:00Z,37.0,25.9,25.7,26.3,0.2,0.2
2026-08-06T09:59:18Z,2026-08-08T00:00:00Z,38.0,25.3,25.6,25.6,-0.3,0.3
2026-08-06T09:59:18Z,2026-08-08T01:00:00Z,39.0,24.8,25.1,25.3,-0.3,0.3
2026-08-06T09:59:18Z,2026-08-08T02:00:00Z,40.0,24.4,23.0,24.8,1.4,1.4
2026-08-06T09:59:18Z,2026-08-08T03:00:00Z,41.0,23.9,21.4,24.6,2.5,2.5
2026-08-06T09:59:18Z,2026-08-08T04:00:00Z,42.0,23.6,21.2,24.9,2.4,2.4
