# Нови-Сад / Температура / 1-2 дня / JMA (Япония)
# n=335, MAE=1.207, RMSE=1.410, bias=+0.588
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.410/8.007)^2 = 0.9690  (RMSE_персистентности по 335 пар(ам))
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-07T10:00:00Z,24.2,33.4,35.0,35.7,-1.6,1.6
2026-08-06T09:50:07Z,2026-08-07T11:00:00Z,25.2,35.0,35.9,35.7,-0.9,0.9
2026-08-06T09:50:07Z,2026-08-07T12:00:00Z,26.2,35.9,36.6,35.7,-0.7,0.7
2026-08-06T09:50:07Z,2026-08-07T13:00:00Z,27.2,35.9,36.9,35.7,-1.0,1.0
2026-08-06T09:50:07Z,2026-08-07T14:00:00Z,28.2,35.4,37.2,35.7,-1.8,1.8
2026-08-06T09:50:07Z,2026-08-07T15:00:00Z,29.2,34.4,36.4,35.7,-2.0,2.0
2026-08-06T09:50:07Z,2026-08-07T16:00:00Z,30.2,33.2,34.4,35.7,-1.2,1.2
2026-08-06T09:50:07Z,2026-08-07T17:00:00Z,31.2,32.0,34.2,35.7,-2.2,2.2
2026-08-06T09:50:07Z,2026-08-07T18:00:00Z,32.2,31.0,32.0,35.7,-1.0,1.0
2026-08-06T09:50:07Z,2026-08-07T19:00:00Z,33.2,30.1,29.3,35.7,0.8,0.8
2026-08-06T09:50:07Z,2026-08-07T20:00:00Z,34.2,29.1,28.2,35.7,0.9,0.9
2026-08-06T09:50:07Z,2026-08-07T21:00:00Z,35.2,28.1,27.2,35.7,0.9,0.9
2026-08-06T09:50:07Z,2026-08-07T22:00:00Z,36.2,27.1,27.1,35.7,0.0,0.0
2026-08-06T09:50:07Z,2026-08-07T23:00:00Z,37.2,26.3,25.7,35.7,0.6,0.6
2026-08-06T09:50:07Z,2026-08-08T00:00:00Z,38.2,25.6,25.6,35.7,0.0,0.0
2026-08-06T09:50:07Z,2026-08-08T01:00:00Z,39.2,25.1,25.1,35.7,0.0,0.0
2026-08-06T09:50:07Z,2026-08-08T02:00:00Z,40.2,24.5,23.0,35.7,1.5,1.5
2026-08-06T09:50:07Z,2026-08-08T03:00:00Z,41.2,24.1,21.4,35.7,2.7,2.7
2026-08-06T09:50:07Z,2026-08-08T04:00:00Z,42.2,23.9,21.2,35.7,2.7,2.7
2026-08-06T09:50:07Z,2026-08-08T05:00:00Z,43.2,23.9,21.7,35.7,2.2,2.2
2026-08-06T09:50:07Z,2026-08-08T06:00:00Z,44.2,24.3,22.6,35.7,1.7,1.7
2026-08-06T09:50:07Z,2026-08-08T07:00:00Z,45.2,25.2,24.4,35.7,0.8,0.8
2026-08-06T09:50:07Z,2026-08-08T08:00:00Z,46.2,26.8,25.6,35.7,1.2,1.2
2026-08-06T09:50:07Z,2026-08-08T09:00:00Z,47.2,28.6,28.1,35.7,0.5,0.5
2026-08-06T09:59:18Z,2026-08-07T10:00:00Z,24.0,33.4,35.0,35.7,-1.6,1.6
2026-08-06T09:59:18Z,2026-08-07T11:00:00Z,25.0,35.0,35.9,35.7,-0.9,0.9
2026-08-06T09:59:18Z,2026-08-07T12:00:00Z,26.0,35.9,36.6,35.7,-0.7,0.7
2026-08-06T09:59:18Z,2026-08-07T13:00:00Z,27.0,35.9,36.9,35.7,-1.0,1.0
2026-08-06T09:59:18Z,2026-08-07T14:00:00Z,28.0,35.4,37.2,35.7,-1.8,1.8
2026-08-06T09:59:18Z,2026-08-07T15:00:00Z,29.0,34.4,36.4,35.7,-2.0,2.0
2026-08-06T09:59:18Z,2026-08-07T16:00:00Z,30.0,33.2,34.4,35.7,-1.2,1.2
2026-08-06T09:59:18Z,2026-08-07T17:00:00Z,31.0,32.0,34.2,35.7,-2.2,2.2
2026-08-06T09:59:18Z,2026-08-07T18:00:00Z,32.0,31.0,32.0,35.7,-1.0,1.0
2026-08-06T09:59:18Z,2026-08-07T19:00:00Z,33.0,30.1,29.3,35.7,0.8,0.8
