# Нови-Сад / Температура / 1-2 дня / OpenWeatherMap
# n=90, MAE=1.744, RMSE=2.029, bias=+0.711
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (2.029/2.645)^2 = 0.4120  (RMSE_персистентности по 90 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T11:30:42Z,2026-08-07T12:00:00Z,24.5,37.96,36.6,37.5,1.36,1.36
2026-08-06T11:30:42Z,2026-08-07T15:00:00Z,27.5,37.63,36.4,36.8,1.23,1.23
2026-08-06T11:30:42Z,2026-08-07T18:00:00Z,30.5,31.45,32.0,30.4,-0.55,0.55
2026-08-06T11:30:42Z,2026-08-07T21:00:00Z,33.5,26.48,27.2,27.6,-0.72,0.72
2026-08-06T11:30:42Z,2026-08-08T00:00:00Z,36.5,24.02,25.6,25.6,-1.58,1.58
2026-08-06T11:30:42Z,2026-08-08T03:00:00Z,39.5,21.34,21.4,24.6,-0.06,0.06
2026-08-06T11:30:42Z,2026-08-08T06:00:00Z,42.5,24.65,22.6,27.0,2.05,2.05
2026-08-06T11:30:42Z,2026-08-08T09:00:00Z,45.5,31.68,28.1,33.0,3.58,3.58
2026-08-06T11:36:01Z,2026-08-07T12:00:00Z,24.4,37.96,36.6,37.5,1.36,1.36
2026-08-06T11:36:01Z,2026-08-07T15:00:00Z,27.4,37.63,36.4,36.8,1.23,1.23
2026-08-06T11:36:01Z,2026-08-07T18:00:00Z,30.4,31.45,32.0,30.4,-0.55,0.55
2026-08-06T11:36:01Z,2026-08-07T21:00:00Z,33.4,26.48,27.2,27.6,-0.72,0.72
2026-08-06T11:36:01Z,2026-08-08T00:00:00Z,36.4,24.02,25.6,25.6,-1.58,1.58
2026-08-06T11:36:01Z,2026-08-08T03:00:00Z,39.4,21.34,21.4,24.6,-0.06,0.06
2026-08-06T11:36:01Z,2026-08-08T06:00:00Z,42.4,24.65,22.6,27.0,2.05,2.05
2026-08-06T11:36:01Z,2026-08-08T09:00:00Z,45.4,31.68,28.1,33.0,3.58,3.58
2026-08-06T11:44:08Z,2026-08-07T12:00:00Z,24.3,37.96,36.6,37.5,1.36,1.36
2026-08-06T11:44:08Z,2026-08-07T15:00:00Z,27.3,37.63,36.4,36.8,1.23,1.23
2026-08-06T11:44:08Z,2026-08-07T18:00:00Z,30.3,31.45,32.0,30.4,-0.55,0.55
2026-08-06T11:44:08Z,2026-08-07T21:00:00Z,33.3,26.48,27.2,27.6,-0.72,0.72
2026-08-06T11:44:08Z,2026-08-08T00:00:00Z,36.3,24.02,25.6,25.6,-1.58,1.58
2026-08-06T11:44:08Z,2026-08-08T03:00:00Z,39.3,21.34,21.4,24.6,-0.06,0.06
2026-08-06T11:44:08Z,2026-08-08T06:00:00Z,42.3,24.65,22.6,27.0,2.05,2.05
2026-08-06T11:44:08Z,2026-08-08T09:00:00Z,45.3,31.68,28.1,33.0,3.58,3.58
2026-08-07T01:31:32Z,2026-08-08T03:00:00Z,25.5,20.07,21.4,24.6,-1.33,1.33
2026-08-07T01:31:32Z,2026-08-08T06:00:00Z,28.5,22.77,22.6,27.0,0.17,0.17
2026-08-07T01:31:32Z,2026-08-08T09:00:00Z,31.5,29.98,28.1,33.0,1.88,1.88
2026-08-07T01:31:32Z,2026-08-08T12:00:00Z,34.5,34.16,31.4,36.6,2.76,2.76
2026-08-07T01:31:32Z,2026-08-08T15:00:00Z,37.5,35.27,32.0,36.4,3.27,3.27
2026-08-07T01:31:32Z,2026-08-08T18:00:00Z,40.5,30.0,29.2,32.0,0.8,0.8
2026-08-07T01:31:32Z,2026-08-08T21:00:00Z,43.5,25.68,26.6,27.2,-0.92,0.92
2026-08-07T01:31:32Z,2026-08-09T00:00:00Z,46.5,23.32,24.2,25.6,-0.88,0.88
2026-08-07T05:36:00Z,2026-08-08T06:00:00Z,24.4,22.77,22.6,27.0,0.17,0.17
2026-08-07T05:36:00Z,2026-08-08T09:00:00Z,27.4,29.98,28.1,33.0,1.88,1.88
2026-08-07T05:36:00Z,2026-08-08T12:00:00Z,30.4,34.16,31.4,36.6,2.76,2.76
2026-08-07T05:36:00Z,2026-08-08T15:00:00Z,33.4,35.27,32.0,36.4,3.27,3.27
2026-08-07T05:36:00Z,2026-08-08T18:00:00Z,36.4,30.0,29.2,32.0,0.8,0.8
2026-08-07T05:36:00Z,2026-08-08T21:00:00Z,39.4,25.68,26.6,27.2,-0.92,0.92
2026-08-07T05:36:00Z,2026-08-09T00:00:00Z,42.4,23.32,24.2,25.6,-0.88,0.88
2026-08-07T05:36:00Z,2026-08-09T03:00:00Z,45.4,21.39,21.3,21.4,0.09,0.09
2026-08-07T06:18:59Z,2026-08-08T09:00:00Z,26.7,29.98,28.1,33.0,1.88,1.88
2026-08-07T06:18:59Z,2026-08-08T12:00:00Z,29.7,34.16,31.4,36.6,2.76,2.76
2026-08-07T06:18:59Z,2026-08-08T15:00:00Z,32.7,35.27,32.0,36.4,3.27,3.27
2026-08-07T06:18:59Z,2026-08-08T18:00:00Z,35.7,30.0,29.2,32.0,0.8,0.8
2026-08-07T06:18:59Z,2026-08-08T21:00:00Z,38.7,25.68,26.6,27.2,-0.92,0.92
2026-08-07T06:18:59Z,2026-08-09T00:00:00Z,41.7,23.32,24.2,25.6,-0.88,0.88
2026-08-07T06:18:59Z,2026-08-09T03:00:00Z,44.7,21.39,21.3,21.4,0.09,0.09
2026-08-07T06:18:59Z,2026-08-09T06:00:00Z,47.7,25.42,23.2,22.6,2.22,2.22
2026-08-07T07:13:52Z,2026-08-08T09:00:00Z,25.8,30.0,28.1,33.0,1.9,1.9
2026-08-07T07:13:52Z,2026-08-08T12:00:00Z,28.8,34.45,31.4,36.6,3.05,3.05
2026-08-07T07:13:52Z,2026-08-08T15:00:00Z,31.8,34.07,32.0,36.4,2.07,2.07
2026-08-07T07:13:52Z,2026-08-08T18:00:00Z,34.8,28.25,29.2,32.0,-0.95,0.95
2026-08-07T07:13:52Z,2026-08-08T21:00:00Z,37.8,24.57,26.6,27.2,-2.03,2.03
2026-08-07T07:13:52Z,2026-08-09T00:00:00Z,40.8,22.04,24.2,25.6,-2.16,2.16
2026-08-07T07:13:52Z,2026-08-09T03:00:00Z,43.8,22.41,21.3,21.4,1.11,1.11
2026-08-07T07:13:52Z,2026-08-09T06:00:00Z,46.8,25.58,23.2,22.6,2.38,2.38
2026-08-07T10:39:14Z,2026-08-08T12:00:00Z,25.3,34.45,31.4,36.6,3.05,3.05
2026-08-07T10:39:14Z,2026-08-08T15:00:00Z,28.3,34.07,32.0,36.4,2.07,2.07
2026-08-07T10:39:14Z,2026-08-08T18:00:00Z,31.3,28.25,29.2,32.0,-0.95,0.95
2026-08-07T10:39:14Z,2026-08-08T21:00:00Z,34.3,24.57,26.6,27.2,-2.03,2.03
2026-08-07T10:39:14Z,2026-08-09T00:00:00Z,37.3,22.04,24.2,25.6,-2.16,2.16
2026-08-07T10:39:14Z,2026-08-09T03:00:00Z,40.3,22.41,21.3,21.4,1.11,1.11
2026-08-07T10:39:14Z,2026-08-09T06:00:00Z,43.3,25.58,23.2,22.6,2.38,2.38
2026-08-07T10:39:14Z,2026-08-09T09:00:00Z,46.3,32.64,28.8,28.1,3.84,3.84
