# Нови-Сад / Температура / 2-3 дня / Yr (Норвегия)
# n=221, MAE=0.697, RMSE=0.958, bias=-0.387
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (0.958/2.606)^2 = 0.8649  (RMSE_персистентности по 221 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-08T10:00:00Z,48.2,29.9,29.7,35.0,0.2,0.2
2026-08-06T09:50:07Z,2026-08-08T11:00:00Z,49.2,31.0,30.9,35.9,0.1,0.1
2026-08-06T09:50:07Z,2026-08-08T12:00:00Z,50.2,31.7,31.4,36.6,0.3,0.3
2026-08-06T09:50:07Z,2026-08-08T13:00:00Z,51.2,32.2,32.0,36.9,0.2,0.2
2026-08-06T09:50:07Z,2026-08-08T14:00:00Z,52.2,32.3,31.3,37.2,1.0,1.0
2026-08-06T09:50:07Z,2026-08-08T15:00:00Z,53.2,32.3,32.0,36.4,0.3,0.3
2026-08-06T09:50:07Z,2026-08-08T16:00:00Z,54.2,31.7,31.3,34.4,0.4,0.4
2026-08-06T09:50:07Z,2026-08-08T17:00:00Z,55.2,30.6,30.0,34.2,0.6,0.6
2026-08-06T09:50:07Z,2026-08-08T18:00:00Z,56.2,29.0,29.2,32.0,-0.2,0.2
2026-08-06T09:50:07Z,2026-08-08T19:00:00Z,57.2,28.4,28.4,29.3,0.0,0.0
2026-08-06T09:50:07Z,2026-08-08T20:00:00Z,58.2,27.5,27.6,28.2,-0.1,0.1
2026-08-06T09:50:07Z,2026-08-08T21:00:00Z,59.2,26.3,26.6,27.2,-0.3,0.3
2026-08-06T09:50:07Z,2026-08-08T22:00:00Z,60.2,25.5,25.4,27.1,0.1,0.1
2026-08-06T09:50:07Z,2026-08-08T23:00:00Z,61.2,24.8,24.9,25.7,-0.1,0.1
2026-08-06T09:50:07Z,2026-08-09T00:00:00Z,62.2,23.8,24.2,25.6,-0.4,0.4
2026-08-06T09:50:07Z,2026-08-09T06:00:00Z,68.2,23.7,23.2,22.6,0.5,0.5
2026-08-06T09:59:18Z,2026-08-08T10:00:00Z,48.0,29.9,29.7,35.0,0.2,0.2
2026-08-06T09:59:18Z,2026-08-08T11:00:00Z,49.0,31.0,30.9,35.9,0.1,0.1
2026-08-06T09:59:18Z,2026-08-08T12:00:00Z,50.0,31.7,31.4,36.6,0.3,0.3
2026-08-06T09:59:18Z,2026-08-08T13:00:00Z,51.0,32.2,32.0,36.9,0.2,0.2
2026-08-06T09:59:18Z,2026-08-08T14:00:00Z,52.0,32.3,31.3,37.2,1.0,1.0
2026-08-06T09:59:18Z,2026-08-08T15:00:00Z,53.0,32.3,32.0,36.4,0.3,0.3
2026-08-06T09:59:18Z,2026-08-08T16:00:00Z,54.0,31.7,31.3,34.4,0.4,0.4
2026-08-06T09:59:18Z,2026-08-08T17:00:00Z,55.0,30.6,30.0,34.2,0.6,0.6
2026-08-06T09:59:18Z,2026-08-08T18:00:00Z,56.0,29.0,29.2,32.0,-0.2,0.2
2026-08-06T09:59:18Z,2026-08-08T19:00:00Z,57.0,28.4,28.4,29.3,0.0,0.0
2026-08-06T09:59:18Z,2026-08-08T20:00:00Z,58.0,27.5,27.6,28.2,-0.1,0.1
2026-08-06T09:59:18Z,2026-08-08T21:00:00Z,59.0,26.3,26.6,27.2,-0.3,0.3
2026-08-06T09:59:18Z,2026-08-08T22:00:00Z,60.0,25.5,25.4,27.1,0.1,0.1
2026-08-06T09:59:18Z,2026-08-08T23:00:00Z,61.0,24.8,24.9,25.7,-0.1,0.1
2026-08-06T09:59:18Z,2026-08-09T00:00:00Z,62.0,23.8,24.2,25.6,-0.4,0.4
2026-08-06T09:59:18Z,2026-08-09T06:00:00Z,68.0,23.7,23.2,22.6,0.5,0.5
2026-08-06T10:08:26Z,2026-08-08T11:00:00Z,48.9,31.0,30.9,35.9,0.1,0.1
2026-08-06T10:08:26Z,2026-08-08T12:00:00Z,49.9,31.7,31.4,36.6,0.3,0.3
2026-08-06T10:08:26Z,2026-08-08T13:00:00Z,50.9,32.2,32.0,36.9,0.2,0.2
2026-08-06T10:08:26Z,2026-08-08T14:00:00Z,51.9,32.3,31.3,37.2,1.0,1.0
2026-08-06T10:08:26Z,2026-08-08T15:00:00Z,52.9,32.3,32.0,36.4,0.3,0.3
2026-08-06T10:08:26Z,2026-08-08T16:00:00Z,53.9,31.7,31.3,34.4,0.4,0.4
2026-08-06T10:08:26Z,2026-08-08T17:00:00Z,54.9,30.6,30.0,34.2,0.6,0.6
2026-08-06T10:08:26Z,2026-08-08T18:00:00Z,55.9,29.0,29.2,32.0,-0.2,0.2
2026-08-06T10:08:26Z,2026-08-08T19:00:00Z,56.9,28.4,28.4,29.3,0.0,0.0
2026-08-06T10:08:26Z,2026-08-08T20:00:00Z,57.9,27.5,27.6,28.2,-0.1,0.1
2026-08-06T10:08:26Z,2026-08-08T21:00:00Z,58.9,26.3,26.6,27.2,-0.3,0.3
2026-08-06T10:08:26Z,2026-08-08T22:00:00Z,59.9,25.5,25.4,27.1,0.1,0.1
2026-08-06T10:08:26Z,2026-08-08T23:00:00Z,60.9,24.8,24.9,25.7,-0.1,0.1
