# Нови-Сад / Температура / 2-3 дня / ICON (Германия)
# n=219, MAE=1.514, RMSE=1.693, bias=-0.221
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.693/2.411)^2 = 0.5068  (RMSE_персистентности по 219 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-08T10:00:00Z,48.2,30.4,29.7,35.0,0.7,0.7
2026-08-06T09:50:07Z,2026-08-08T11:00:00Z,49.2,32.1,30.9,35.9,1.2,1.2
2026-08-06T09:50:07Z,2026-08-08T12:00:00Z,50.2,33.1,31.4,36.6,1.7,1.7
2026-08-06T09:50:07Z,2026-08-08T13:00:00Z,51.2,33.7,32.0,36.9,1.7,1.7
2026-08-06T09:50:07Z,2026-08-08T14:00:00Z,52.2,33.7,31.3,37.2,2.4,2.4
2026-08-06T09:50:07Z,2026-08-08T15:00:00Z,53.2,33.2,32.0,36.4,1.2,1.2
2026-08-06T09:50:07Z,2026-08-08T16:00:00Z,54.2,32.9,31.3,34.4,1.6,1.6
2026-08-06T09:50:07Z,2026-08-08T17:00:00Z,55.2,31.7,30.0,34.2,1.7,1.7
2026-08-06T09:50:07Z,2026-08-08T18:00:00Z,56.2,28.5,29.2,32.0,-0.7,0.7
2026-08-06T09:50:07Z,2026-08-08T19:00:00Z,57.2,26.7,28.4,29.3,-1.7,1.7
2026-08-06T09:50:07Z,2026-08-08T20:00:00Z,58.2,25.7,27.6,28.2,-1.9,1.9
2026-08-06T09:50:07Z,2026-08-08T21:00:00Z,59.2,24.4,26.6,27.2,-2.2,2.2
2026-08-06T09:50:07Z,2026-08-08T22:00:00Z,60.2,23.4,25.4,27.1,-2.0,2.0
2026-08-06T09:50:07Z,2026-08-08T23:00:00Z,61.2,22.5,24.9,25.7,-2.4,2.4
2026-08-06T09:50:07Z,2026-08-09T00:00:00Z,62.2,21.7,24.2,25.6,-2.5,2.5
2026-08-06T09:50:07Z,2026-08-09T01:00:00Z,63.2,21.2,23.8,25.1,-2.6,2.6
2026-08-06T09:50:07Z,2026-08-09T02:00:00Z,64.2,20.3,22.8,23.0,-2.5,2.5
2026-08-06T09:50:07Z,2026-08-09T03:00:00Z,65.2,19.1,21.3,21.4,-2.2,2.2
2026-08-06T09:50:07Z,2026-08-09T04:00:00Z,66.2,18.8,20.7,21.2,-1.9,1.9
2026-08-06T09:50:07Z,2026-08-09T05:00:00Z,67.2,20.2,21.8,21.7,-1.6,1.6
2026-08-06T09:50:07Z,2026-08-09T06:00:00Z,68.2,22.8,23.2,22.6,-0.4,0.4
2026-08-06T09:50:07Z,2026-08-09T07:00:00Z,69.2,25.2,24.7,24.4,0.5,0.5
2026-08-06T09:50:07Z,2026-08-09T08:00:00Z,70.2,27.8,27.1,25.6,0.7,0.7
2026-08-06T09:50:07Z,2026-08-09T09:00:00Z,71.2,30.6,28.8,28.1,1.8,1.8
2026-08-06T09:59:18Z,2026-08-08T10:00:00Z,48.0,30.4,29.7,35.0,0.7,0.7
2026-08-06T09:59:18Z,2026-08-08T11:00:00Z,49.0,32.1,30.9,35.9,1.2,1.2
2026-08-06T09:59:18Z,2026-08-08T12:00:00Z,50.0,33.1,31.4,36.6,1.7,1.7
2026-08-06T09:59:18Z,2026-08-08T13:00:00Z,51.0,33.7,32.0,36.9,1.7,1.7
2026-08-06T09:59:18Z,2026-08-08T14:00:00Z,52.0,33.7,31.3,37.2,2.4,2.4
2026-08-06T09:59:18Z,2026-08-08T15:00:00Z,53.0,33.2,32.0,36.4,1.2,1.2
2026-08-06T09:59:18Z,2026-08-08T16:00:00Z,54.0,32.9,31.3,34.4,1.6,1.6
2026-08-06T09:59:18Z,2026-08-08T17:00:00Z,55.0,31.7,30.0,34.2,1.7,1.7
2026-08-06T09:59:18Z,2026-08-08T18:00:00Z,56.0,28.5,29.2,32.0,-0.7,0.7
2026-08-06T09:59:18Z,2026-08-08T19:00:00Z,57.0,26.7,28.4,29.3,-1.7,1.7
2026-08-06T09:59:18Z,2026-08-08T20:00:00Z,58.0,25.7,27.6,28.2,-1.9,1.9
2026-08-06T09:59:18Z,2026-08-08T21:00:00Z,59.0,24.4,26.6,27.2,-2.2,2.2
2026-08-06T09:59:18Z,2026-08-08T22:00:00Z,60.0,23.4,25.4,27.1,-2.0,2.0
2026-08-06T09:59:18Z,2026-08-08T23:00:00Z,61.0,22.5,24.9,25.7,-2.4,2.4
2026-08-06T09:59:18Z,2026-08-09T00:00:00Z,62.0,21.7,24.2,25.6,-2.5,2.5
2026-08-06T09:59:18Z,2026-08-09T01:00:00Z,63.0,21.2,23.8,25.1,-2.6,2.6
2026-08-06T09:59:18Z,2026-08-09T02:00:00Z,64.0,20.3,22.8,23.0,-2.5,2.5
2026-08-06T09:59:18Z,2026-08-09T03:00:00Z,65.0,19.1,21.3,21.4,-2.2,2.2
2026-08-06T09:59:18Z,2026-08-09T04:00:00Z,66.0,18.8,20.7,21.2,-1.9,1.9
2026-08-06T09:59:18Z,2026-08-09T05:00:00Z,67.0,20.2,21.8,21.7,-1.6,1.6
2026-08-06T09:59:18Z,2026-08-09T06:00:00Z,68.0,22.8,23.2,22.6,-0.4,0.4
2026-08-06T09:59:18Z,2026-08-09T07:00:00Z,69.0,25.2,24.7,24.4,0.5,0.5
2026-08-06T09:59:18Z,2026-08-09T08:00:00Z,70.0,27.8,27.1,25.6,0.7,0.7
2026-08-06T09:59:18Z,2026-08-09T09:00:00Z,71.0,30.6,28.8,28.1,1.8,1.8
2026-08-06T10:08:26Z,2026-08-08T11:00:00Z,48.9,32.1,30.9,35.9,1.2,1.2
2026-08-06T10:08:26Z,2026-08-08T12:00:00Z,49.9,33.1,31.4,36.6,1.7,1.7
2026-08-06T10:08:26Z,2026-08-08T13:00:00Z,50.9,33.7,32.0,36.9,1.7,1.7
2026-08-06T10:08:26Z,2026-08-08T14:00:00Z,51.9,33.7,31.3,37.2,2.4,2.4
2026-08-06T10:08:26Z,2026-08-08T15:00:00Z,52.9,33.2,32.0,36.4,1.2,1.2
2026-08-06T10:08:26Z,2026-08-08T16:00:00Z,53.9,32.9,31.3,34.4,1.6,1.6
2026-08-06T10:08:26Z,2026-08-08T17:00:00Z,54.9,31.7,30.0,34.2,1.7,1.7
2026-08-06T10:08:26Z,2026-08-08T18:00:00Z,55.9,28.5,29.2,32.0,-0.7,0.7
2026-08-06T10:08:26Z,2026-08-08T19:00:00Z,56.9,26.7,28.4,29.3,-1.7,1.7
2026-08-06T10:08:26Z,2026-08-08T20:00:00Z,57.9,25.7,27.6,28.2,-1.9,1.9
2026-08-06T10:08:26Z,2026-08-08T21:00:00Z,58.9,24.4,26.6,27.2,-2.2,2.2
2026-08-06T10:08:26Z,2026-08-08T22:00:00Z,59.9,23.4,25.4,27.1,-2.0,2.0
2026-08-06T10:08:26Z,2026-08-08T23:00:00Z,60.9,22.5,24.9,25.7,-2.4,2.4
2026-08-06T10:08:26Z,2026-08-09T00:00:00Z,61.9,21.7,24.2,25.6,-2.5,2.5
2026-08-06T10:08:26Z,2026-08-09T01:00:00Z,62.9,21.2,23.8,25.1,-2.6,2.6
2026-08-06T10:08:26Z,2026-08-09T02:00:00Z,63.9,20.3,22.8,23.0,-2.5,2.5
2026-08-06T10:08:26Z,2026-08-09T03:00:00Z,64.9,19.1,21.3,21.4,-2.2,2.2
2026-08-06T10:08:26Z,2026-08-09T04:00:00Z,65.9,18.8,20.7,21.2,-1.9,1.9
