# Нови-Сад / Температура / 3-5 дней / ECMWF IFS
# n=136, MAE=0.933, RMSE=1.017, bias=-0.573
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.017/1.118)^2 = 0.1715  (RMSE_персистентности по 136 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-09T10:00:00Z,72.2,30.1,30.1,29.7,0.0,0.0
2026-08-06T09:50:07Z,2026-08-09T11:00:00Z,73.2,31.0,30.8,30.9,0.2,0.2
2026-08-06T09:50:07Z,2026-08-09T12:00:00Z,74.2,31.6,32.4,31.4,-0.8,0.8
2026-08-06T09:50:07Z,2026-08-09T13:00:00Z,75.2,32.0,32.7,32.0,-0.7,0.7
2026-08-06T09:50:07Z,2026-08-09T14:00:00Z,76.2,32.1,33.2,31.3,-1.1,1.1
2026-08-06T09:50:07Z,2026-08-09T15:00:00Z,77.2,31.8,33.1,32.0,-1.3,1.3
2026-08-06T09:50:07Z,2026-08-09T16:00:00Z,78.2,30.8,32.2,31.3,-1.4,1.4
2026-08-06T09:50:07Z,2026-08-09T17:00:00Z,79.2,29.3,30.8,30.0,-1.5,1.5
2026-08-06T09:50:07Z,2026-08-09T18:00:00Z,80.2,28.0,29.7,29.2,-1.7,1.7
2026-08-06T09:50:07Z,2026-08-09T19:00:00Z,81.2,27.2,28.3,28.4,-1.1,1.1
2026-08-06T09:50:07Z,2026-08-09T20:00:00Z,82.2,26.5,27.3,27.6,-0.8,0.8
2026-08-06T09:50:07Z,2026-08-09T21:00:00Z,83.2,25.8,26.6,26.6,-0.8,0.8
2026-08-06T09:50:07Z,2026-08-09T22:00:00Z,84.2,25.2,24.9,25.4,0.3,0.3
2026-08-06T09:50:07Z,2026-08-09T23:00:00Z,85.2,24.7,24.0,24.9,0.7,0.7
2026-08-06T09:50:07Z,2026-08-10T00:00:00Z,86.2,24.1,23.3,24.2,0.8,0.8
2026-08-06T09:50:07Z,2026-08-10T01:00:00Z,87.2,23.2,22.9,23.8,0.3,0.3
2026-08-06T09:50:07Z,2026-08-10T02:00:00Z,88.2,22.2,23.1,22.8,-0.9,0.9
2026-08-06T09:50:07Z,2026-08-10T03:00:00Z,89.2,21.8,22.6,21.3,-0.8,0.8
2026-08-06T09:50:07Z,2026-08-10T04:00:00Z,90.2,22.4,21.3,20.7,1.1,1.1
2026-08-06T09:50:07Z,2026-08-10T05:00:00Z,91.2,23.5,24.9,21.8,-1.4,1.4
2026-08-06T09:59:18Z,2026-08-09T10:00:00Z,72.0,30.1,30.1,29.7,0.0,0.0
2026-08-06T09:59:18Z,2026-08-09T11:00:00Z,73.0,31.0,30.8,30.9,0.2,0.2
2026-08-06T09:59:18Z,2026-08-09T12:00:00Z,74.0,31.6,32.4,31.4,-0.8,0.8
2026-08-06T09:59:18Z,2026-08-09T13:00:00Z,75.0,32.0,32.7,32.0,-0.7,0.7
2026-08-06T09:59:18Z,2026-08-09T14:00:00Z,76.0,32.1,33.2,31.3,-1.1,1.1
2026-08-06T09:59:18Z,2026-08-09T15:00:00Z,77.0,31.8,33.1,32.0,-1.3,1.3
