# Нови-Сад / Температура / Общий (среднее по: 0-6ч, 6-24ч, 1-2 дня, 2-3 дня) / Apple Погода
# среднее skill = 0.9109, всего пар = 612
#
bucket,fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
0-6ч,2026-08-06T11:30:42Z,2026-08-06T12:00:00Z,0.5,36.98,37.5,37.6,-0.52,0.52
0-6ч,2026-08-06T11:30:42Z,2026-08-06T13:00:00Z,1.5,36.82,38.3,37.6,-1.48,1.48
0-6ч,2026-08-06T11:30:42Z,2026-08-06T14:00:00Z,2.5,36.08,38.0,37.6,-1.92,1.92
0-6ч,2026-08-06T11:30:42Z,2026-08-06T15:00:00Z,3.5,35.69,36.8,37.6,-1.11,1.11
0-6ч,2026-08-06T11:30:42Z,2026-08-06T16:00:00Z,4.5,34.51,30.8,37.6,3.71,3.71
0-6ч,2026-08-06T11:30:42Z,2026-08-06T17:00:00Z,5.5,32.88,31.2,37.6,1.68,1.68
0-6ч,2026-08-06T11:36:01Z,2026-08-06T12:00:00Z,0.4,36.95,37.5,37.6,-0.55,0.55
0-6ч,2026-08-06T11:36:01Z,2026-08-06T13:00:00Z,1.4,36.42,38.3,37.6,-1.88,1.88
0-6ч,2026-08-06T11:36:01Z,2026-08-06T14:00:00Z,2.4,36.05,38.0,37.6,-1.95,1.95
0-6ч,2026-08-06T11:36:01Z,2026-08-06T15:00:00Z,3.4,35.57,36.8,37.6,-1.23,1.23
0-6ч,2026-08-06T11:36:01Z,2026-08-06T16:00:00Z,4.4,34.5,30.8,37.6,3.7,3.7
0-6ч,2026-08-06T11:36:01Z,2026-08-06T17:00:00Z,5.4,33.03,31.2,37.6,1.83,1.83
0-6ч,2026-08-06T11:44:08Z,2026-08-06T12:00:00Z,0.3,36.98,37.5,37.6,-0.52,0.52
0-6ч,2026-08-06T11:44:08Z,2026-08-06T13:00:00Z,1.3,36.87,38.3,37.6,-1.43,1.43
0-6ч,2026-08-06T11:44:08Z,2026-08-06T14:00:00Z,2.3,36.11,38.0,37.6,-1.89,1.89
0-6ч,2026-08-06T11:44:08Z,2026-08-06T15:00:00Z,3.3,35.72,36.8,37.6,-1.08,1.08
0-6ч,2026-08-06T11:44:08Z,2026-08-06T16:00:00Z,4.3,34.52,30.8,37.6,3.72,3.72
0-6ч,2026-08-06T11:44:08Z,2026-08-06T17:00:00Z,5.3,32.81,31.2,37.6,1.61,1.61
0-6ч,2026-08-07T01:31:32Z,2026-08-07T02:00:00Z,0.5,21.94,24.8,25.3,-2.86,2.86
0-6ч,2026-08-07T01:31:32Z,2026-08-07T03:00:00Z,1.5,21.5,24.6,25.3,-3.1,3.1
0-6ч,2026-08-07T01:31:32Z,2026-08-07T04:00:00Z,2.5,21.84,24.9,25.3,-3.06,3.06
0-6ч,2026-08-07T01:31:32Z,2026-08-07T05:00:00Z,3.5,23.53,26.1,25.3,-2.57,2.57
0-6ч,2026-08-07T01:31:32Z,2026-08-07T06:00:00Z,4.5,26.17,27.0,25.3,-0.83,0.83
0-6ч,2026-08-07T01:31:32Z,2026-08-07T07:00:00Z,5.5,28.23,28.0,25.3,0.23,0.23
0-6ч,2026-08-07T05:36:00Z,2026-08-07T06:00:00Z,0.4,26.22,27.0,26.1,-0.78,0.78
0-6ч,2026-08-07T05:36:00Z,2026-08-07T07:00:00Z,1.4,28.82,28.0,26.1,0.82,0.82
0-6ч,2026-08-07T05:36:00Z,2026-08-07T08:00:00Z,2.4,30.75,30.5,26.1,0.25,0.25
0-6ч,2026-08-07T05:36:00Z,2026-08-07T09:00:00Z,3.4,32.59,33.0,26.1,-0.41,0.41
0-6ч,2026-08-07T05:36:00Z,2026-08-07T10:00:00Z,4.4,34.13,35.0,26.1,-0.87,0.87
0-6ч,2026-08-07T05:36:00Z,2026-08-07T11:00:00Z,5.4,35.21,35.9,26.1,-0.69,0.69
0-6ч,2026-08-07T06:18:59Z,2026-08-07T07:00:00Z,0.7,28.88,28.0,27.0,0.88,0.88
0-6ч,2026-08-07T06:18:59Z,2026-08-07T08:00:00Z,1.7,30.64,30.5,27.0,0.14,0.14
0-6ч,2026-08-07T06:18:59Z,2026-08-07T09:00:00Z,2.7,32.48,33.0,27.0,-0.52,0.52
0-6ч,2026-08-07T06:18:59Z,2026-08-07T10:00:00Z,3.7,34.04,35.0,27.0,-0.96,0.96
0-6ч,2026-08-07T06:18:59Z,2026-08-07T11:00:00Z,4.7,35.14,35.9,27.0,-0.76,0.76
