# Нови-Сад / Ветер / 0-6ч / ECMWF IFS
# n=132, MAE=0.712, RMSE=0.905, bias=-0.205
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (0.905/0.896)^2 = -0.0190  (RMSE_персистентности по 132 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-06T10:00:00Z,0.2,2.52,3.0,2.0,-0.48,0.48
2026-08-06T09:50:07Z,2026-08-06T11:00:00Z,1.2,2.66,3.0,2.0,-0.34,0.34
2026-08-06T09:50:07Z,2026-08-06T12:00:00Z,2.2,2.8,2.0,2.0,0.8,0.8
2026-08-06T09:50:07Z,2026-08-06T13:00:00Z,3.2,2.75,3.0,2.0,-0.25,0.25
2026-08-06T09:50:07Z,2026-08-06T14:00:00Z,4.2,2.59,2.0,2.0,0.59,0.59
2026-08-06T09:50:07Z,2026-08-06T15:00:00Z,5.2,2.37,4.0,2.0,-1.63,1.63
2026-08-06T09:59:18Z,2026-08-06T10:00:00Z,0.0,2.52,3.0,2.0,-0.48,0.48
2026-08-06T09:59:18Z,2026-08-06T11:00:00Z,1.0,2.66,3.0,2.0,-0.34,0.34
2026-08-06T09:59:18Z,2026-08-06T12:00:00Z,2.0,2.8,2.0,2.0,0.8,0.8
2026-08-06T09:59:18Z,2026-08-06T13:00:00Z,3.0,2.75,3.0,2.0,-0.25,0.25
2026-08-06T09:59:18Z,2026-08-06T14:00:00Z,4.0,2.59,2.0,2.0,0.59,0.59
2026-08-06T09:59:18Z,2026-08-06T15:00:00Z,5.0,2.37,4.0,2.0,-1.63,1.63
2026-08-06T10:08:26Z,2026-08-06T11:00:00Z,0.9,2.66,3.0,3.0,-0.34,0.34
2026-08-06T10:08:26Z,2026-08-06T12:00:00Z,1.9,2.8,2.0,3.0,0.8,0.8
2026-08-06T10:08:26Z,2026-08-06T13:00:00Z,2.9,2.75,3.0,3.0,-0.25,0.25
2026-08-06T10:08:26Z,2026-08-06T14:00:00Z,3.9,2.59,2.0,3.0,0.59,0.59
2026-08-06T10:08:26Z,2026-08-06T15:00:00Z,4.9,2.37,4.0,3.0,-1.63,1.63
