# Нови-Сад / Ветер / 0-6ч / Tomorrow.io
# n=96, MAE=0.833, RMSE=1.056, bias=-0.123
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.056/0.878)^2 = -0.4476  (RMSE_персистентности по 96 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T11:44:08Z,2026-08-06T12:00:00Z,0.3,2.5,2.0,3.0,0.5,0.5
2026-08-06T11:44:08Z,2026-08-06T13:00:00Z,1.3,2.9,3.0,3.0,-0.1,0.1
2026-08-06T11:44:08Z,2026-08-06T14:00:00Z,2.3,2.8,2.0,3.0,0.8,0.8
2026-08-06T11:44:08Z,2026-08-06T15:00:00Z,3.3,2.8,4.0,3.0,-1.2,1.2
2026-08-06T11:44:08Z,2026-08-06T16:00:00Z,4.3,1.9,2.0,3.0,-0.1,0.1
2026-08-06T11:44:08Z,2026-08-06T17:00:00Z,5.3,1.1,2.0,3.0,-0.9,0.9
2026-08-07T01:31:32Z,2026-08-07T02:00:00Z,0.5,0.3,1.0,1.0,-0.7,0.7
2026-08-07T01:31:32Z,2026-08-07T03:00:00Z,1.5,0.3,0.0,1.0,0.3,0.3
2026-08-07T01:31:32Z,2026-08-07T04:00:00Z,2.5,0.3,1.0,1.0,-0.7,0.7
2026-08-07T01:31:32Z,2026-08-07T05:00:00Z,3.5,0.9,1.0,1.0,-0.1,0.1
2026-08-07T01:31:32Z,2026-08-07T06:00:00Z,4.5,0.6,1.0,1.0,-0.4,0.4
2026-08-07T01:31:32Z,2026-08-07T07:00:00Z,5.5,1.1,1.0,1.0,0.1,0.1
2026-08-07T05:36:00Z,2026-08-07T06:00:00Z,0.4,0.6,1.0,1.0,-0.4,0.4
2026-08-07T05:36:00Z,2026-08-07T07:00:00Z,1.4,1.1,1.0,1.0,0.1,0.1
2026-08-07T05:36:00Z,2026-08-07T08:00:00Z,2.4,1.3,1.0,1.0,0.3,0.3
2026-08-07T05:36:00Z,2026-08-07T09:00:00Z,3.4,1.0,1.0,1.0,0.0,0.0
2026-08-07T05:36:00Z,2026-08-07T10:00:00Z,4.4,0.9,1.0,1.0,-0.1,0.1
2026-08-07T05:36:00Z,2026-08-07T11:00:00Z,5.4,1.2,2.0,1.0,-0.8,0.8
2026-08-07T06:18:59Z,2026-08-07T07:00:00Z,0.7,1.6,1.0,1.0,0.6,0.6
2026-08-07T06:18:59Z,2026-08-07T08:00:00Z,1.7,2.1,1.0,1.0,1.1,1.1
2026-08-07T06:18:59Z,2026-08-07T09:00:00Z,2.7,2.7,1.0,1.0,1.7,1.7
2026-08-07T06:18:59Z,2026-08-07T10:00:00Z,3.7,3.0,1.0,1.0,2.0,2.0
2026-08-07T06:18:59Z,2026-08-07T11:00:00Z,4.7,2.8,2.0,1.0,0.8,0.8
2026-08-07T06:18:59Z,2026-08-07T12:00:00Z,5.7,2.1,2.0,1.0,0.1,0.1
2026-08-07T07:13:52Z,2026-08-07T08:00:00Z,0.8,2.1,1.0,1.0,1.1,1.1
2026-08-07T07:13:52Z,2026-08-07T09:00:00Z,1.8,2.7,1.0,1.0,1.7,1.7
2026-08-07T07:13:52Z,2026-08-07T10:00:00Z,2.8,3.0,1.0,1.0,2.0,2.0
2026-08-07T07:13:52Z,2026-08-07T11:00:00Z,3.8,2.8,2.0,1.0,0.8,0.8
2026-08-07T07:13:52Z,2026-08-07T12:00:00Z,4.8,2.1,2.0,1.0,0.1,0.1
2026-08-07T07:13:52Z,2026-08-07T13:00:00Z,5.8,2.5,2.0,1.0,0.5,0.5
2026-08-07T10:39:14Z,2026-08-07T11:00:00Z,0.3,2.8,2.0,1.0,0.8,0.8
2026-08-07T10:39:14Z,2026-08-07T12:00:00Z,1.3,2.1,2.0,1.0,0.1,0.1
2026-08-07T10:39:14Z,2026-08-07T13:00:00Z,2.3,2.5,2.0,1.0,0.5,0.5
2026-08-07T10:39:14Z,2026-08-07T14:00:00Z,3.3,5.6,2.0,1.0,3.6,3.6
2026-08-07T10:39:14Z,2026-08-07T15:00:00Z,4.3,1.3,2.0,1.0,-0.7,0.7
2026-08-07T10:39:14Z,2026-08-07T16:00:00Z,5.3,1.5,2.0,1.0,-0.5,0.5
2026-08-07T16:51:54Z,2026-08-07T17:00:00Z,0.1,2.7,4.0,2.0,-1.3,1.3
2026-08-07T16:51:54Z,2026-08-07T18:00:00Z,1.1,1.4,4.0,2.0,-2.6,2.6
2026-08-07T16:51:54Z,2026-08-07T19:00:00Z,2.1,2.0,3.0,2.0,-1.0,1.0
2026-08-07T16:51:54Z,2026-08-07T20:00:00Z,3.1,0.4,1.0,2.0,-0.6,0.6
2026-08-07T16:51:54Z,2026-08-07T21:00:00Z,4.1,1.0,2.0,2.0,-1.0,1.0
2026-08-07T16:51:54Z,2026-08-07T22:00:00Z,5.1,1.2,2.0,2.0,-0.8,0.8
2026-08-07T22:45:57Z,2026-08-07T23:00:00Z,0.2,1.5,1.0,2.0,0.5,0.5
2026-08-07T22:45:57Z,2026-08-08T00:00:00Z,1.2,1.1,1.0,2.0,0.1,0.1
2026-08-07T22:45:57Z,2026-08-08T01:00:00Z,2.2,1.3,2.0,2.0,-0.7,0.7
2026-08-07T22:45:57Z,2026-08-08T02:00:00Z,3.2,1.4,2.0,2.0,-0.6,0.6
2026-08-07T22:45:57Z,2026-08-08T03:00:00Z,4.2,1.3,3.0,2.0,-1.7,1.7
2026-08-07T22:45:57Z,2026-08-08T04:00:00Z,5.2,1.1,3.0,2.0,-1.9,1.9
2026-08-07T23:19:23Z,2026-08-08T00:00:00Z,0.7,1.1,1.0,1.0,0.1,0.1
2026-08-07T23:19:23Z,2026-08-08T01:00:00Z,1.7,1.3,2.0,1.0,-0.7,0.7
2026-08-07T23:19:23Z,2026-08-08T02:00:00Z,2.7,1.4,2.0,1.0,-0.6,0.6
2026-08-07T23:19:23Z,2026-08-08T03:00:00Z,3.7,1.3,3.0,1.0,-1.7,1.7
2026-08-07T23:19:23Z,2026-08-08T04:00:00Z,4.7,1.1,3.0,1.0,-1.9,1.9
2026-08-07T23:19:23Z,2026-08-08T05:00:00Z,5.7,1.7,1.0,1.0,0.7,0.7
2026-08-08T04:50:53Z,2026-08-08T05:00:00Z,0.2,2.4,1.0,3.0,1.4,1.4
2026-08-08T04:50:53Z,2026-08-08T06:00:00Z,1.2,2.2,2.0,3.0,0.2,0.2
2026-08-08T04:50:53Z,2026-08-08T07:00:00Z,2.2,2.1,2.0,3.0,0.1,0.1
2026-08-08T04:50:53Z,2026-08-08T08:00:00Z,3.2,2.4,2.0,3.0,0.4,0.4
2026-08-08T04:50:53Z,2026-08-08T09:00:00Z,4.2,2.9,1.0,3.0,1.9,1.9
2026-08-08T04:50:53Z,2026-08-08T10:00:00Z,5.2,3.2,2.0,3.0,1.2,1.2
2026-08-08T10:18:13Z,2026-08-08T11:00:00Z,0.7,3.4,2.0,2.0,1.4,1.4
2026-08-08T10:18:13Z,2026-08-08T12:00:00Z,1.7,3.2,2.0,2.0,1.2,1.2
2026-08-08T10:18:13Z,2026-08-08T13:00:00Z,2.7,3.0,2.0,2.0,1.0,1.0
2026-08-08T10:18:13Z,2026-08-08T14:00:00Z,3.7,3.0,2.0,2.0,1.0,1.0
2026-08-08T10:18:13Z,2026-08-08T15:00:00Z,4.7,3.2,2.0,2.0,1.2,1.2
2026-08-08T10:18:13Z,2026-08-08T16:00:00Z,5.7,3.0,2.0,2.0,1.0,1.0
