# Нови-Сад / Ветер / 0-6ч / Apple Погода
# n=683, MAE=0.917, RMSE=1.183, bias=+0.376
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.183/1.050)^2 = -0.2688  (RMSE_персистентности по 683 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T11:30:42Z,2026-08-06T12:00:00Z,0.5,2.958,2.0,3.0,0.958,0.958
2026-08-06T11:30:42Z,2026-08-06T13:00:00Z,1.5,3.242,3.0,3.0,0.242,0.242
2026-08-06T11:30:42Z,2026-08-06T14:00:00Z,2.5,3.333,2.0,3.0,1.333,1.333
2026-08-06T11:30:42Z,2026-08-06T15:00:00Z,3.5,2.761,4.0,3.0,-1.239,1.239
2026-08-06T11:30:42Z,2026-08-06T16:00:00Z,4.5,2.606,2.0,3.0,0.606,0.606
2026-08-06T11:30:42Z,2026-08-06T17:00:00Z,5.5,2.692,2.0,3.0,0.692,0.692
2026-08-06T11:36:01Z,2026-08-06T12:00:00Z,0.4,2.939,2.0,3.0,0.939,0.939
2026-08-06T11:36:01Z,2026-08-06T13:00:00Z,1.4,3.136,3.0,3.0,0.136,0.136
2026-08-06T11:36:01Z,2026-08-06T14:00:00Z,2.4,3.433,2.0,3.0,1.433,1.433
2026-08-06T11:36:01Z,2026-08-06T15:00:00Z,3.4,3.069,4.0,3.0,-0.931,0.931
2026-08-06T11:36:01Z,2026-08-06T16:00:00Z,4.4,2.792,2.0,3.0,0.792,0.792
2026-08-06T11:36:01Z,2026-08-06T17:00:00Z,5.4,2.586,2.0,3.0,0.586,0.586
2026-08-06T11:44:08Z,2026-08-06T12:00:00Z,0.3,2.969,2.0,3.0,0.969,0.969
2026-08-06T11:44:08Z,2026-08-06T13:00:00Z,1.3,3.267,3.0,3.0,0.267,0.267
2026-08-06T11:44:08Z,2026-08-06T14:00:00Z,2.3,3.436,2.0,3.0,1.436,1.436
2026-08-06T11:44:08Z,2026-08-06T15:00:00Z,3.3,2.792,4.0,3.0,-1.208,1.208
2026-08-06T11:44:08Z,2026-08-06T16:00:00Z,4.3,2.494,2.0,3.0,0.494,0.494
2026-08-06T11:44:08Z,2026-08-06T17:00:00Z,5.3,2.733,2.0,3.0,0.733,0.733
2026-08-07T01:31:32Z,2026-08-07T02:00:00Z,0.5,0.308,1.0,1.0,-0.692,0.692
2026-08-07T01:31:32Z,2026-08-07T03:00:00Z,1.5,0.428,0.0,1.0,0.428,0.428
2026-08-07T01:31:32Z,2026-08-07T04:00:00Z,2.5,0.461,1.0,1.0,-0.539,0.539
2026-08-07T01:31:32Z,2026-08-07T05:00:00Z,3.5,1.042,1.0,1.0,0.042,0.042
2026-08-07T01:31:32Z,2026-08-07T06:00:00Z,4.5,1.144,1.0,1.0,0.144,0.144
2026-08-07T01:31:32Z,2026-08-07T07:00:00Z,5.5,1.481,1.0,1.0,0.481,0.481
2026-08-07T05:36:00Z,2026-08-07T06:00:00Z,0.4,0.944,1.0,1.0,-0.056,0.056
2026-08-07T05:36:00Z,2026-08-07T07:00:00Z,1.4,1.106,1.0,1.0,0.106,0.106
2026-08-07T05:36:00Z,2026-08-07T08:00:00Z,2.4,1.872,1.0,1.0,0.872,0.872
2026-08-07T05:36:00Z,2026-08-07T09:00:00Z,3.4,2.031,1.0,1.0,1.031,1.031
2026-08-07T05:36:00Z,2026-08-07T10:00:00Z,4.4,2.153,1.0,1.0,1.153,1.153
2026-08-07T05:36:00Z,2026-08-07T11:00:00Z,5.4,2.417,2.0,1.0,0.417,0.417
2026-08-07T06:18:59Z,2026-08-07T07:00:00Z,0.7,0.947,1.0,1.0,-0.053,0.053
2026-08-07T06:18:59Z,2026-08-07T08:00:00Z,1.7,1.583,1.0,1.0,0.583,0.583
2026-08-07T06:18:59Z,2026-08-07T09:00:00Z,2.7,1.744,1.0,1.0,0.744,0.744
2026-08-07T06:18:59Z,2026-08-07T10:00:00Z,3.7,1.872,1.0,1.0,0.872,0.872
2026-08-07T06:18:59Z,2026-08-07T11:00:00Z,4.7,2.111,2.0,1.0,0.111,0.111
2026-08-07T06:18:59Z,2026-08-07T12:00:00Z,5.7,2.575,2.0,1.0,0.575,0.575
2026-08-07T07:13:52Z,2026-08-07T08:00:00Z,0.8,1.764,1.0,1.0,0.764,0.764
2026-08-07T07:13:52Z,2026-08-07T09:00:00Z,1.8,2.064,1.0,1.0,1.064,1.064
2026-08-07T07:13:52Z,2026-08-07T10:00:00Z,2.8,2.206,1.0,1.0,1.206,1.206
2026-08-07T07:13:52Z,2026-08-07T11:00:00Z,3.8,2.406,2.0,1.0,0.406,0.406
2026-08-07T07:13:52Z,2026-08-07T12:00:00Z,4.8,2.803,2.0,1.0,0.803,0.803
2026-08-07T07:13:52Z,2026-08-07T13:00:00Z,5.8,3.083,2.0,1.0,1.083,1.083
2026-08-07T10:39:14Z,2026-08-07T11:00:00Z,0.3,2.85,2.0,1.0,0.85,0.85
2026-08-07T10:39:14Z,2026-08-07T12:00:00Z,1.3,2.992,2.0,1.0,0.992,0.992
2026-08-07T10:39:14Z,2026-08-07T13:00:00Z,2.3,3.169,2.0,1.0,1.169,1.169
2026-08-07T10:39:14Z,2026-08-07T14:00:00Z,3.3,4.494,2.0,1.0,2.494,2.494
2026-08-07T10:39:14Z,2026-08-07T15:00:00Z,4.3,3.931,2.0,1.0,1.931,1.931
2026-08-07T10:39:14Z,2026-08-07T16:00:00Z,5.3,4.472,2.0,1.0,2.472,2.472
2026-08-07T16:51:54Z,2026-08-07T17:00:00Z,0.1,2.769,4.0,2.0,-1.231,1.231
2026-08-07T16:51:54Z,2026-08-07T18:00:00Z,1.1,2.481,4.0,2.0,-1.519,1.519
2026-08-07T16:51:54Z,2026-08-07T19:00:00Z,2.1,3.256,3.0,2.0,0.256,0.256
2026-08-07T16:51:54Z,2026-08-07T20:00:00Z,3.1,2.658,1.0,2.0,1.658,1.658
2026-08-07T16:51:54Z,2026-08-07T21:00:00Z,4.1,2.722,2.0,2.0,0.722,0.722
2026-08-07T16:51:54Z,2026-08-07T22:00:00Z,5.1,2.033,2.0,2.0,0.033,0.033
2026-08-07T22:45:57Z,2026-08-07T23:00:00Z,0.2,1.922,1.0,2.0,0.922,0.922
2026-08-07T22:45:57Z,2026-08-08T00:00:00Z,1.2,2.5,1.0,2.0,1.5,1.5
2026-08-07T22:45:57Z,2026-08-08T01:00:00Z,2.2,2.603,2.0,2.0,0.603,0.603
2026-08-07T22:45:57Z,2026-08-08T02:00:00Z,3.2,2.636,2.0,2.0,0.636,0.636
2026-08-07T22:45:57Z,2026-08-08T03:00:00Z,4.2,2.686,3.0,2.0,-0.314,0.314
2026-08-07T22:45:57Z,2026-08-08T04:00:00Z,5.2,2.742,3.0,2.0,-0.258,0.258
2026-08-07T23:19:23Z,2026-08-08T00:00:00Z,0.7,2.517,1.0,1.0,1.517,1.517
2026-08-07T23:19:23Z,2026-08-08T01:00:00Z,1.7,2.503,2.0,1.0,0.503,0.503
2026-08-07T23:19:23Z,2026-08-08T02:00:00Z,2.7,2.628,2.0,1.0,0.628,0.628
