# Нови-Сад / Ветер / 1-2 дня / ECMWF AIFS
# n=411, MAE=0.914, RMSE=1.052, bias=+0.655
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.052/1.089)^2 = 0.0657  (RMSE_персистентности по 411 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-07T10:00:00Z,24.2,2.97,1.0,2.0,1.97,1.97
2026-08-06T09:50:07Z,2026-08-07T11:00:00Z,25.2,3.33,2.0,2.0,1.33,1.33
2026-08-06T09:50:07Z,2026-08-07T12:00:00Z,26.2,3.5,2.0,2.0,1.5,1.5
2026-08-06T09:50:07Z,2026-08-07T13:00:00Z,27.2,3.54,2.0,2.0,1.54,1.54
2026-08-06T09:50:07Z,2026-08-07T14:00:00Z,28.2,3.31,2.0,2.0,1.31,1.31
2026-08-06T09:50:07Z,2026-08-07T15:00:00Z,29.2,3.1,2.0,2.0,1.1,1.1
2026-08-06T09:50:07Z,2026-08-07T16:00:00Z,30.2,2.82,2.0,2.0,0.82,0.82
2026-08-06T09:50:07Z,2026-08-07T17:00:00Z,31.2,2.65,4.0,2.0,-1.35,1.35
2026-08-06T09:50:07Z,2026-08-07T18:00:00Z,32.2,2.52,4.0,2.0,-1.48,1.48
2026-08-06T09:50:07Z,2026-08-07T19:00:00Z,33.2,2.52,3.0,2.0,-0.48,0.48
2026-08-06T09:50:07Z,2026-08-07T20:00:00Z,34.2,2.52,1.0,2.0,1.52,1.52
2026-08-06T09:50:07Z,2026-08-07T21:00:00Z,35.2,2.53,2.0,2.0,0.53,0.53
2026-08-06T09:50:07Z,2026-08-07T22:00:00Z,36.2,2.55,2.0,2.0,0.55,0.55
2026-08-06T09:50:07Z,2026-08-07T23:00:00Z,37.2,2.57,1.0,2.0,1.57,1.57
2026-08-06T09:50:07Z,2026-08-08T00:00:00Z,38.2,2.6,1.0,2.0,1.6,1.6
2026-08-06T09:50:07Z,2026-08-08T01:00:00Z,39.2,2.6,2.0,2.0,0.6,0.6
2026-08-06T09:50:07Z,2026-08-08T02:00:00Z,40.2,2.6,2.0,2.0,0.6,0.6
2026-08-06T09:50:07Z,2026-08-08T03:00:00Z,41.2,2.6,3.0,2.0,-0.4,0.4
2026-08-06T09:50:07Z,2026-08-08T04:00:00Z,42.2,2.57,3.0,2.0,-0.43,0.43
2026-08-06T09:50:07Z,2026-08-08T05:00:00Z,43.2,2.57,1.0,2.0,1.57,1.57
2026-08-06T09:50:07Z,2026-08-08T06:00:00Z,44.2,2.67,2.0,2.0,0.67,0.67
2026-08-06T09:50:07Z,2026-08-08T07:00:00Z,45.2,2.77,2.0,2.0,0.77,0.77
2026-08-06T09:50:07Z,2026-08-08T08:00:00Z,46.2,2.98,2.0,2.0,0.98,0.98
2026-08-06T09:50:07Z,2026-08-08T09:00:00Z,47.2,3.08,1.0,2.0,2.08,2.08
2026-08-06T09:59:18Z,2026-08-07T10:00:00Z,24.0,2.97,1.0,2.0,1.97,1.97
2026-08-06T09:59:18Z,2026-08-07T11:00:00Z,25.0,3.33,2.0,2.0,1.33,1.33
2026-08-06T09:59:18Z,2026-08-07T12:00:00Z,26.0,3.5,2.0,2.0,1.5,1.5
2026-08-06T09:59:18Z,2026-08-07T13:00:00Z,27.0,3.54,2.0,2.0,1.54,1.54
2026-08-06T09:59:18Z,2026-08-07T14:00:00Z,28.0,3.31,2.0,2.0,1.31,1.31
2026-08-06T09:59:18Z,2026-08-07T15:00:00Z,29.0,3.1,2.0,2.0,1.1,1.1
2026-08-06T09:59:18Z,2026-08-07T16:00:00Z,30.0,2.82,2.0,2.0,0.82,0.82
2026-08-06T09:59:18Z,2026-08-07T17:00:00Z,31.0,2.65,4.0,2.0,-1.35,1.35
2026-08-06T09:59:18Z,2026-08-07T18:00:00Z,32.0,2.52,4.0,2.0,-1.48,1.48
2026-08-06T09:59:18Z,2026-08-07T19:00:00Z,33.0,2.52,3.0,2.0,-0.48,0.48
2026-08-06T09:59:18Z,2026-08-07T20:00:00Z,34.0,2.52,1.0,2.0,1.52,1.52
2026-08-06T09:59:18Z,2026-08-07T21:00:00Z,35.0,2.53,2.0,2.0,0.53,0.53
2026-08-06T09:59:18Z,2026-08-07T22:00:00Z,36.0,2.55,2.0,2.0,0.55,0.55
2026-08-06T09:59:18Z,2026-08-07T23:00:00Z,37.0,2.57,1.0,2.0,1.57,1.57
2026-08-06T09:59:18Z,2026-08-08T00:00:00Z,38.0,2.6,1.0,2.0,1.6,1.6
2026-08-06T09:59:18Z,2026-08-08T01:00:00Z,39.0,2.6,2.0,2.0,0.6,0.6
2026-08-06T09:59:18Z,2026-08-08T02:00:00Z,40.0,2.6,2.0,2.0,0.6,0.6
2026-08-06T09:59:18Z,2026-08-08T03:00:00Z,41.0,2.6,3.0,2.0,-0.4,0.4
2026-08-06T09:59:18Z,2026-08-08T04:00:00Z,42.0,2.57,3.0,2.0,-0.43,0.43
2026-08-06T09:59:18Z,2026-08-08T05:00:00Z,43.0,2.57,1.0,2.0,1.57,1.57
2026-08-06T09:59:18Z,2026-08-08T06:00:00Z,44.0,2.67,2.0,2.0,0.67,0.67
2026-08-06T09:59:18Z,2026-08-08T07:00:00Z,45.0,2.77,2.0,2.0,0.77,0.77
2026-08-06T09:59:18Z,2026-08-08T08:00:00Z,46.0,2.98,2.0,2.0,0.98,0.98
2026-08-06T09:59:18Z,2026-08-08T09:00:00Z,47.0,3.08,1.0,2.0,2.08,2.08
2026-08-06T10:08:26Z,2026-08-07T11:00:00Z,24.9,3.33,2.0,3.0,1.33,1.33
2026-08-06T10:08:26Z,2026-08-07T12:00:00Z,25.9,3.5,2.0,3.0,1.5,1.5
2026-08-06T10:08:26Z,2026-08-07T13:00:00Z,26.9,3.54,2.0,3.0,1.54,1.54
2026-08-06T10:08:26Z,2026-08-07T14:00:00Z,27.9,3.31,2.0,3.0,1.31,1.31
2026-08-06T10:08:26Z,2026-08-07T15:00:00Z,28.9,3.1,2.0,3.0,1.1,1.1
2026-08-06T10:08:26Z,2026-08-07T16:00:00Z,29.9,2.82,2.0,3.0,0.82,0.82
2026-08-06T10:08:26Z,2026-08-07T17:00:00Z,30.9,2.65,4.0,3.0,-1.35,1.35
2026-08-06T10:08:26Z,2026-08-07T18:00:00Z,31.9,2.52,4.0,3.0,-1.48,1.48
2026-08-06T10:08:26Z,2026-08-07T19:00:00Z,32.9,2.52,3.0,3.0,-0.48,0.48
2026-08-06T10:08:26Z,2026-08-07T20:00:00Z,33.9,2.52,1.0,3.0,1.52,1.52
2026-08-06T10:08:26Z,2026-08-07T21:00:00Z,34.9,2.53,2.0,3.0,0.53,0.53
2026-08-06T10:08:26Z,2026-08-07T22:00:00Z,35.9,2.55,2.0,3.0,0.55,0.55
2026-08-06T10:08:26Z,2026-08-07T23:00:00Z,36.9,2.57,1.0,3.0,1.57,1.57
2026-08-06T10:08:26Z,2026-08-08T00:00:00Z,37.9,2.6,1.0,3.0,1.6,1.6
2026-08-06T10:08:26Z,2026-08-08T01:00:00Z,38.9,2.6,2.0,3.0,0.6,0.6
2026-08-06T10:08:26Z,2026-08-08T02:00:00Z,39.9,2.6,2.0,3.0,0.6,0.6
2026-08-06T10:08:26Z,2026-08-08T03:00:00Z,40.9,2.6,3.0,3.0,-0.4,0.4
2026-08-06T10:08:26Z,2026-08-08T04:00:00Z,41.9,2.57,3.0,3.0,-0.43,0.43
2026-08-06T10:08:26Z,2026-08-08T05:00:00Z,42.9,2.57,1.0,3.0,1.57,1.57
2026-08-06T10:08:26Z,2026-08-08T06:00:00Z,43.9,2.67,2.0,3.0,0.67,0.67
2026-08-06T10:08:26Z,2026-08-08T07:00:00Z,44.9,2.77,2.0,3.0,0.77,0.77
2026-08-06T10:08:26Z,2026-08-08T08:00:00Z,45.9,2.98,2.0,3.0,0.98,0.98
2026-08-06T10:08:26Z,2026-08-08T09:00:00Z,46.9,3.08,1.0,3.0,2.08,2.08
2026-08-06T10:08:26Z,2026-08-08T10:00:00Z,47.9,3.3,2.0,3.0,1.3,1.3
2026-08-06T10:47:54Z,2026-08-07T11:00:00Z,24.2,3.33,2.0,3.0,1.33,1.33
2026-08-06T10:47:54Z,2026-08-07T12:00:00Z,25.2,3.5,2.0,3.0,1.5,1.5
2026-08-06T10:47:54Z,2026-08-07T13:00:00Z,26.2,3.54,2.0,3.0,1.54,1.54
2026-08-06T10:47:54Z,2026-08-07T14:00:00Z,27.2,3.31,2.0,3.0,1.31,1.31
2026-08-06T10:47:54Z,2026-08-07T15:00:00Z,28.2,3.1,2.0,3.0,1.1,1.1
2026-08-06T10:47:54Z,2026-08-07T16:00:00Z,29.2,2.82,2.0,3.0,0.82,0.82
