# Нови-Сад / Ветер / 1-2 дня / OpenWeatherMap
# n=90, MAE=1.340, RMSE=1.761, bias=+1.041
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.761/1.043)^2 = -1.8471  (RMSE_персистентности по 90 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T11:30:42Z,2026-08-07T12:00:00Z,24.5,2.31,2.0,3.0,0.31,0.31
2026-08-06T11:30:42Z,2026-08-07T15:00:00Z,27.5,2.93,2.0,3.0,0.93,0.93
2026-08-06T11:30:42Z,2026-08-07T18:00:00Z,30.5,4.2,4.0,3.0,0.2,0.2
2026-08-06T11:30:42Z,2026-08-07T21:00:00Z,33.5,3.28,2.0,3.0,1.28,1.28
2026-08-06T11:30:42Z,2026-08-08T00:00:00Z,36.5,2.39,1.0,3.0,1.39,1.39
2026-08-06T11:30:42Z,2026-08-08T03:00:00Z,39.5,2.39,3.0,3.0,-0.61,0.61
2026-08-06T11:30:42Z,2026-08-08T06:00:00Z,42.5,2.72,2.0,3.0,0.72,0.72
2026-08-06T11:30:42Z,2026-08-08T09:00:00Z,45.5,3.96,1.0,3.0,2.96,2.96
2026-08-06T11:36:01Z,2026-08-07T12:00:00Z,24.4,2.31,2.0,3.0,0.31,0.31
2026-08-06T11:36:01Z,2026-08-07T15:00:00Z,27.4,2.93,2.0,3.0,0.93,0.93
2026-08-06T11:36:01Z,2026-08-07T18:00:00Z,30.4,4.2,4.0,3.0,0.2,0.2
2026-08-06T11:36:01Z,2026-08-07T21:00:00Z,33.4,3.28,2.0,3.0,1.28,1.28
2026-08-06T11:36:01Z,2026-08-08T00:00:00Z,36.4,2.39,1.0,3.0,1.39,1.39
2026-08-06T11:36:01Z,2026-08-08T03:00:00Z,39.4,2.39,3.0,3.0,-0.61,0.61
2026-08-06T11:36:01Z,2026-08-08T06:00:00Z,42.4,2.72,2.0,3.0,0.72,0.72
2026-08-06T11:36:01Z,2026-08-08T09:00:00Z,45.4,3.96,1.0,3.0,2.96,2.96
2026-08-06T11:44:08Z,2026-08-07T12:00:00Z,24.3,2.31,2.0,3.0,0.31,0.31
2026-08-06T11:44:08Z,2026-08-07T15:00:00Z,27.3,2.93,2.0,3.0,0.93,0.93
