# Нови-Сад / Ветер / 2-3 дня / ECMWF IFS
# n=923, MAE=0.776, RMSE=0.954, bias=+0.163
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (0.954/1.207)^2 = 0.3748  (RMSE_персистентности по 923 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-08T10:00:00Z,48.2,2.93,2.0,2.0,0.93,0.93
2026-08-06T09:50:07Z,2026-08-08T11:00:00Z,49.2,3.01,2.0,2.0,1.01,1.01
2026-08-06T09:50:07Z,2026-08-08T12:00:00Z,50.2,3.1,2.0,2.0,1.1,1.1
2026-08-06T09:50:07Z,2026-08-08T13:00:00Z,51.2,3.21,2.0,2.0,1.21,1.21
2026-08-06T09:50:07Z,2026-08-08T14:00:00Z,52.2,3.26,2.0,2.0,1.26,1.26
2026-08-06T09:50:07Z,2026-08-08T15:00:00Z,53.2,3.23,2.0,2.0,1.23,1.23
2026-08-06T09:50:07Z,2026-08-08T16:00:00Z,54.2,2.88,2.0,2.0,0.88,0.88
2026-08-06T09:50:07Z,2026-08-08T17:00:00Z,55.2,2.37,2.0,2.0,0.37,0.37
2026-08-06T09:50:07Z,2026-08-08T18:00:00Z,56.2,2.0,1.0,2.0,1.0,1.0
2026-08-06T09:50:07Z,2026-08-08T19:00:00Z,57.2,2.05,1.0,2.0,1.05,1.05
2026-08-06T09:50:07Z,2026-08-08T20:00:00Z,58.2,2.19,1.0,2.0,1.19,1.19
2026-08-06T09:50:07Z,2026-08-08T21:00:00Z,59.2,2.28,1.0,2.0,1.28,1.28
2026-08-06T09:50:07Z,2026-08-08T22:00:00Z,60.2,2.16,3.0,2.0,-0.84,0.84
2026-08-06T09:50:07Z,2026-08-08T23:00:00Z,61.2,1.92,2.0,2.0,-0.08,0.08
2026-08-06T09:50:07Z,2026-08-09T00:00:00Z,62.2,1.75,3.0,2.0,-1.25,1.25
2026-08-06T09:50:07Z,2026-08-09T01:00:00Z,63.2,1.57,2.0,2.0,-0.43,0.43
2026-08-06T09:50:07Z,2026-08-09T02:00:00Z,64.2,1.3,1.0,2.0,0.3,0.3
2026-08-06T09:50:07Z,2026-08-09T03:00:00Z,65.2,1.2,1.0,2.0,0.2,0.2
2026-08-06T09:50:07Z,2026-08-09T04:00:00Z,66.2,1.13,1.0,2.0,0.13,0.13
2026-08-06T09:50:07Z,2026-08-09T05:00:00Z,67.2,1.14,1.0,2.0,0.14,0.14
2026-08-06T09:50:07Z,2026-08-09T06:00:00Z,68.2,1.2,1.0,2.0,0.2,0.2
2026-08-06T09:50:07Z,2026-08-09T07:00:00Z,69.2,1.42,1.0,2.0,0.42,0.42
2026-08-06T09:50:07Z,2026-08-09T08:00:00Z,70.2,1.8,1.0,2.0,0.8,0.8
2026-08-06T09:50:07Z,2026-08-09T09:00:00Z,71.2,2.06,2.0,2.0,0.06,0.06
2026-08-06T09:59:18Z,2026-08-08T10:00:00Z,48.0,2.93,2.0,2.0,0.93,0.93
2026-08-06T09:59:18Z,2026-08-08T11:00:00Z,49.0,3.01,2.0,2.0,1.01,1.01
2026-08-06T09:59:18Z,2026-08-08T12:00:00Z,50.0,3.1,2.0,2.0,1.1,1.1
2026-08-06T09:59:18Z,2026-08-08T13:00:00Z,51.0,3.21,2.0,2.0,1.21,1.21
2026-08-06T09:59:18Z,2026-08-08T14:00:00Z,52.0,3.26,2.0,2.0,1.26,1.26
2026-08-06T09:59:18Z,2026-08-08T15:00:00Z,53.0,3.23,2.0,2.0,1.23,1.23
2026-08-06T09:59:18Z,2026-08-08T16:00:00Z,54.0,2.88,2.0,2.0,0.88,0.88
2026-08-06T09:59:18Z,2026-08-08T17:00:00Z,55.0,2.37,2.0,2.0,0.37,0.37
2026-08-06T09:59:18Z,2026-08-08T18:00:00Z,56.0,2.0,1.0,2.0,1.0,1.0
2026-08-06T09:59:18Z,2026-08-08T19:00:00Z,57.0,2.05,1.0,2.0,1.05,1.05
2026-08-06T09:59:18Z,2026-08-08T20:00:00Z,58.0,2.19,1.0,2.0,1.19,1.19
2026-08-06T09:59:18Z,2026-08-08T21:00:00Z,59.0,2.28,1.0,2.0,1.28,1.28
2026-08-06T09:59:18Z,2026-08-08T22:00:00Z,60.0,2.16,3.0,2.0,-0.84,0.84
2026-08-06T09:59:18Z,2026-08-08T23:00:00Z,61.0,1.92,2.0,2.0,-0.08,0.08
2026-08-06T09:59:18Z,2026-08-09T00:00:00Z,62.0,1.75,3.0,2.0,-1.25,1.25
2026-08-06T09:59:18Z,2026-08-09T01:00:00Z,63.0,1.57,2.0,2.0,-0.43,0.43
2026-08-06T09:59:18Z,2026-08-09T02:00:00Z,64.0,1.3,1.0,2.0,0.3,0.3
2026-08-06T09:59:18Z,2026-08-09T03:00:00Z,65.0,1.2,1.0,2.0,0.2,0.2
2026-08-06T09:59:18Z,2026-08-09T04:00:00Z,66.0,1.13,1.0,2.0,0.13,0.13
2026-08-06T09:59:18Z,2026-08-09T05:00:00Z,67.0,1.14,1.0,2.0,0.14,0.14
2026-08-06T09:59:18Z,2026-08-09T06:00:00Z,68.0,1.2,1.0,2.0,0.2,0.2
2026-08-06T09:59:18Z,2026-08-09T07:00:00Z,69.0,1.42,1.0,2.0,0.42,0.42
