# Нови-Сад / Ветер / 2-3 дня / GEM (Канада)
# n=186, MAE=2.028, RMSE=2.276, bias=+2.018
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (2.276/1.233)^2 = -2.4057  (RMSE_персистентности по 186 пар(ам))
# persistence = последнее показание станции на (valid_time − 24ч), т.е. «то же время суток вчера», а не «на момент забора прогноза»
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-08T10:00:00Z,48.2,4.0,2.0,1.0,2.0,2.0
2026-08-06T09:50:07Z,2026-08-08T11:00:00Z,49.2,4.1,2.0,2.0,2.1,2.1
2026-08-06T09:50:07Z,2026-08-08T12:00:00Z,50.2,4.7,2.0,2.0,2.7,2.7
2026-08-06T09:50:07Z,2026-08-08T13:00:00Z,51.2,5.3,2.0,2.0,3.3,3.3
2026-08-06T09:50:07Z,2026-08-08T14:00:00Z,52.2,5.6,2.0,2.0,3.6,3.6
2026-08-06T09:50:07Z,2026-08-08T15:00:00Z,53.2,5.6,2.0,2.0,3.6,3.6
2026-08-06T09:50:07Z,2026-08-08T16:00:00Z,54.2,5.2,2.0,2.0,3.2,3.2
2026-08-06T09:50:07Z,2026-08-08T17:00:00Z,55.2,5.0,2.0,4.0,3.0,3.0
2026-08-06T09:50:07Z,2026-08-08T18:00:00Z,56.2,4.1,1.0,4.0,3.1,3.1
2026-08-06T09:50:07Z,2026-08-08T19:00:00Z,57.2,4.1,1.0,3.0,3.1,3.1
2026-08-06T09:50:07Z,2026-08-08T20:00:00Z,58.2,4.3,1.0,1.0,3.3,3.3
2026-08-06T09:50:07Z,2026-08-08T21:00:00Z,59.2,4.3,1.0,2.0,3.3,3.3
2026-08-06T09:50:07Z,2026-08-08T22:00:00Z,60.2,3.8,3.0,2.0,0.8,0.8
2026-08-06T09:50:07Z,2026-08-08T23:00:00Z,61.2,3.4,2.0,1.0,1.4,1.4
2026-08-06T09:50:07Z,2026-08-09T00:00:00Z,62.2,3.2,3.0,1.0,0.2,0.2
2026-08-06T09:50:07Z,2026-08-09T01:00:00Z,63.2,3.1,2.0,2.0,1.1,1.1
2026-08-06T09:50:07Z,2026-08-09T02:00:00Z,64.2,2.8,1.0,2.0,1.8,1.8
2026-08-06T09:50:07Z,2026-08-09T03:00:00Z,65.2,2.7,1.0,3.0,1.7,1.7
2026-08-06T09:50:07Z,2026-08-09T04:00:00Z,66.2,2.6,1.0,3.0,1.6,1.6
2026-08-06T09:50:07Z,2026-08-09T05:00:00Z,67.2,2.8,1.0,1.0,1.8,1.8
2026-08-06T09:50:07Z,2026-08-09T06:00:00Z,68.2,3.0,1.0,2.0,2.0,2.0
2026-08-06T09:50:07Z,2026-08-09T07:00:00Z,69.2,2.6,1.0,2.0,1.6,1.6
2026-08-06T09:50:07Z,2026-08-09T08:00:00Z,70.2,2.4,1.0,2.0,1.4,1.4
2026-08-06T09:50:07Z,2026-08-09T09:00:00Z,71.2,2.6,2.0,1.0,0.6,0.6
2026-08-06T09:59:18Z,2026-08-08T10:00:00Z,48.0,4.0,2.0,1.0,2.0,2.0
2026-08-06T09:59:18Z,2026-08-08T11:00:00Z,49.0,4.1,2.0,2.0,2.1,2.1
2026-08-06T09:59:18Z,2026-08-08T12:00:00Z,50.0,4.7,2.0,2.0,2.7,2.7
2026-08-06T09:59:18Z,2026-08-08T13:00:00Z,51.0,5.3,2.0,2.0,3.3,3.3
2026-08-06T09:59:18Z,2026-08-08T14:00:00Z,52.0,5.6,2.0,2.0,3.6,3.6
2026-08-06T09:59:18Z,2026-08-08T15:00:00Z,53.0,5.6,2.0,2.0,3.6,3.6
