# Нови-Сад / Ветер / 2-3 дня / ICON (Германия)
# n=219, MAE=0.744, RMSE=0.975, bias=-0.026
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (0.975/1.147)^2 = 0.2765  (RMSE_персистентности по 219 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-08T10:00:00Z,48.2,3.69,2.0,1.0,1.69,1.69
2026-08-06T09:50:07Z,2026-08-08T11:00:00Z,49.2,3.85,2.0,2.0,1.85,1.85
2026-08-06T09:50:07Z,2026-08-08T12:00:00Z,50.2,3.64,2.0,2.0,1.64,1.64
2026-08-06T09:50:07Z,2026-08-08T13:00:00Z,51.2,3.71,2.0,2.0,1.71,1.71
2026-08-06T09:50:07Z,2026-08-08T14:00:00Z,52.2,3.48,2.0,2.0,1.48,1.48
2026-08-06T09:50:07Z,2026-08-08T15:00:00Z,53.2,3.7,2.0,2.0,1.7,1.7
2026-08-06T09:50:07Z,2026-08-08T16:00:00Z,54.2,3.41,2.0,2.0,1.41,1.41
2026-08-06T09:50:07Z,2026-08-08T17:00:00Z,55.2,2.67,2.0,4.0,0.67,0.67
2026-08-06T09:50:07Z,2026-08-08T18:00:00Z,56.2,1.51,1.0,4.0,0.51,0.51
2026-08-06T09:50:07Z,2026-08-08T19:00:00Z,57.2,1.25,1.0,3.0,0.25,0.25
2026-08-06T09:50:07Z,2026-08-08T20:00:00Z,58.2,0.95,1.0,1.0,-0.05,0.05
2026-08-06T09:50:07Z,2026-08-08T21:00:00Z,59.2,0.78,1.0,2.0,-0.22,0.22
2026-08-06T09:50:07Z,2026-08-08T22:00:00Z,60.2,0.61,3.0,2.0,-2.39,2.39
2026-08-06T09:50:07Z,2026-08-08T23:00:00Z,61.2,1.2,2.0,1.0,-0.8,0.8
2026-08-06T09:50:07Z,2026-08-09T00:00:00Z,62.2,1.46,3.0,1.0,-1.54,1.54
2026-08-06T09:50:07Z,2026-08-09T01:00:00Z,63.2,1.12,2.0,2.0,-0.88,0.88
2026-08-06T09:50:07Z,2026-08-09T02:00:00Z,64.2,0.92,1.0,2.0,-0.08,0.08
2026-08-06T09:50:07Z,2026-08-09T03:00:00Z,65.2,0.5,1.0,3.0,-0.5,0.5
2026-08-06T09:50:07Z,2026-08-09T04:00:00Z,66.2,0.28,1.0,3.0,-0.72,0.72
2026-08-06T09:50:07Z,2026-08-09T05:00:00Z,67.2,0.3,1.0,1.0,-0.7,0.7
2026-08-06T09:50:07Z,2026-08-09T06:00:00Z,68.2,0.72,1.0,2.0,-0.28,0.28
2026-08-06T09:50:07Z,2026-08-09T07:00:00Z,69.2,0.92,1.0,2.0,-0.08,0.08
2026-08-06T09:50:07Z,2026-08-09T08:00:00Z,70.2,1.06,1.0,2.0,0.06,0.06
2026-08-06T09:50:07Z,2026-08-09T09:00:00Z,71.2,1.72,2.0,1.0,-0.28,0.28
2026-08-06T09:59:18Z,2026-08-08T10:00:00Z,48.0,3.69,2.0,1.0,1.69,1.69
2026-08-06T09:59:18Z,2026-08-08T11:00:00Z,49.0,3.85,2.0,2.0,1.85,1.85
2026-08-06T09:59:18Z,2026-08-08T12:00:00Z,50.0,3.64,2.0,2.0,1.64,1.64
2026-08-06T09:59:18Z,2026-08-08T13:00:00Z,51.0,3.71,2.0,2.0,1.71,1.71
2026-08-06T09:59:18Z,2026-08-08T14:00:00Z,52.0,3.48,2.0,2.0,1.48,1.48
2026-08-06T09:59:18Z,2026-08-08T15:00:00Z,53.0,3.7,2.0,2.0,1.7,1.7
2026-08-06T09:59:18Z,2026-08-08T16:00:00Z,54.0,3.41,2.0,2.0,1.41,1.41
2026-08-06T09:59:18Z,2026-08-08T17:00:00Z,55.0,2.67,2.0,4.0,0.67,0.67
2026-08-06T09:59:18Z,2026-08-08T18:00:00Z,56.0,1.51,1.0,4.0,0.51,0.51
2026-08-06T09:59:18Z,2026-08-08T19:00:00Z,57.0,1.25,1.0,3.0,0.25,0.25
2026-08-06T09:59:18Z,2026-08-08T20:00:00Z,58.0,0.95,1.0,1.0,-0.05,0.05
2026-08-06T09:59:18Z,2026-08-08T21:00:00Z,59.0,0.78,1.0,2.0,-0.22,0.22
2026-08-06T09:59:18Z,2026-08-08T22:00:00Z,60.0,0.61,3.0,2.0,-2.39,2.39
2026-08-06T09:59:18Z,2026-08-08T23:00:00Z,61.0,1.2,2.0,1.0,-0.8,0.8
2026-08-06T09:59:18Z,2026-08-09T00:00:00Z,62.0,1.46,3.0,1.0,-1.54,1.54
2026-08-06T09:59:18Z,2026-08-09T01:00:00Z,63.0,1.12,2.0,2.0,-0.88,0.88
2026-08-06T09:59:18Z,2026-08-09T02:00:00Z,64.0,0.92,1.0,2.0,-0.08,0.08
2026-08-06T09:59:18Z,2026-08-09T03:00:00Z,65.0,0.5,1.0,3.0,-0.5,0.5
2026-08-06T09:59:18Z,2026-08-09T04:00:00Z,66.0,0.28,1.0,3.0,-0.72,0.72
2026-08-06T09:59:18Z,2026-08-09T05:00:00Z,67.0,0.3,1.0,1.0,-0.7,0.7
2026-08-06T09:59:18Z,2026-08-09T06:00:00Z,68.0,0.72,1.0,2.0,-0.28,0.28
2026-08-06T09:59:18Z,2026-08-09T07:00:00Z,69.0,0.92,1.0,2.0,-0.08,0.08
2026-08-06T09:59:18Z,2026-08-09T08:00:00Z,70.0,1.06,1.0,2.0,0.06,0.06
