# Нови-Сад / Ветер / 2-3 дня / WeatherAPI.com
# n=62, MAE=1.784, RMSE=1.896, bias=+1.784
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.896/1.231)^2 = -1.3713  (RMSE_персистентности по 62 пар(ам))
# persistence = последнее показание станции на (valid_time − 24ч), т.е. «то же время суток вчера», а не «на момент забора прогноза»
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T10:47:54Z,2026-08-08T11:00:00Z,48.2,3.889,2.0,2.0,1.889,1.889
2026-08-06T10:47:54Z,2026-08-08T12:00:00Z,49.2,4.111,2.0,2.0,2.111,2.111
2026-08-06T10:47:54Z,2026-08-08T13:00:00Z,50.2,4.194,2.0,2.0,2.194,2.194
2026-08-06T10:47:54Z,2026-08-08T14:00:00Z,51.2,4.306,2.0,2.0,2.306,2.306
2026-08-06T10:47:54Z,2026-08-08T15:00:00Z,52.2,4.389,2.0,2.0,2.389,2.389
2026-08-06T10:47:54Z,2026-08-08T16:00:00Z,53.2,4.611,2.0,2.0,2.611,2.611
2026-08-06T10:47:54Z,2026-08-08T17:00:00Z,54.2,4.306,2.0,4.0,2.306,2.306
2026-08-06T10:47:54Z,2026-08-08T18:00:00Z,55.2,3.194,1.0,4.0,2.194,2.194
2026-08-06T10:47:54Z,2026-08-08T19:00:00Z,56.2,3.111,1.0,3.0,2.111,2.111
2026-08-06T10:47:54Z,2026-08-08T20:00:00Z,57.2,2.806,1.0,1.0,1.806,1.806
2026-08-06T10:47:54Z,2026-08-08T21:00:00Z,58.2,2.889,1.0,2.0,1.889,1.889
2026-08-06T11:30:42Z,2026-08-08T12:00:00Z,48.5,4.111,2.0,2.0,2.111,2.111
2026-08-06T11:30:42Z,2026-08-08T13:00:00Z,49.5,4.194,2.0,2.0,2.194,2.194
2026-08-06T11:30:42Z,2026-08-08T14:00:00Z,50.5,4.306,2.0,2.0,2.306,2.306
2026-08-06T11:30:42Z,2026-08-08T15:00:00Z,51.5,4.389,2.0,2.0,2.389,2.389
2026-08-06T11:30:42Z,2026-08-08T16:00:00Z,52.5,4.611,2.0,2.0,2.611,2.611
