# Нови-Сад / Ветер / 3-5 дней / Yr (Норвегия)
# n=42, MAE=1.012, RMSE=1.129, bias=-0.507
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.129/1.234)^2 = 0.1633  (RMSE_персистентности по 42 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-09T12:00:00Z,74.2,2.7,2.0,2.0,0.7,0.7
2026-08-06T09:50:07Z,2026-08-09T18:00:00Z,80.2,1.9,1.0,1.0,0.9,0.9
2026-08-06T09:50:07Z,2026-08-10T00:00:00Z,86.2,0.5,1.0,3.0,-0.5,0.5
2026-08-06T09:50:07Z,2026-08-10T06:00:00Z,92.2,1.2,3.0,1.0,-1.8,1.8
2026-08-06T09:50:07Z,2026-08-10T12:00:00Z,98.2,0.9,2.0,2.0,-1.1,1.1
2026-08-06T09:59:18Z,2026-08-09T12:00:00Z,74.0,2.7,2.0,2.0,0.7,0.7
2026-08-06T09:59:18Z,2026-08-09T18:00:00Z,80.0,1.9,1.0,1.0,0.9,0.9
2026-08-06T09:59:18Z,2026-08-10T00:00:00Z,86.0,0.5,1.0,3.0,-0.5,0.5
2026-08-06T09:59:18Z,2026-08-10T06:00:00Z,92.0,1.2,3.0,1.0,-1.8,1.8
2026-08-06T09:59:18Z,2026-08-10T12:00:00Z,98.0,0.9,2.0,2.0,-1.1,1.1
2026-08-06T10:08:26Z,2026-08-09T12:00:00Z,73.9,2.7,2.0,2.0,0.7,0.7
2026-08-06T10:08:26Z,2026-08-09T18:00:00Z,79.9,1.9,1.0,1.0,0.9,0.9
2026-08-06T10:08:26Z,2026-08-10T00:00:00Z,85.9,0.5,1.0,3.0,-0.5,0.5
2026-08-06T10:08:26Z,2026-08-10T06:00:00Z,91.9,1.2,3.0,1.0,-1.8,1.8
2026-08-06T10:08:26Z,2026-08-10T12:00:00Z,97.9,0.9,2.0,2.0,-1.1,1.1
2026-08-06T10:47:54Z,2026-08-09T12:00:00Z,73.2,2.7,2.0,2.0,0.7,0.7
2026-08-06T10:47:54Z,2026-08-09T18:00:00Z,79.2,1.9,1.0,1.0,0.9,0.9
2026-08-06T10:47:54Z,2026-08-10T00:00:00Z,85.2,0.5,1.0,3.0,-0.5,0.5
2026-08-06T10:47:54Z,2026-08-10T06:00:00Z,91.2,1.2,3.0,1.0,-1.8,1.8
2026-08-06T10:47:54Z,2026-08-10T12:00:00Z,97.2,0.9,2.0,2.0,-1.1,1.1
2026-08-06T11:30:42Z,2026-08-09T12:00:00Z,72.5,2.5,2.0,2.0,0.5,0.5
2026-08-06T11:30:42Z,2026-08-09T18:00:00Z,78.5,1.9,1.0,1.0,0.9,0.9
2026-08-06T11:30:42Z,2026-08-10T00:00:00Z,84.5,0.5,1.0,3.0,-0.5,0.5
2026-08-06T11:30:42Z,2026-08-10T06:00:00Z,90.5,1.1,3.0,1.0,-1.9,1.9
2026-08-06T11:30:42Z,2026-08-10T12:00:00Z,96.5,1.2,2.0,2.0,-0.8,0.8
2026-08-06T11:36:01Z,2026-08-09T12:00:00Z,72.4,2.5,2.0,2.0,0.5,0.5
2026-08-06T11:36:01Z,2026-08-09T18:00:00Z,78.4,1.9,1.0,1.0,0.9,0.9
2026-08-06T11:36:01Z,2026-08-10T00:00:00Z,84.4,0.5,1.0,3.0,-0.5,0.5
2026-08-06T11:36:01Z,2026-08-10T06:00:00Z,90.4,1.1,3.0,1.0,-1.9,1.9
2026-08-06T11:36:01Z,2026-08-10T12:00:00Z,96.4,1.2,2.0,2.0,-0.8,0.8
2026-08-06T11:44:08Z,2026-08-09T12:00:00Z,72.3,2.5,2.0,2.0,0.5,0.5
2026-08-06T11:44:08Z,2026-08-09T18:00:00Z,78.3,1.9,1.0,1.0,0.9,0.9
2026-08-06T11:44:08Z,2026-08-10T00:00:00Z,84.3,0.5,1.0,3.0,-0.5,0.5
2026-08-06T11:44:08Z,2026-08-10T06:00:00Z,90.3,1.1,3.0,1.0,-1.9,1.9
2026-08-06T11:44:08Z,2026-08-10T12:00:00Z,96.3,1.2,2.0,2.0,-0.8,0.8
2026-08-07T01:31:32Z,2026-08-10T06:00:00Z,76.5,0.9,3.0,1.0,-2.1,2.1
2026-08-07T01:31:32Z,2026-08-10T12:00:00Z,82.5,1.1,2.0,2.0,-0.9,0.9
2026-08-07T05:36:00Z,2026-08-10T06:00:00Z,72.4,0.9,3.0,1.0,-2.1,2.1
2026-08-07T05:36:00Z,2026-08-10T12:00:00Z,78.4,1.1,2.0,2.0,-0.9,0.9
2026-08-07T06:18:59Z,2026-08-10T12:00:00Z,77.7,1.1,2.0,2.0,-0.9,0.9
2026-08-07T07:13:52Z,2026-08-10T12:00:00Z,76.8,1.1,2.0,2.0,-0.9,0.9
2026-08-07T10:39:14Z,2026-08-10T12:00:00Z,73.3,1.1,2.0,2.0,-0.9,0.9
