# Нови-Сад / Ветер / 3-5 дней / GEM (Канада)
# n=13, MAE=0.831, RMSE=0.832, bias=+0.831
# skill-score: не определён (RMSE_персистентности=0 по 13 пар(ам) - baseline совпал с фактом точно)
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-09T10:00:00Z,72.2,2.8,2.0,2.0,0.8,0.8
2026-08-06T09:50:07Z,2026-08-09T11:00:00Z,73.2,2.9,2.0,2.0,0.9,0.9
2026-08-06T09:50:07Z,2026-08-09T12:00:00Z,74.2,2.8,2.0,2.0,0.8,0.8
2026-08-06T09:59:18Z,2026-08-09T10:00:00Z,72.0,2.8,2.0,2.0,0.8,0.8
2026-08-06T09:59:18Z,2026-08-09T11:00:00Z,73.0,2.9,2.0,2.0,0.9,0.9
2026-08-06T09:59:18Z,2026-08-09T12:00:00Z,74.0,2.8,2.0,2.0,0.8,0.8
2026-08-06T10:08:26Z,2026-08-09T11:00:00Z,72.9,2.9,2.0,2.0,0.9,0.9
2026-08-06T10:08:26Z,2026-08-09T12:00:00Z,73.9,2.8,2.0,2.0,0.8,0.8
2026-08-06T10:47:54Z,2026-08-09T11:00:00Z,72.2,2.9,2.0,2.0,0.9,0.9
2026-08-06T10:47:54Z,2026-08-09T12:00:00Z,73.2,2.8,2.0,2.0,0.8,0.8
2026-08-06T11:30:42Z,2026-08-09T12:00:00Z,72.5,2.8,2.0,2.0,0.8,0.8
2026-08-06T11:36:01Z,2026-08-09T12:00:00Z,72.4,2.8,2.0,2.0,0.8,0.8
2026-08-06T11:44:08Z,2026-08-09T12:00:00Z,72.3,2.8,2.0,2.0,0.8,0.8
