# Нови-Сад / Ветер / 3-5 дней / ICON (Германия)
# n=83, MAE=0.292, RMSE=0.353, bias=+0.044
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (0.353/0.768)^2 = 0.7895  (RMSE_персистентности по 83 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-09T10:00:00Z,72.2,1.98,2.0,2.0,-0.02,0.02
2026-08-06T09:50:07Z,2026-08-09T11:00:00Z,73.2,1.75,2.0,2.0,-0.25,0.25
2026-08-06T09:50:07Z,2026-08-09T12:00:00Z,74.2,1.62,2.0,2.0,-0.38,0.38
2026-08-06T09:50:07Z,2026-08-09T13:00:00Z,75.2,1.8,2.0,2.0,-0.2,0.2
2026-08-06T09:50:07Z,2026-08-09T14:00:00Z,76.2,1.93,2.0,2.0,-0.07,0.07
2026-08-06T09:50:07Z,2026-08-09T15:00:00Z,77.2,1.88,2.0,2.0,-0.12,0.12
2026-08-06T09:50:07Z,2026-08-09T16:00:00Z,78.2,1.42,1.0,2.0,0.42,0.42
2026-08-06T09:50:07Z,2026-08-09T17:00:00Z,79.2,0.95,1.0,2.0,-0.05,0.05
2026-08-06T09:50:07Z,2026-08-09T18:00:00Z,80.2,1.08,1.0,1.0,0.08,0.08
2026-08-06T09:50:07Z,2026-08-09T19:00:00Z,81.2,1.3,1.0,1.0,0.3,0.3
2026-08-06T09:50:07Z,2026-08-09T20:00:00Z,82.2,1.5,2.0,1.0,-0.5,0.5
2026-08-06T09:50:07Z,2026-08-09T21:00:00Z,83.2,1.58,1.0,1.0,0.58,0.58
2026-08-06T09:50:07Z,2026-08-09T22:00:00Z,84.2,1.61,1.0,3.0,0.61,0.61
2026-08-06T09:59:18Z,2026-08-09T10:00:00Z,72.0,1.98,2.0,2.0,-0.02,0.02
2026-08-06T09:59:18Z,2026-08-09T11:00:00Z,73.0,1.75,2.0,2.0,-0.25,0.25
2026-08-06T09:59:18Z,2026-08-09T12:00:00Z,74.0,1.62,2.0,2.0,-0.38,0.38
2026-08-06T09:59:18Z,2026-08-09T13:00:00Z,75.0,1.8,2.0,2.0,-0.2,0.2
2026-08-06T09:59:18Z,2026-08-09T14:00:00Z,76.0,1.93,2.0,2.0,-0.07,0.07
2026-08-06T09:59:18Z,2026-08-09T15:00:00Z,77.0,1.88,2.0,2.0,-0.12,0.12
2026-08-06T09:59:18Z,2026-08-09T16:00:00Z,78.0,1.42,1.0,2.0,0.42,0.42
2026-08-06T09:59:18Z,2026-08-09T17:00:00Z,79.0,0.95,1.0,2.0,-0.05,0.05
2026-08-06T09:59:18Z,2026-08-09T18:00:00Z,80.0,1.08,1.0,1.0,0.08,0.08
2026-08-06T09:59:18Z,2026-08-09T19:00:00Z,81.0,1.3,1.0,1.0,0.3,0.3
2026-08-06T09:59:18Z,2026-08-09T20:00:00Z,82.0,1.5,2.0,1.0,-0.5,0.5
2026-08-06T09:59:18Z,2026-08-09T21:00:00Z,83.0,1.58,1.0,1.0,0.58,0.58
2026-08-06T09:59:18Z,2026-08-09T22:00:00Z,84.0,1.61,1.0,3.0,0.61,0.61
2026-08-06T10:08:26Z,2026-08-09T11:00:00Z,72.9,1.75,2.0,2.0,-0.25,0.25
2026-08-06T10:08:26Z,2026-08-09T12:00:00Z,73.9,1.62,2.0,2.0,-0.38,0.38
2026-08-06T10:08:26Z,2026-08-09T13:00:00Z,74.9,1.8,2.0,2.0,-0.2,0.2
2026-08-06T10:08:26Z,2026-08-09T14:00:00Z,75.9,1.93,2.0,2.0,-0.07,0.07
2026-08-06T10:08:26Z,2026-08-09T15:00:00Z,76.9,1.88,2.0,2.0,-0.12,0.12
2026-08-06T10:08:26Z,2026-08-09T16:00:00Z,77.9,1.42,1.0,2.0,0.42,0.42
2026-08-06T10:08:26Z,2026-08-09T17:00:00Z,78.9,0.95,1.0,2.0,-0.05,0.05
2026-08-06T10:08:26Z,2026-08-09T18:00:00Z,79.9,1.08,1.0,1.0,0.08,0.08
2026-08-06T10:08:26Z,2026-08-09T19:00:00Z,80.9,1.3,1.0,1.0,0.3,0.3
2026-08-06T10:08:26Z,2026-08-09T20:00:00Z,81.9,1.5,2.0,1.0,-0.5,0.5
2026-08-06T10:08:26Z,2026-08-09T21:00:00Z,82.9,1.58,1.0,1.0,0.58,0.58
2026-08-06T10:08:26Z,2026-08-09T22:00:00Z,83.9,1.61,1.0,3.0,0.61,0.61
2026-08-06T10:47:54Z,2026-08-09T11:00:00Z,72.2,1.75,2.0,2.0,-0.25,0.25
2026-08-06T10:47:54Z,2026-08-09T12:00:00Z,73.2,1.62,2.0,2.0,-0.38,0.38
2026-08-06T10:47:54Z,2026-08-09T13:00:00Z,74.2,1.8,2.0,2.0,-0.2,0.2
2026-08-06T10:47:54Z,2026-08-09T14:00:00Z,75.2,1.93,2.0,2.0,-0.07,0.07
2026-08-06T10:47:54Z,2026-08-09T15:00:00Z,76.2,1.88,2.0,2.0,-0.12,0.12
2026-08-06T10:47:54Z,2026-08-09T16:00:00Z,77.2,1.42,1.0,2.0,0.42,0.42
2026-08-06T10:47:54Z,2026-08-09T17:00:00Z,78.2,0.95,1.0,2.0,-0.05,0.05
2026-08-06T10:47:54Z,2026-08-09T18:00:00Z,79.2,1.08,1.0,1.0,0.08,0.08
2026-08-06T10:47:54Z,2026-08-09T19:00:00Z,80.2,1.3,1.0,1.0,0.3,0.3
2026-08-06T10:47:54Z,2026-08-09T20:00:00Z,81.2,1.5,2.0,1.0,-0.5,0.5
2026-08-06T10:47:54Z,2026-08-09T21:00:00Z,82.2,1.58,1.0,1.0,0.58,0.58
2026-08-06T10:47:54Z,2026-08-09T22:00:00Z,83.2,1.61,1.0,3.0,0.61,0.61
2026-08-06T11:30:42Z,2026-08-09T12:00:00Z,72.5,1.62,2.0,2.0,-0.38,0.38
2026-08-06T11:30:42Z,2026-08-09T13:00:00Z,73.5,1.8,2.0,2.0,-0.2,0.2
2026-08-06T11:30:42Z,2026-08-09T14:00:00Z,74.5,1.93,2.0,2.0,-0.07,0.07
2026-08-06T11:30:42Z,2026-08-09T15:00:00Z,75.5,1.88,2.0,2.0,-0.12,0.12
2026-08-06T11:30:42Z,2026-08-09T16:00:00Z,76.5,1.42,1.0,2.0,0.42,0.42
2026-08-06T11:30:42Z,2026-08-09T17:00:00Z,77.5,0.95,1.0,2.0,-0.05,0.05
2026-08-06T11:30:42Z,2026-08-09T18:00:00Z,78.5,1.08,1.0,1.0,0.08,0.08
2026-08-06T11:30:42Z,2026-08-09T19:00:00Z,79.5,1.3,1.0,1.0,0.3,0.3
2026-08-06T11:30:42Z,2026-08-09T20:00:00Z,80.5,1.5,2.0,1.0,-0.5,0.5
2026-08-06T11:30:42Z,2026-08-09T21:00:00Z,81.5,1.58,1.0,1.0,0.58,0.58
2026-08-06T11:30:42Z,2026-08-09T22:00:00Z,82.5,1.61,1.0,3.0,0.61,0.61
2026-08-06T11:36:01Z,2026-08-09T12:00:00Z,72.4,1.62,2.0,2.0,-0.38,0.38
2026-08-06T11:36:01Z,2026-08-09T13:00:00Z,73.4,1.8,2.0,2.0,-0.2,0.2
2026-08-06T11:36:01Z,2026-08-09T14:00:00Z,74.4,1.93,2.0,2.0,-0.07,0.07
2026-08-06T11:36:01Z,2026-08-09T15:00:00Z,75.4,1.88,2.0,2.0,-0.12,0.12
2026-08-06T11:36:01Z,2026-08-09T16:00:00Z,76.4,1.42,1.0,2.0,0.42,0.42
2026-08-06T11:36:01Z,2026-08-09T17:00:00Z,77.4,0.95,1.0,2.0,-0.05,0.05
2026-08-06T11:36:01Z,2026-08-09T18:00:00Z,78.4,1.08,1.0,1.0,0.08,0.08
2026-08-06T11:36:01Z,2026-08-09T19:00:00Z,79.4,1.3,1.0,1.0,0.3,0.3
2026-08-06T11:36:01Z,2026-08-09T20:00:00Z,80.4,1.5,2.0,1.0,-0.5,0.5
2026-08-06T11:36:01Z,2026-08-09T21:00:00Z,81.4,1.58,1.0,1.0,0.58,0.58
2026-08-06T11:36:01Z,2026-08-09T22:00:00Z,82.4,1.61,1.0,3.0,0.61,0.61
2026-08-06T11:44:08Z,2026-08-09T12:00:00Z,72.3,1.62,2.0,2.0,-0.38,0.38
2026-08-06T11:44:08Z,2026-08-09T13:00:00Z,73.3,1.8,2.0,2.0,-0.2,0.2
2026-08-06T11:44:08Z,2026-08-09T14:00:00Z,74.3,1.93,2.0,2.0,-0.07,0.07
2026-08-06T11:44:08Z,2026-08-09T15:00:00Z,75.3,1.88,2.0,2.0,-0.12,0.12
2026-08-06T11:44:08Z,2026-08-09T16:00:00Z,76.3,1.42,1.0,2.0,0.42,0.42
