# Нови-Сад / Ветер / 3-5 дней / JMA (Япония)
# n=83, MAE=0.476, RMSE=0.553, bias=-0.314
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (0.553/0.768)^2 = 0.4821  (RMSE_персистентности по 83 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-09T10:00:00Z,72.2,1.77,2.0,2.0,-0.23,0.23
2026-08-06T09:50:07Z,2026-08-09T11:00:00Z,73.2,1.77,2.0,2.0,-0.23,0.23
2026-08-06T09:50:07Z,2026-08-09T12:00:00Z,74.2,1.65,2.0,2.0,-0.35,0.35
2026-08-06T09:50:07Z,2026-08-09T13:00:00Z,75.2,1.53,2.0,2.0,-0.47,0.47
2026-08-06T09:50:07Z,2026-08-09T14:00:00Z,76.2,1.32,2.0,2.0,-0.68,0.68
2026-08-06T09:50:07Z,2026-08-09T15:00:00Z,77.2,1.12,2.0,2.0,-0.88,0.88
2026-08-06T09:50:07Z,2026-08-09T16:00:00Z,78.2,0.91,1.0,2.0,-0.09,0.09
2026-08-06T09:50:07Z,2026-08-09T17:00:00Z,79.2,0.71,1.0,2.0,-0.29,0.29
2026-08-06T09:50:07Z,2026-08-09T18:00:00Z,80.2,0.63,1.0,1.0,-0.37,0.37
2026-08-06T09:50:07Z,2026-08-09T19:00:00Z,81.2,0.72,1.0,1.0,-0.28,0.28
2026-08-06T09:50:07Z,2026-08-09T20:00:00Z,82.2,0.92,2.0,1.0,-1.08,1.08
2026-08-06T09:50:07Z,2026-08-09T21:00:00Z,83.2,1.3,1.0,1.0,0.3,0.3
2026-08-06T09:50:07Z,2026-08-09T22:00:00Z,84.2,1.66,1.0,3.0,0.66,0.66
2026-08-06T09:59:18Z,2026-08-09T10:00:00Z,72.0,1.77,2.0,2.0,-0.23,0.23
2026-08-06T09:59:18Z,2026-08-09T11:00:00Z,73.0,1.77,2.0,2.0,-0.23,0.23
2026-08-06T09:59:18Z,2026-08-09T12:00:00Z,74.0,1.65,2.0,2.0,-0.35,0.35
2026-08-06T09:59:18Z,2026-08-09T13:00:00Z,75.0,1.53,2.0,2.0,-0.47,0.47
2026-08-06T09:59:18Z,2026-08-09T14:00:00Z,76.0,1.32,2.0,2.0,-0.68,0.68
2026-08-06T09:59:18Z,2026-08-09T15:00:00Z,77.0,1.12,2.0,2.0,-0.88,0.88
2026-08-06T09:59:18Z,2026-08-09T16:00:00Z,78.0,0.91,1.0,2.0,-0.09,0.09
2026-08-06T09:59:18Z,2026-08-09T17:00:00Z,79.0,0.71,1.0,2.0,-0.29,0.29
2026-08-06T09:59:18Z,2026-08-09T18:00:00Z,80.0,0.63,1.0,1.0,-0.37,0.37
2026-08-06T09:59:18Z,2026-08-09T19:00:00Z,81.0,0.72,1.0,1.0,-0.28,0.28
2026-08-06T09:59:18Z,2026-08-09T20:00:00Z,82.0,0.92,2.0,1.0,-1.08,1.08
2026-08-06T09:59:18Z,2026-08-09T21:00:00Z,83.0,1.3,1.0,1.0,0.3,0.3
2026-08-06T09:59:18Z,2026-08-09T22:00:00Z,84.0,1.66,1.0,3.0,0.66,0.66
2026-08-06T10:08:26Z,2026-08-09T11:00:00Z,72.9,1.77,2.0,2.0,-0.23,0.23
2026-08-06T10:08:26Z,2026-08-09T12:00:00Z,73.9,1.65,2.0,2.0,-0.35,0.35
2026-08-06T10:08:26Z,2026-08-09T13:00:00Z,74.9,1.53,2.0,2.0,-0.47,0.47
2026-08-06T10:08:26Z,2026-08-09T14:00:00Z,75.9,1.32,2.0,2.0,-0.68,0.68
2026-08-06T10:08:26Z,2026-08-09T15:00:00Z,76.9,1.12,2.0,2.0,-0.88,0.88
2026-08-06T10:08:26Z,2026-08-09T16:00:00Z,77.9,0.91,1.0,2.0,-0.09,0.09
2026-08-06T10:08:26Z,2026-08-09T17:00:00Z,78.9,0.71,1.0,2.0,-0.29,0.29
2026-08-06T10:08:26Z,2026-08-09T18:00:00Z,79.9,0.63,1.0,1.0,-0.37,0.37
2026-08-06T10:08:26Z,2026-08-09T19:00:00Z,80.9,0.72,1.0,1.0,-0.28,0.28
