# Нови-Сад / Ветер / 3-5 дней / ARPEGE (Франция)
# n=83, MAE=1.022, RMSE=1.111, bias=+0.175
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.111/0.768)^2 = -1.0908  (RMSE_персистентности по 83 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-09T10:00:00Z,72.2,1.42,2.0,2.0,-0.58,0.58
2026-08-06T09:50:07Z,2026-08-09T11:00:00Z,73.2,1.34,2.0,2.0,-0.66,0.66
2026-08-06T09:50:07Z,2026-08-09T12:00:00Z,74.2,1.14,2.0,2.0,-0.86,0.86
2026-08-06T09:50:07Z,2026-08-09T13:00:00Z,75.2,1.1,2.0,2.0,-0.9,0.9
2026-08-06T09:50:07Z,2026-08-09T14:00:00Z,76.2,1.2,2.0,2.0,-0.8,0.8
2026-08-06T09:50:07Z,2026-08-09T15:00:00Z,77.2,1.5,2.0,2.0,-0.5,0.5
2026-08-06T09:50:07Z,2026-08-09T16:00:00Z,78.2,1.94,1.0,2.0,0.94,0.94
2026-08-06T09:50:07Z,2026-08-09T17:00:00Z,79.2,2.21,1.0,2.0,1.21,1.21
2026-08-06T09:50:07Z,2026-08-09T18:00:00Z,80.2,2.42,1.0,1.0,1.42,1.42
2026-08-06T09:50:07Z,2026-08-09T19:00:00Z,81.2,2.33,1.0,1.0,1.33,1.33
2026-08-06T09:50:07Z,2026-08-09T20:00:00Z,82.2,2.18,2.0,1.0,0.18,0.18
2026-08-06T09:50:07Z,2026-08-09T21:00:00Z,83.2,2.04,1.0,1.0,1.04,1.04
2026-08-06T09:50:07Z,2026-08-09T22:00:00Z,84.2,2.33,1.0,3.0,1.33,1.33
2026-08-06T09:59:18Z,2026-08-09T10:00:00Z,72.0,1.42,2.0,2.0,-0.58,0.58
2026-08-06T09:59:18Z,2026-08-09T11:00:00Z,73.0,1.34,2.0,2.0,-0.66,0.66
2026-08-06T09:59:18Z,2026-08-09T12:00:00Z,74.0,1.14,2.0,2.0,-0.86,0.86
2026-08-06T09:59:18Z,2026-08-09T13:00:00Z,75.0,1.1,2.0,2.0,-0.9,0.9
2026-08-06T09:59:18Z,2026-08-09T14:00:00Z,76.0,1.2,2.0,2.0,-0.8,0.8
2026-08-06T09:59:18Z,2026-08-09T15:00:00Z,77.0,1.5,2.0,2.0,-0.5,0.5
2026-08-06T09:59:18Z,2026-08-09T16:00:00Z,78.0,1.94,1.0,2.0,0.94,0.94
2026-08-06T09:59:18Z,2026-08-09T17:00:00Z,79.0,2.21,1.0,2.0,1.21,1.21
2026-08-06T09:59:18Z,2026-08-09T18:00:00Z,80.0,2.42,1.0,1.0,1.42,1.42
2026-08-06T09:59:18Z,2026-08-09T19:00:00Z,81.0,2.33,1.0,1.0,1.33,1.33
2026-08-06T09:59:18Z,2026-08-09T20:00:00Z,82.0,2.18,2.0,1.0,0.18,0.18
2026-08-06T09:59:18Z,2026-08-09T21:00:00Z,83.0,2.04,1.0,1.0,1.04,1.04
2026-08-06T09:59:18Z,2026-08-09T22:00:00Z,84.0,2.33,1.0,3.0,1.33,1.33
2026-08-06T10:08:26Z,2026-08-09T11:00:00Z,72.9,1.34,2.0,2.0,-0.66,0.66
2026-08-06T10:08:26Z,2026-08-09T12:00:00Z,73.9,1.14,2.0,2.0,-0.86,0.86
2026-08-06T10:08:26Z,2026-08-09T13:00:00Z,74.9,1.1,2.0,2.0,-0.9,0.9
2026-08-06T10:08:26Z,2026-08-09T14:00:00Z,75.9,1.2,2.0,2.0,-0.8,0.8
2026-08-06T10:08:26Z,2026-08-09T15:00:00Z,76.9,1.5,2.0,2.0,-0.5,0.5
2026-08-06T10:08:26Z,2026-08-09T16:00:00Z,77.9,1.94,1.0,2.0,0.94,0.94
2026-08-06T10:08:26Z,2026-08-09T17:00:00Z,78.9,2.21,1.0,2.0,1.21,1.21
2026-08-06T10:08:26Z,2026-08-09T18:00:00Z,79.9,2.42,1.0,1.0,1.42,1.42
2026-08-06T10:08:26Z,2026-08-09T19:00:00Z,80.9,2.33,1.0,1.0,1.33,1.33
2026-08-06T10:08:26Z,2026-08-09T20:00:00Z,81.9,2.18,2.0,1.0,0.18,0.18
2026-08-06T10:08:26Z,2026-08-09T21:00:00Z,82.9,2.04,1.0,1.0,1.04,1.04
2026-08-06T10:08:26Z,2026-08-09T22:00:00Z,83.9,2.33,1.0,3.0,1.33,1.33
2026-08-06T10:47:54Z,2026-08-09T11:00:00Z,72.2,1.08,2.0,2.0,-0.92,0.92
2026-08-06T10:47:54Z,2026-08-09T12:00:00Z,73.2,0.63,2.0,2.0,-1.37,1.37
2026-08-06T10:47:54Z,2026-08-09T13:00:00Z,74.2,0.32,2.0,2.0,-1.68,1.68
2026-08-06T10:47:54Z,2026-08-09T14:00:00Z,75.2,0.45,2.0,2.0,-1.55,1.55
2026-08-06T10:47:54Z,2026-08-09T15:00:00Z,76.2,1.12,2.0,2.0,-0.88,0.88
2026-08-06T10:47:54Z,2026-08-09T16:00:00Z,77.2,1.97,1.0,2.0,0.97,0.97
2026-08-06T10:47:54Z,2026-08-09T17:00:00Z,78.2,2.5,1.0,2.0,1.5,1.5
2026-08-06T10:47:54Z,2026-08-09T18:00:00Z,79.2,1.92,1.0,1.0,0.92,0.92
