# Нови-Сад / Ветер / 3-5 дней / OpenWeatherMap
# n=12, MAE=0.965, RMSE=1.268, bias=+0.965
# skill-score: не определён (RMSE_персистентности=0 по 12 пар(ам) - baseline совпал с фактом точно)
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T11:30:42Z,2026-08-09T12:00:00Z,72.5,2.29,2.0,2.0,0.29,0.29
2026-08-06T11:30:42Z,2026-08-09T15:00:00Z,75.5,2.09,2.0,2.0,0.09,0.09
2026-08-06T11:30:42Z,2026-08-09T18:00:00Z,78.5,3.12,1.0,1.0,2.12,2.12
2026-08-06T11:30:42Z,2026-08-09T21:00:00Z,81.5,2.36,1.0,1.0,1.36,1.36
2026-08-06T11:36:01Z,2026-08-09T12:00:00Z,72.4,2.29,2.0,2.0,0.29,0.29
2026-08-06T11:36:01Z,2026-08-09T15:00:00Z,75.4,2.09,2.0,2.0,0.09,0.09
2026-08-06T11:36:01Z,2026-08-09T18:00:00Z,78.4,3.12,1.0,1.0,2.12,2.12
2026-08-06T11:36:01Z,2026-08-09T21:00:00Z,81.4,2.36,1.0,1.0,1.36,1.36
2026-08-06T11:44:08Z,2026-08-09T12:00:00Z,72.3,2.29,2.0,2.0,0.29,0.29
2026-08-06T11:44:08Z,2026-08-09T15:00:00Z,75.3,2.09,2.0,2.0,0.09,0.09
2026-08-06T11:44:08Z,2026-08-09T18:00:00Z,78.3,3.12,1.0,1.0,2.12,2.12
2026-08-06T11:44:08Z,2026-08-09T21:00:00Z,81.3,2.36,1.0,1.0,1.36,1.36
