# Нови-Сад / Ветер / 5-10 дней / JMA (Япония)
# n=443, MAE=0.799, RMSE=0.982, bias=+0.479
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (0.982/1.219)^2 = 0.3512  (RMSE_персистентности по 443 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-11T10:00:00Z,120.2,0.5,2.0,2.0,-1.5,1.5
2026-08-06T09:50:07Z,2026-08-11T11:00:00Z,121.2,0.63,2.0,2.0,-1.37,1.37
2026-08-06T09:50:07Z,2026-08-11T12:00:00Z,122.2,0.67,2.0,2.0,-1.33,1.33
2026-08-06T09:50:07Z,2026-08-11T13:00:00Z,123.2,0.81,1.0,2.0,-0.19,0.19
2026-08-06T09:50:07Z,2026-08-11T14:00:00Z,124.2,0.76,1.0,2.0,-0.24,0.24
2026-08-06T09:50:07Z,2026-08-11T15:00:00Z,125.2,0.85,1.0,2.0,-0.15,0.15
2026-08-06T09:50:07Z,2026-08-11T16:00:00Z,126.2,0.85,1.0,2.0,-0.15,0.15
2026-08-06T09:50:07Z,2026-08-11T17:00:00Z,127.2,0.85,1.0,2.0,-0.15,0.15
2026-08-06T09:50:07Z,2026-08-11T18:00:00Z,128.2,0.86,1.0,2.0,-0.14,0.14
2026-08-06T09:50:07Z,2026-08-11T19:00:00Z,129.2,0.94,1.0,2.0,-0.06,0.06
2026-08-06T09:50:07Z,2026-08-11T20:00:00Z,130.2,1.32,1.0,2.0,0.32,0.32
2026-08-06T09:50:07Z,2026-08-11T21:00:00Z,131.2,1.81,1.0,2.0,0.81,0.81
2026-08-06T09:50:07Z,2026-08-11T22:00:00Z,132.2,2.47,1.0,2.0,1.47,1.47
2026-08-06T09:50:07Z,2026-08-11T23:00:00Z,133.2,2.94,2.0,2.0,0.94,0.94
2026-08-06T09:50:07Z,2026-08-12T00:00:00Z,134.2,3.29,3.0,2.0,0.29,0.29
2026-08-06T09:50:07Z,2026-08-12T01:00:00Z,135.2,3.42,4.0,2.0,-0.58,0.58
2026-08-06T09:50:07Z,2026-08-12T02:00:00Z,136.2,3.42,4.0,2.0,-0.58,0.58
2026-08-06T09:50:07Z,2026-08-12T03:00:00Z,137.2,3.42,4.0,2.0,-0.58,0.58
2026-08-06T09:50:07Z,2026-08-12T04:00:00Z,138.2,3.32,2.0,2.0,1.32,1.32
2026-08-06T09:50:07Z,2026-08-12T05:00:00Z,139.2,3.2,1.0,2.0,2.2,2.2
2026-08-06T09:50:07Z,2026-08-12T06:00:00Z,140.2,3.1,1.0,2.0,2.1,2.1
