# Нови-Сад / Ветер / 5-10 дней / Apple Погода
# n=40, MAE=1.129, RMSE=1.393, bias=-0.237
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.393/1.725)^2 = 0.3476  (RMSE_персистентности по 40 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T11:36:01Z,2026-08-11T12:00:00Z,120.4,1.775,2.0,3.0,-0.225,0.225
2026-08-06T11:36:01Z,2026-08-11T13:00:00Z,121.4,2.014,1.0,3.0,1.014,1.014
2026-08-06T11:36:01Z,2026-08-11T14:00:00Z,122.4,2.269,1.0,3.0,1.269,1.269
2026-08-06T11:36:01Z,2026-08-11T15:00:00Z,123.4,2.381,1.0,3.0,1.381,1.381
2026-08-06T11:36:01Z,2026-08-11T16:00:00Z,124.4,2.225,1.0,3.0,1.225,1.225
2026-08-06T11:36:01Z,2026-08-11T17:00:00Z,125.4,1.908,1.0,3.0,0.908,0.908
2026-08-06T11:36:01Z,2026-08-11T18:00:00Z,126.4,1.617,1.0,3.0,0.617,0.617
2026-08-06T11:36:01Z,2026-08-11T19:00:00Z,127.4,1.486,1.0,3.0,0.486,0.486
2026-08-06T11:36:01Z,2026-08-11T20:00:00Z,128.4,0.514,1.0,3.0,-0.486,0.486
2026-08-06T11:36:01Z,2026-08-11T21:00:00Z,129.4,0.853,1.0,3.0,-0.147,0.147
2026-08-06T11:36:01Z,2026-08-11T22:00:00Z,130.4,1.242,1.0,3.0,0.242,0.242
2026-08-06T11:36:01Z,2026-08-11T23:00:00Z,131.4,1.542,2.0,3.0,-0.458,0.458
2026-08-06T11:36:01Z,2026-08-12T00:00:00Z,132.4,1.672,3.0,3.0,-1.328,1.328
2026-08-06T11:36:01Z,2026-08-12T01:00:00Z,133.4,1.625,4.0,3.0,-2.375,2.375
2026-08-06T11:36:01Z,2026-08-12T02:00:00Z,134.4,1.181,4.0,3.0,-2.819,2.819
2026-08-06T11:36:01Z,2026-08-12T03:00:00Z,135.4,0.961,4.0,3.0,-3.039,3.039
2026-08-06T11:36:01Z,2026-08-12T04:00:00Z,136.4,1.353,2.0,3.0,-0.647,0.647
2026-08-06T11:36:01Z,2026-08-12T05:00:00Z,137.4,1.622,1.0,3.0,0.622,0.622
2026-08-06T11:44:08Z,2026-08-11T12:00:00Z,120.3,1.722,2.0,3.0,-0.278,0.278
2026-08-06T11:44:08Z,2026-08-11T13:00:00Z,121.3,1.961,1.0,3.0,0.961,0.961
2026-08-06T11:44:08Z,2026-08-11T14:00:00Z,122.3,2.239,1.0,3.0,1.239,1.239
2026-08-06T11:44:08Z,2026-08-11T15:00:00Z,123.3,2.367,1.0,3.0,1.367,1.367
2026-08-06T11:44:08Z,2026-08-11T16:00:00Z,124.3,2.225,1.0,3.0,1.225,1.225
2026-08-06T11:44:08Z,2026-08-11T17:00:00Z,125.3,1.931,1.0,3.0,0.931,0.931
2026-08-06T11:44:08Z,2026-08-11T18:00:00Z,126.3,1.692,1.0,3.0,0.692,0.692
2026-08-06T11:44:08Z,2026-08-11T19:00:00Z,127.3,1.556,1.0,3.0,0.556,0.556
2026-08-06T11:44:08Z,2026-08-11T20:00:00Z,128.3,0.525,1.0,3.0,-0.475,0.475
2026-08-06T11:44:08Z,2026-08-11T21:00:00Z,129.3,0.408,1.0,3.0,-0.592,0.592
2026-08-06T11:44:08Z,2026-08-11T22:00:00Z,130.3,0.969,1.0,3.0,-0.031,0.031
2026-08-06T11:44:08Z,2026-08-11T23:00:00Z,131.3,1.408,2.0,3.0,-0.592,0.592
2026-08-06T11:44:08Z,2026-08-12T00:00:00Z,132.3,1.583,3.0,3.0,-1.417,1.417
2026-08-06T11:44:08Z,2026-08-12T01:00:00Z,133.3,1.558,4.0,3.0,-2.442,2.442
2026-08-06T11:44:08Z,2026-08-12T02:00:00Z,134.3,1.219,4.0,3.0,-2.781,2.781
2026-08-06T11:44:08Z,2026-08-12T03:00:00Z,135.3,0.972,4.0,3.0,-3.028,3.028
2026-08-06T11:44:08Z,2026-08-12T04:00:00Z,136.3,1.358,2.0,3.0,-0.642,0.642
2026-08-06T11:44:08Z,2026-08-12T05:00:00Z,137.3,1.681,1.0,3.0,0.681,0.681
2026-08-07T01:31:32Z,2026-08-12T02:00:00Z,120.5,2.158,4.0,1.0,-1.842,1.842
2026-08-07T01:31:32Z,2026-08-12T03:00:00Z,121.5,2.331,4.0,1.0,-1.669,1.669
2026-08-07T01:31:32Z,2026-08-12T04:00:00Z,122.5,2.569,2.0,1.0,0.569,0.569
2026-08-07T01:31:32Z,2026-08-12T05:00:00Z,123.5,2.858,1.0,1.0,1.858,1.858
