# Нови-Сад / Ветер / 6-24ч / OpenWeatherMap
# n=724, MAE=1.240, RMSE=1.632, bias=+0.768
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.632/1.478)^2 = -0.2191  (RMSE_персистентности по 724 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T11:30:42Z,2026-08-06T18:00:00Z,6.5,3.92,1.0,3.0,2.92,2.92
2026-08-06T11:30:42Z,2026-08-06T21:00:00Z,9.5,3.16,2.0,3.0,1.16,1.16
2026-08-06T11:30:42Z,2026-08-07T00:00:00Z,12.5,1.16,0.0,3.0,1.16,1.16
2026-08-06T11:30:42Z,2026-08-07T03:00:00Z,15.5,1.13,0.0,3.0,1.13,1.13
2026-08-06T11:30:42Z,2026-08-07T06:00:00Z,18.5,1.99,1.0,3.0,0.99,0.99
2026-08-06T11:30:42Z,2026-08-07T09:00:00Z,21.5,2.68,1.0,3.0,1.68,1.68
2026-08-06T11:36:01Z,2026-08-06T18:00:00Z,6.4,3.92,1.0,3.0,2.92,2.92
2026-08-06T11:36:01Z,2026-08-06T21:00:00Z,9.4,3.16,2.0,3.0,1.16,1.16
2026-08-06T11:36:01Z,2026-08-07T00:00:00Z,12.4,1.16,0.0,3.0,1.16,1.16
2026-08-06T11:36:01Z,2026-08-07T03:00:00Z,15.4,1.13,0.0,3.0,1.13,1.13
2026-08-06T11:36:01Z,2026-08-07T06:00:00Z,18.4,1.99,1.0,3.0,0.99,0.99
2026-08-06T11:36:01Z,2026-08-07T09:00:00Z,21.4,2.68,1.0,3.0,1.68,1.68
2026-08-06T11:44:08Z,2026-08-06T18:00:00Z,6.3,3.92,1.0,3.0,2.92,2.92
2026-08-06T11:44:08Z,2026-08-06T21:00:00Z,9.3,3.16,2.0,3.0,1.16,1.16
2026-08-06T11:44:08Z,2026-08-07T00:00:00Z,12.3,1.16,0.0,3.0,1.16,1.16
2026-08-06T11:44:08Z,2026-08-07T03:00:00Z,15.3,1.13,0.0,3.0,1.13,1.13
2026-08-06T11:44:08Z,2026-08-07T06:00:00Z,18.3,1.99,1.0,3.0,0.99,0.99
2026-08-06T11:44:08Z,2026-08-07T09:00:00Z,21.3,2.68,1.0,3.0,1.68,1.68
2026-08-07T01:31:32Z,2026-08-07T09:00:00Z,7.5,3.15,1.0,1.0,2.15,2.15
2026-08-07T01:31:32Z,2026-08-07T12:00:00Z,10.5,3.22,2.0,1.0,1.22,1.22
2026-08-07T01:31:32Z,2026-08-07T15:00:00Z,13.5,8.39,2.0,1.0,6.39,6.39
2026-08-07T01:31:32Z,2026-08-07T18:00:00Z,16.5,3.51,4.0,1.0,-0.49,0.49
2026-08-07T01:31:32Z,2026-08-07T21:00:00Z,19.5,6.63,2.0,1.0,4.63,4.63
2026-08-07T01:31:32Z,2026-08-08T00:00:00Z,22.5,2.87,1.0,1.0,1.87,1.87
2026-08-07T05:36:00Z,2026-08-07T12:00:00Z,6.4,3.22,2.0,1.0,1.22,1.22
2026-08-07T05:36:00Z,2026-08-07T15:00:00Z,9.4,8.39,2.0,1.0,6.39,6.39
2026-08-07T05:36:00Z,2026-08-07T18:00:00Z,12.4,3.51,4.0,1.0,-0.49,0.49
2026-08-07T05:36:00Z,2026-08-07T21:00:00Z,15.4,6.63,2.0,1.0,4.63,4.63
2026-08-07T05:36:00Z,2026-08-08T00:00:00Z,18.4,2.87,1.0,1.0,1.87,1.87
2026-08-07T05:36:00Z,2026-08-08T03:00:00Z,21.4,2.81,3.0,1.0,-0.19,0.19
2026-08-07T06:18:59Z,2026-08-07T15:00:00Z,8.7,8.39,2.0,1.0,6.39,6.39
2026-08-07T06:18:59Z,2026-08-07T18:00:00Z,11.7,3.51,4.0,1.0,-0.49,0.49
2026-08-07T06:18:59Z,2026-08-07T21:00:00Z,14.7,6.63,2.0,1.0,4.63,4.63
2026-08-07T06:18:59Z,2026-08-08T00:00:00Z,17.7,2.87,1.0,1.0,1.87,1.87
2026-08-07T06:18:59Z,2026-08-08T03:00:00Z,20.7,2.81,3.0,1.0,-0.19,0.19
2026-08-07T06:18:59Z,2026-08-08T06:00:00Z,23.7,3.05,2.0,1.0,1.05,1.05
2026-08-07T07:13:52Z,2026-08-07T15:00:00Z,7.8,5.06,2.0,1.0,3.06,3.06
2026-08-07T07:13:52Z,2026-08-07T18:00:00Z,10.8,7.79,4.0,1.0,3.79,3.79
2026-08-07T07:13:52Z,2026-08-07T21:00:00Z,13.8,4.26,2.0,1.0,2.26,2.26
2026-08-07T07:13:52Z,2026-08-08T00:00:00Z,16.8,3.68,1.0,1.0,2.68,2.68
2026-08-07T07:13:52Z,2026-08-08T03:00:00Z,19.8,3.02,3.0,1.0,0.02,0.02
2026-08-07T07:13:52Z,2026-08-08T06:00:00Z,22.8,2.88,2.0,1.0,0.88,0.88
2026-08-07T10:39:14Z,2026-08-07T18:00:00Z,7.3,7.79,4.0,1.0,3.79,3.79
2026-08-07T10:39:14Z,2026-08-07T21:00:00Z,10.3,4.26,2.0,1.0,2.26,2.26
2026-08-07T10:39:14Z,2026-08-08T00:00:00Z,13.3,3.68,1.0,1.0,2.68,2.68
2026-08-07T10:39:14Z,2026-08-08T03:00:00Z,16.3,3.02,3.0,1.0,0.02,0.02
2026-08-07T10:39:14Z,2026-08-08T06:00:00Z,19.3,2.88,2.0,1.0,0.88,0.88
2026-08-07T10:39:14Z,2026-08-08T09:00:00Z,22.3,3.89,1.0,1.0,2.89,2.89
2026-08-07T16:51:54Z,2026-08-08T00:00:00Z,7.1,3.5,1.0,2.0,2.5,2.5
2026-08-07T16:51:54Z,2026-08-08T03:00:00Z,10.1,2.83,3.0,2.0,-0.17,0.17
2026-08-07T16:51:54Z,2026-08-08T06:00:00Z,13.1,2.82,2.0,2.0,0.82,0.82
2026-08-07T16:51:54Z,2026-08-08T09:00:00Z,16.1,3.84,1.0,2.0,2.84,2.84
2026-08-07T16:51:54Z,2026-08-08T12:00:00Z,19.1,2.54,2.0,2.0,0.54,0.54
2026-08-07T16:51:54Z,2026-08-08T15:00:00Z,22.1,5.86,2.0,2.0,3.86,3.86
2026-08-07T22:45:57Z,2026-08-08T06:00:00Z,7.2,2.86,2.0,2.0,0.86,0.86
2026-08-07T22:45:57Z,2026-08-08T09:00:00Z,10.2,3.55,1.0,2.0,2.55,2.55
2026-08-07T22:45:57Z,2026-08-08T12:00:00Z,13.2,3.61,2.0,2.0,1.61,1.61
2026-08-07T22:45:57Z,2026-08-08T15:00:00Z,16.2,5.21,2.0,2.0,3.21,3.21
2026-08-07T22:45:57Z,2026-08-08T18:00:00Z,19.2,2.68,1.0,2.0,1.68,1.68
2026-08-07T22:45:57Z,2026-08-08T21:00:00Z,22.2,3.28,1.0,2.0,2.28,2.28
2026-08-07T23:19:23Z,2026-08-08T06:00:00Z,6.7,2.86,2.0,1.0,0.86,0.86
2026-08-07T23:19:23Z,2026-08-08T09:00:00Z,9.7,3.55,1.0,1.0,2.55,2.55
2026-08-07T23:19:23Z,2026-08-08T12:00:00Z,12.7,3.61,2.0,1.0,1.61,1.61
2026-08-07T23:19:23Z,2026-08-08T15:00:00Z,15.7,5.21,2.0,1.0,3.21,3.21
2026-08-07T23:19:23Z,2026-08-08T18:00:00Z,18.7,2.68,1.0,1.0,1.68,1.68
2026-08-07T23:19:23Z,2026-08-08T21:00:00Z,21.7,3.28,1.0,1.0,2.28,2.28
2026-08-08T04:50:53Z,2026-08-08T12:00:00Z,7.2,4.0,2.0,3.0,2.0,2.0
2026-08-08T04:50:53Z,2026-08-08T15:00:00Z,10.2,4.16,2.0,3.0,2.16,2.16
2026-08-08T04:50:53Z,2026-08-08T18:00:00Z,13.2,4.47,1.0,3.0,3.47,3.47
2026-08-08T04:50:53Z,2026-08-08T21:00:00Z,16.2,3.33,1.0,3.0,2.33,2.33
2026-08-08T04:50:53Z,2026-08-09T00:00:00Z,19.2,1.43,3.0,3.0,-1.57,1.57
2026-08-08T04:50:53Z,2026-08-09T03:00:00Z,22.2,0.94,1.0,3.0,-0.06,0.06
2026-08-08T10:18:13Z,2026-08-08T18:00:00Z,7.7,5.07,1.0,2.0,4.07,4.07
2026-08-08T10:18:13Z,2026-08-08T21:00:00Z,10.7,2.46,1.0,2.0,1.46,1.46
2026-08-08T10:18:13Z,2026-08-09T00:00:00Z,13.7,1.44,3.0,2.0,-1.56,1.56
2026-08-08T10:18:13Z,2026-08-09T03:00:00Z,16.7,0.63,1.0,2.0,-0.37,0.37
2026-08-08T10:18:13Z,2026-08-09T06:00:00Z,19.7,1.56,1.0,2.0,0.56,0.56
2026-08-08T10:18:13Z,2026-08-09T09:00:00Z,22.7,2.28,2.0,2.0,0.28,0.28
2026-08-08T22:37:20Z,2026-08-09T06:00:00Z,7.4,1.64,1.0,3.0,0.64,0.64
2026-08-08T22:37:20Z,2026-08-09T09:00:00Z,10.4,2.43,2.0,3.0,0.43,0.43
2026-08-08T22:37:20Z,2026-08-09T12:00:00Z,13.4,2.34,2.0,3.0,0.34,0.34
2026-08-08T22:37:20Z,2026-08-09T15:00:00Z,16.4,1.95,2.0,3.0,-0.05,0.05
2026-08-08T22:37:20Z,2026-08-09T18:00:00Z,19.4,2.14,1.0,3.0,1.14,1.14
2026-08-08T22:37:20Z,2026-08-09T21:00:00Z,22.4,1.92,1.0,3.0,0.92,0.92
2026-08-09T04:59:03Z,2026-08-09T12:00:00Z,7.0,2.21,2.0,1.0,0.21,0.21
2026-08-09T04:59:03Z,2026-08-09T15:00:00Z,10.0,1.82,2.0,1.0,-0.18,0.18
2026-08-09T04:59:03Z,2026-08-09T18:00:00Z,13.0,2.04,1.0,1.0,1.04,1.04
2026-08-09T04:59:03Z,2026-08-09T21:00:00Z,16.0,1.73,1.0,1.0,0.73,0.73
2026-08-09T04:59:03Z,2026-08-10T00:00:00Z,19.0,1.78,1.0,1.0,0.78,0.78
2026-08-09T04:59:03Z,2026-08-10T03:00:00Z,22.0,1.7,0.0,1.0,1.7,1.7
2026-08-09T10:19:29Z,2026-08-09T18:00:00Z,7.7,2.21,1.0,2.0,1.21,1.21
2026-08-09T10:19:29Z,2026-08-09T21:00:00Z,10.7,1.78,1.0,2.0,0.78,0.78
2026-08-09T10:19:29Z,2026-08-10T00:00:00Z,13.7,1.72,1.0,2.0,0.72,0.72
2026-08-09T10:19:29Z,2026-08-10T03:00:00Z,16.7,1.77,0.0,2.0,1.77,1.77
2026-08-09T10:19:29Z,2026-08-10T06:00:00Z,19.7,1.57,3.0,2.0,-1.43,1.43
2026-08-09T10:19:29Z,2026-08-10T09:00:00Z,22.7,1.65,2.0,2.0,-0.35,0.35
2026-08-09T12:41:38Z,2026-08-09T21:00:00Z,8.3,1.78,1.0,2.0,0.78,0.78
2026-08-09T12:41:38Z,2026-08-10T00:00:00Z,11.3,1.72,1.0,2.0,0.72,0.72
2026-08-09T12:41:38Z,2026-08-10T03:00:00Z,14.3,1.77,0.0,2.0,1.77,1.77
2026-08-09T12:41:38Z,2026-08-10T06:00:00Z,17.3,1.57,3.0,2.0,-1.43,1.43
2026-08-09T12:41:38Z,2026-08-10T09:00:00Z,20.3,1.65,2.0,2.0,-0.35,0.35
2026-08-09T12:41:38Z,2026-08-10T12:00:00Z,23.3,1.54,2.0,2.0,-0.46,0.46
2026-08-09T12:45:53Z,2026-08-09T21:00:00Z,8.2,1.78,1.0,2.0,0.78,0.78
2026-08-09T12:45:53Z,2026-08-10T00:00:00Z,11.2,1.72,1.0,2.0,0.72,0.72
2026-08-09T12:45:53Z,2026-08-10T03:00:00Z,14.2,1.77,0.0,2.0,1.77,1.77
2026-08-09T12:45:53Z,2026-08-10T06:00:00Z,17.2,1.57,3.0,2.0,-1.43,1.43
2026-08-09T12:45:53Z,2026-08-10T09:00:00Z,20.2,1.65,2.0,2.0,-0.35,0.35
2026-08-09T12:45:53Z,2026-08-10T12:00:00Z,23.2,1.54,2.0,2.0,-0.46,0.46
2026-08-09T12:48:15Z,2026-08-09T21:00:00Z,8.2,1.78,1.0,2.0,0.78,0.78
2026-08-09T12:48:15Z,2026-08-10T00:00:00Z,11.2,1.72,1.0,2.0,0.72,0.72
2026-08-09T12:48:15Z,2026-08-10T03:00:00Z,14.2,1.77,0.0,2.0,1.77,1.77
2026-08-09T12:48:15Z,2026-08-10T06:00:00Z,17.2,1.57,3.0,2.0,-1.43,1.43
2026-08-09T12:48:15Z,2026-08-10T09:00:00Z,20.2,1.65,2.0,2.0,-0.35,0.35
2026-08-09T12:48:15Z,2026-08-10T12:00:00Z,23.2,1.54,2.0,2.0,-0.46,0.46
2026-08-09T16:31:44Z,2026-08-10T00:00:00Z,7.5,1.76,1.0,1.0,0.76,0.76
2026-08-09T16:31:44Z,2026-08-10T03:00:00Z,10.5,1.78,0.0,1.0,1.78,1.78
2026-08-09T16:31:44Z,2026-08-10T06:00:00Z,13.5,1.84,3.0,1.0,-1.16,1.16
2026-08-09T16:31:44Z,2026-08-10T09:00:00Z,16.5,1.87,2.0,1.0,-0.13,0.13
2026-08-09T16:31:44Z,2026-08-10T12:00:00Z,19.5,1.32,2.0,1.0,-0.68,0.68
2026-08-09T16:31:44Z,2026-08-10T15:00:00Z,22.5,0.19,3.0,1.0,-2.81,2.81
2026-08-09T22:39:09Z,2026-08-10T06:00:00Z,7.3,1.59,3.0,1.0,-1.41,1.41
2026-08-09T22:39:09Z,2026-08-10T09:00:00Z,10.3,1.66,2.0,1.0,-0.34,0.34
2026-08-09T22:39:09Z,2026-08-10T12:00:00Z,13.3,0.8,2.0,1.0,-1.2,1.2
2026-08-09T22:39:09Z,2026-08-10T15:00:00Z,16.3,0.41,3.0,1.0,-2.59,2.59
2026-08-09T22:39:09Z,2026-08-10T18:00:00Z,19.3,0.79,1.0,1.0,-0.21,0.21
2026-08-09T22:39:09Z,2026-08-10T21:00:00Z,22.3,1.56,1.0,1.0,0.56,0.56
2026-08-10T05:20:42Z,2026-08-10T12:00:00Z,6.7,1.04,2.0,2.0,-0.96,0.96
2026-08-10T05:20:42Z,2026-08-10T15:00:00Z,9.7,0.54,3.0,2.0,-2.46,2.46
2026-08-10T05:20:42Z,2026-08-10T18:00:00Z,12.7,1.16,1.0,2.0,0.16,0.16
2026-08-10T05:20:42Z,2026-08-10T21:00:00Z,15.7,1.43,1.0,2.0,0.43,0.43
2026-08-10T05:20:42Z,2026-08-11T00:00:00Z,18.7,1.82,0.0,2.0,1.82,1.82
2026-08-10T05:20:42Z,2026-08-11T03:00:00Z,21.7,1.14,0.0,2.0,1.14,1.14
2026-08-10T10:53:28Z,2026-08-10T18:00:00Z,7.1,1.29,1.0,3.0,0.29,0.29
2026-08-10T10:53:28Z,2026-08-10T21:00:00Z,10.1,2.5,1.0,3.0,1.5,1.5
2026-08-10T10:53:28Z,2026-08-11T00:00:00Z,13.1,2.01,0.0,3.0,2.01,2.01
2026-08-10T10:53:28Z,2026-08-11T03:00:00Z,16.1,1.56,0.0,3.0,1.56,1.56
2026-08-10T10:53:28Z,2026-08-11T06:00:00Z,19.1,0.37,1.0,3.0,-0.63,0.63
2026-08-10T10:53:28Z,2026-08-11T09:00:00Z,22.1,1.95,2.0,3.0,-0.05,0.05
2026-08-10T16:52:05Z,2026-08-11T00:00:00Z,7.1,1.84,0.0,2.0,1.84,1.84
2026-08-10T16:52:05Z,2026-08-11T03:00:00Z,10.1,1.62,0.0,2.0,1.62,1.62
2026-08-10T16:52:05Z,2026-08-11T06:00:00Z,13.1,1.34,1.0,2.0,0.34,0.34
2026-08-10T16:52:05Z,2026-08-11T09:00:00Z,16.1,2.31,2.0,2.0,0.31,0.31
2026-08-10T16:52:05Z,2026-08-11T12:00:00Z,19.1,1.54,2.0,2.0,-0.46,0.46
2026-08-10T16:52:05Z,2026-08-11T15:00:00Z,22.1,5.05,1.0,2.0,4.05,4.05
2026-08-10T22:47:13Z,2026-08-11T06:00:00Z,7.2,0.75,1.0,2.0,-0.25,0.25
2026-08-10T22:47:13Z,2026-08-11T09:00:00Z,10.2,1.57,2.0,2.0,-0.43,0.43
2026-08-10T22:47:13Z,2026-08-11T12:00:00Z,13.2,1.85,2.0,2.0,-0.15,0.15
2026-08-10T22:47:13Z,2026-08-11T15:00:00Z,16.2,3.01,1.0,2.0,2.01,2.01
2026-08-10T22:47:13Z,2026-08-11T18:00:00Z,19.2,2.8,1.0,2.0,1.8,1.8
2026-08-10T22:47:13Z,2026-08-11T21:00:00Z,22.2,5.9,1.0,2.0,4.9,4.9
2026-08-11T05:01:49Z,2026-08-11T12:00:00Z,7.0,1.01,2.0,0.0,-0.99,0.99
2026-08-11T05:01:49Z,2026-08-11T15:00:00Z,10.0,0.13,1.0,0.0,-0.87,0.87
2026-08-11T05:01:49Z,2026-08-11T18:00:00Z,13.0,2.62,1.0,0.0,1.62,1.62
2026-08-11T05:01:49Z,2026-08-11T21:00:00Z,16.0,7.2,1.0,0.0,6.2,6.2
2026-08-11T05:01:49Z,2026-08-12T00:00:00Z,19.0,5.01,3.0,0.0,2.01,2.01
2026-08-11T05:01:49Z,2026-08-12T03:00:00Z,22.0,2.65,4.0,0.0,-1.35,1.35
2026-08-11T10:38:45Z,2026-08-11T18:00:00Z,7.4,3.29,1.0,2.0,2.29,2.29
2026-08-11T10:38:45Z,2026-08-11T21:00:00Z,10.4,4.35,1.0,2.0,3.35,3.35
2026-08-11T10:38:45Z,2026-08-12T00:00:00Z,13.4,5.07,3.0,2.0,2.07,2.07
2026-08-11T10:38:45Z,2026-08-12T03:00:00Z,16.4,2.9,4.0,2.0,-1.1,1.1
2026-08-11T10:38:45Z,2026-08-12T06:00:00Z,19.4,3.58,1.0,2.0,2.58,2.58
2026-08-11T10:38:45Z,2026-08-12T09:00:00Z,22.4,4.41,2.0,2.0,2.41,2.41
2026-08-12T06:05:22Z,2026-08-12T15:00:00Z,8.9,5.18,2.0,1.0,3.18,3.18
2026-08-12T06:05:22Z,2026-08-12T18:00:00Z,11.9,3.34,2.0,1.0,1.34,1.34
2026-08-12T06:05:22Z,2026-08-12T21:00:00Z,14.9,2.35,2.0,1.0,0.35,0.35
2026-08-12T06:05:22Z,2026-08-13T00:00:00Z,17.9,1.91,3.0,1.0,-1.09,1.09
2026-08-12T06:05:22Z,2026-08-13T03:00:00Z,20.9,1.24,1.0,1.0,0.24,0.24
2026-08-12T06:05:22Z,2026-08-13T06:00:00Z,23.9,1.53,2.0,1.0,-0.47,0.47
2026-08-12T10:47:03Z,2026-08-12T18:00:00Z,7.2,3.28,2.0,2.0,1.28,1.28
2026-08-12T10:47:03Z,2026-08-12T21:00:00Z,10.2,2.11,2.0,2.0,0.11,0.11
2026-08-12T10:47:03Z,2026-08-13T00:00:00Z,13.2,1.93,3.0,2.0,-1.07,1.07
2026-08-12T10:47:03Z,2026-08-13T03:00:00Z,16.2,1.16,1.0,2.0,0.16,0.16
2026-08-12T10:47:03Z,2026-08-13T06:00:00Z,19.2,1.69,2.0,2.0,-0.31,0.31
2026-08-12T10:47:03Z,2026-08-13T09:00:00Z,22.2,2.7,2.0,2.0,0.7,0.7
2026-08-12T16:54:57Z,2026-08-13T00:00:00Z,7.1,2.07,3.0,2.0,-0.93,0.93
2026-08-12T16:54:57Z,2026-08-13T03:00:00Z,10.1,1.05,1.0,2.0,0.05,0.05
2026-08-12T16:54:57Z,2026-08-13T06:00:00Z,13.1,1.75,2.0,2.0,-0.25,0.25
2026-08-12T16:54:57Z,2026-08-13T09:00:00Z,16.1,2.85,2.0,2.0,0.85,0.85
2026-08-12T16:54:57Z,2026-08-13T12:00:00Z,19.1,3.21,3.0,2.0,0.21,0.21
2026-08-12T16:54:57Z,2026-08-13T15:00:00Z,22.1,3.61,2.0,2.0,1.61,1.61
2026-08-12T22:50:47Z,2026-08-13T06:00:00Z,7.2,1.39,2.0,2.0,-0.61,0.61
2026-08-12T22:50:47Z,2026-08-13T09:00:00Z,10.2,2.38,2.0,2.0,0.38,0.38
2026-08-12T22:50:47Z,2026-08-13T12:00:00Z,13.2,2.67,3.0,2.0,-0.33,0.33
2026-08-12T22:50:47Z,2026-08-13T15:00:00Z,16.2,3.32,2.0,2.0,1.32,1.32
2026-08-12T22:50:47Z,2026-08-13T18:00:00Z,19.2,2.4,1.0,2.0,1.4,1.4
2026-08-12T22:50:47Z,2026-08-13T21:00:00Z,22.2,1.35,2.0,2.0,-0.65,0.65
2026-08-13T05:30:08Z,2026-08-13T12:00:00Z,6.5,2.54,3.0,3.0,-0.46,0.46
2026-08-13T05:30:08Z,2026-08-13T15:00:00Z,9.5,3.22,2.0,3.0,1.22,1.22
2026-08-13T05:30:08Z,2026-08-13T18:00:00Z,12.5,2.47,1.0,3.0,1.47,1.47
2026-08-13T05:30:08Z,2026-08-13T21:00:00Z,15.5,1.44,2.0,3.0,-0.56,0.56
2026-08-13T05:30:08Z,2026-08-14T00:00:00Z,18.5,1.53,1.0,3.0,0.53,0.53
2026-08-13T05:30:08Z,2026-08-14T03:00:00Z,21.5,1.71,1.0,3.0,0.71,0.71
2026-08-13T10:49:01Z,2026-08-13T18:00:00Z,7.2,2.58,1.0,2.0,1.58,1.58
2026-08-13T10:49:01Z,2026-08-13T21:00:00Z,10.2,1.5,2.0,2.0,-0.5,0.5
2026-08-13T10:49:01Z,2026-08-14T00:00:00Z,13.2,1.42,1.0,2.0,0.42,0.42
2026-08-13T10:49:01Z,2026-08-14T03:00:00Z,16.2,1.35,1.0,2.0,0.35,0.35
2026-08-13T10:49:01Z,2026-08-14T06:00:00Z,19.2,1.78,2.0,2.0,-0.22,0.22
2026-08-13T10:49:01Z,2026-08-14T09:00:00Z,22.2,2.73,2.0,2.0,0.73,0.73
2026-08-13T16:36:10Z,2026-08-14T00:00:00Z,7.4,2.02,1.0,3.0,1.02,1.02
2026-08-13T16:36:10Z,2026-08-14T03:00:00Z,10.4,1.98,1.0,3.0,0.98,0.98
2026-08-13T16:36:10Z,2026-08-14T06:00:00Z,13.4,1.68,2.0,3.0,-0.32,0.32
2026-08-13T16:36:10Z,2026-08-14T09:00:00Z,16.4,1.92,2.0,3.0,-0.08,0.08
2026-08-13T16:36:10Z,2026-08-14T12:00:00Z,19.4,1.6,2.0,3.0,-0.4,0.4
2026-08-13T16:36:10Z,2026-08-14T15:00:00Z,22.4,1.51,2.0,3.0,-0.49,0.49
2026-08-13T16:42:24Z,2026-08-14T00:00:00Z,7.3,2.02,1.0,3.0,1.02,1.02
2026-08-13T16:42:24Z,2026-08-14T03:00:00Z,10.3,1.98,1.0,3.0,0.98,0.98
2026-08-13T16:42:24Z,2026-08-14T06:00:00Z,13.3,1.68,2.0,3.0,-0.32,0.32
2026-08-13T16:42:24Z,2026-08-14T09:00:00Z,16.3,1.92,2.0,3.0,-0.08,0.08
2026-08-13T16:42:24Z,2026-08-14T12:00:00Z,19.3,1.6,2.0,3.0,-0.4,0.4
2026-08-13T16:42:24Z,2026-08-14T15:00:00Z,22.3,1.51,2.0,3.0,-0.49,0.49
2026-08-13T16:54:22Z,2026-08-14T00:00:00Z,7.1,2.02,1.0,3.0,1.02,1.02
2026-08-13T16:54:22Z,2026-08-14T03:00:00Z,10.1,1.98,1.0,3.0,0.98,0.98
2026-08-13T16:54:22Z,2026-08-14T06:00:00Z,13.1,1.68,2.0,3.0,-0.32,0.32
2026-08-13T16:54:22Z,2026-08-14T09:00:00Z,16.1,1.92,2.0,3.0,-0.08,0.08
2026-08-13T16:54:22Z,2026-08-14T12:00:00Z,19.1,1.6,2.0,3.0,-0.4,0.4
2026-08-13T16:54:22Z,2026-08-14T15:00:00Z,22.1,1.51,2.0,3.0,-0.49,0.49
2026-08-13T22:52:17Z,2026-08-14T06:00:00Z,7.1,0.68,2.0,2.0,-1.32,1.32
2026-08-13T22:52:17Z,2026-08-14T09:00:00Z,10.1,0.36,2.0,2.0,-1.64,1.64
2026-08-13T22:52:17Z,2026-08-14T12:00:00Z,13.1,0.41,2.0,2.0,-1.59,1.59
2026-08-13T22:52:17Z,2026-08-14T15:00:00Z,16.1,1.41,2.0,2.0,-0.59,0.59
2026-08-13T22:52:17Z,2026-08-14T18:00:00Z,19.1,2.71,2.0,2.0,0.71,0.71
2026-08-13T22:52:17Z,2026-08-14T21:00:00Z,22.1,0.81,3.0,2.0,-2.19,2.19
2026-08-14T05:28:14Z,2026-08-14T12:00:00Z,6.5,0.69,2.0,1.0,-1.31,1.31
2026-08-14T05:28:14Z,2026-08-14T15:00:00Z,9.5,1.4,2.0,1.0,-0.6,0.6
2026-08-14T05:28:14Z,2026-08-14T18:00:00Z,12.5,2.32,2.0,1.0,0.32,0.32
2026-08-14T05:28:14Z,2026-08-14T21:00:00Z,15.5,1.19,3.0,1.0,-1.81,1.81
2026-08-14T05:28:14Z,2026-08-15T00:00:00Z,18.5,1.84,4.0,1.0,-2.16,2.16
2026-08-14T05:28:14Z,2026-08-15T03:00:00Z,21.5,2.55,3.0,1.0,-0.45,0.45
2026-08-14T10:44:54Z,2026-08-14T18:00:00Z,7.3,3.01,2.0,1.0,1.01,1.01
2026-08-14T10:44:54Z,2026-08-14T21:00:00Z,10.3,1.11,3.0,1.0,-1.89,1.89
2026-08-14T10:44:54Z,2026-08-15T00:00:00Z,13.3,1.67,4.0,1.0,-2.33,2.33
2026-08-14T10:44:54Z,2026-08-15T03:00:00Z,16.3,2.49,3.0,1.0,-0.51,0.51
2026-08-14T10:44:54Z,2026-08-15T06:00:00Z,19.3,3.83,4.0,1.0,-0.17,0.17
2026-08-14T10:44:54Z,2026-08-15T09:00:00Z,22.3,4.47,4.0,1.0,0.47,0.47
2026-08-14T16:48:33Z,2026-08-15T00:00:00Z,7.2,1.57,4.0,2.0,-2.43,2.43
2026-08-14T16:48:33Z,2026-08-15T03:00:00Z,10.2,2.53,3.0,2.0,-0.47,0.47
2026-08-14T16:48:33Z,2026-08-15T06:00:00Z,13.2,4.08,4.0,2.0,0.08,0.08
2026-08-14T16:48:33Z,2026-08-15T09:00:00Z,16.2,4.65,4.0,2.0,0.65,0.65
2026-08-14T16:48:33Z,2026-08-15T12:00:00Z,19.2,4.6,3.0,2.0,1.6,1.6
2026-08-14T16:48:33Z,2026-08-15T15:00:00Z,22.2,4.53,3.0,2.0,1.53,1.53
2026-08-14T22:30:55Z,2026-08-15T06:00:00Z,7.5,3.86,4.0,4.0,-0.14,0.14
2026-08-14T22:30:55Z,2026-08-15T09:00:00Z,10.5,4.32,4.0,4.0,0.32,0.32
