# Нови-Сад / Ветер / 0-6ч, 6-24ч, 1-2 дня, 2-3 дня, 3-5 дней / Яндекс.Погода
# n=209, MAE=1.437, RMSE=1.815, bias=+1.149
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.815/1.474)^2 = -0.5168  (RMSE_персистентности по 209 пар(ам))
# persistence baseline = смешанный (разный по периодам в пуле) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
# «Общий» = объединённый пул пар из периодов: 0-6ч, 6-24ч, 1-2 дня, 2-3 дня, 3-5 дней - метрика посчитана заново по всему пулу, а не усреднена по периодам
#
bucket,fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
0-6ч,2026-08-13T16:36:10Z,2026-08-13T19:00:00Z,2.4,2.7,0.0,3.0,2.7,2.7
0-6ч,2026-08-13T16:42:24Z,2026-08-13T19:00:00Z,2.3,2.7,0.0,3.0,2.7,2.7
0-6ч,2026-08-13T16:54:22Z,2026-08-13T19:00:00Z,2.1,2.7,0.0,3.0,2.7,2.7
0-6ч,2026-08-14T05:28:14Z,2026-08-14T07:00:00Z,1.5,2.0,3.0,1.0,-1.0,1.0
0-6ч,2026-08-14T10:44:54Z,2026-08-14T13:00:00Z,2.3,2.0,2.0,1.0,0.0,0.0
0-6ч,2026-08-14T16:48:33Z,2026-08-14T19:00:00Z,2.2,2.0,1.0,2.0,1.0,1.0
0-6ч,2026-08-15T04:24:15Z,2026-08-15T07:00:00Z,2.6,5.5,4.0,3.0,1.5,1.5
0-6ч,2026-08-15T10:09:15Z,2026-08-15T13:00:00Z,2.8,4.8,3.0,2.0,1.8,1.8
0-6ч,2026-08-15T16:20:39Z,2026-08-15T19:00:00Z,2.7,3.9,2.0,4.0,1.9,1.9
0-6ч,2026-08-16T04:29:41Z,2026-08-16T07:00:00Z,2.5,4.9,4.0,3.0,0.9,0.9
0-6ч,2026-08-16T07:21:44Z,2026-08-16T13:00:00Z,5.6,4.5,3.0,4.0,1.5,1.5
0-6ч,2026-08-16T10:09:47Z,2026-08-16T13:00:00Z,2.8,4.5,3.0,4.0,1.5,1.5
0-6ч,2026-08-16T16:21:00Z,2026-08-16T19:00:00Z,2.6,2.2,3.0,2.0,-0.8,0.8
0-6ч,2026-08-17T04:35:30Z,2026-08-17T07:00:00Z,2.4,2.7,2.0,3.0,0.7,0.7
0-6ч,2026-08-17T10:18:11Z,2026-08-17T13:00:00Z,2.7,2.2,2.0,2.0,0.2,0.2
0-6ч,2026-08-17T16:23:45Z,2026-08-17T19:00:00Z,2.6,2.5,1.0,2.0,1.5,1.5
6-24ч,2026-08-13T16:36:10Z,2026-08-14T01:00:00Z,8.4,1.2,1.0,1.0,0.2,0.2
6-24ч,2026-08-13T16:36:10Z,2026-08-14T07:00:00Z,14.4,2.0,3.0,1.0,-1.0,1.0
6-24ч,2026-08-13T16:36:10Z,2026-08-14T13:00:00Z,20.4,2.2,2.0,2.0,0.2,0.2
6-24ч,2026-08-13T16:42:24Z,2026-08-14T01:00:00Z,8.3,1.2,1.0,1.0,0.2,0.2
6-24ч,2026-08-13T16:42:24Z,2026-08-14T07:00:00Z,14.3,2.0,3.0,1.0,-1.0,1.0
6-24ч,2026-08-13T16:42:24Z,2026-08-14T13:00:00Z,20.3,2.2,2.0,2.0,0.2,0.2
6-24ч,2026-08-13T16:54:22Z,2026-08-14T01:00:00Z,8.1,1.2,1.0,1.0,0.2,0.2
6-24ч,2026-08-13T16:54:22Z,2026-08-14T07:00:00Z,14.1,2.0,3.0,1.0,-1.0,1.0
6-24ч,2026-08-13T16:54:22Z,2026-08-14T13:00:00Z,20.1,2.2,2.0,2.0,0.2,0.2
6-24ч,2026-08-13T22:52:17Z,2026-08-14T07:00:00Z,8.1,1.8,3.0,1.0,-1.2,1.2
6-24ч,2026-08-13T22:52:17Z,2026-08-14T13:00:00Z,14.1,2.0,2.0,2.0,0.0,0.0
6-24ч,2026-08-13T22:52:17Z,2026-08-14T19:00:00Z,20.1,2.2,1.0,0.0,1.2,1.2
6-24ч,2026-08-14T05:28:14Z,2026-08-14T13:00:00Z,7.5,2.4,2.0,2.0,0.4,0.4
6-24ч,2026-08-14T05:28:14Z,2026-08-14T19:00:00Z,13.5,2.2,1.0,0.0,1.2,1.2
6-24ч,2026-08-14T05:28:14Z,2026-08-15T01:00:00Z,19.5,2.5,4.0,1.0,-1.5,1.5
6-24ч,2026-08-14T10:44:54Z,2026-08-14T19:00:00Z,8.3,1.8,1.0,0.0,0.8,0.8
6-24ч,2026-08-14T10:44:54Z,2026-08-15T01:00:00Z,14.3,2.5,4.0,1.0,-1.5,1.5
6-24ч,2026-08-14T10:44:54Z,2026-08-15T07:00:00Z,20.3,5.5,4.0,3.0,1.5,1.5
6-24ч,2026-08-14T16:48:33Z,2026-08-15T01:00:00Z,8.2,2.7,4.0,1.0,-1.3,1.3
6-24ч,2026-08-14T16:48:33Z,2026-08-15T07:00:00Z,14.2,5.4,4.0,3.0,1.4,1.4
6-24ч,2026-08-14T16:48:33Z,2026-08-15T13:00:00Z,20.2,4.5,3.0,2.0,1.5,1.5
6-24ч,2026-08-14T22:30:55Z,2026-08-15T07:00:00Z,8.5,5.1,4.0,3.0,1.1,1.1
6-24ч,2026-08-14T22:30:55Z,2026-08-15T13:00:00Z,14.5,4.6,3.0,2.0,1.6,1.6
6-24ч,2026-08-14T22:30:55Z,2026-08-15T19:00:00Z,20.5,4.0,2.0,1.0,2.0,2.0
6-24ч,2026-08-15T04:24:15Z,2026-08-15T13:00:00Z,8.6,4.5,3.0,2.0,1.5,1.5
6-24ч,2026-08-15T04:24:15Z,2026-08-15T19:00:00Z,14.6,4.0,2.0,1.0,2.0,2.0
6-24ч,2026-08-15T04:24:15Z,2026-08-16T01:00:00Z,20.6,3.0,2.0,4.0,1.0,1.0
6-24ч,2026-08-15T10:09:15Z,2026-08-15T19:00:00Z,8.8,4.0,2.0,1.0,2.0,2.0
6-24ч,2026-08-15T10:09:15Z,2026-08-16T01:00:00Z,14.8,3.0,2.0,4.0,1.0,1.0
6-24ч,2026-08-15T10:09:15Z,2026-08-16T07:00:00Z,20.8,4.9,4.0,4.0,0.9,0.9
6-24ч,2026-08-15T16:20:39Z,2026-08-16T01:00:00Z,8.7,3.2,2.0,4.0,1.2,1.2
6-24ч,2026-08-15T16:20:39Z,2026-08-16T07:00:00Z,14.7,4.9,4.0,4.0,0.9,0.9
6-24ч,2026-08-15T16:20:39Z,2026-08-16T13:00:00Z,20.7,4.5,3.0,3.0,1.5,1.5
6-24ч,2026-08-15T22:29:33Z,2026-08-16T07:00:00Z,8.5,4.9,4.0,4.0,0.9,0.9
6-24ч,2026-08-15T22:29:33Z,2026-08-16T13:00:00Z,14.5,4.5,3.0,3.0,1.5,1.5
6-24ч,2026-08-15T22:29:33Z,2026-08-16T19:00:00Z,20.5,2.4,3.0,2.0,-0.6,0.6
6-24ч,2026-08-16T04:29:41Z,2026-08-16T13:00:00Z,8.5,4.5,3.0,3.0,1.5,1.5
